area,hour,mean_price_eur_kwh,mean_ci_g_per_kwh,neg_price_share
DE,0,0.07497666666666666,348.95866666666666,0.03333333333333333
DE,1,0.07002866666666664,350.21200000000005,0.0
DE,2,0.06784899999999999,352.78266666666667,0.03333333333333333
DE,3,0.06740499999999999,356.40766666666667,0.03333333333333333
DE,4,0.06911666666666666,353.939,0.03333333333333333
DE,5,0.075678,347.082,0.03333333333333333
DE,6,0.09253299999999999,326.2126666666667,0.0
DE,7,0.11234733333333333,295.7153333333333,0.0
DE,8,0.10759633333333332,264.45166666666665,0.0
DE,9,0.08481166666666666,239.01466666666664,0.0
DE,10,0.06113733333333333,222.24099999999999,0.03333333333333333
DE,11,0.04285333333333332,217.13566666666665,0.06666666666666667
DE,12,0.03298533333333334,219.691,0.13333333333333333
DE,13,0.027919333333333338,231.79399999999998,0.36666666666666664
DE,14,0.028057333333333326,259.8043333333333,0.3333333333333333
DE,15,0.03483566666666667,305.3453333333334,0.2
DE,16,0.05541866666666664,346.064,0.03333333333333333
DE,17,0.0880293333333333,361.49833333333333,0.0
DE,18,0.12232699999999999,359.1046666666667,0.0
DE,19,0.16533566666666663,354.08866666666665,0.0
DE,20,0.13477566666666665,351.776,0.0
DE,21,0.09813199999999997,350.232,0.0
DE,22,0.08726266666666666,346.95133333333337,0.0
DE,23,0.07802766666666665,347.247,0.0
FR,0,0.05707466666666665,21.571666666666665,0.0
FR,1,0.04946633333333331,21.427666666666667,0.03333333333333333
FR,2,0.044600999999999995,21.579333333333334,0.03333333333333333
FR,3,0.03426733333333332,21.948666666666668,0.03333333333333333
FR,4,0.028399666666666646,23.11433333333333,0.03333333333333333
FR,5,0.036460666666666655,24.288666666666664,0.0
FR,6,0.05350999999999998,24.790333333333333,0.0
FR,7,0.07307666666666666,25.203666666666667,0.0
FR,8,0.08279099999999999,25.353666666666665,0.0
FR,9,0.06912866666666664,25.734666666666666,0.0
FR,10,0.04927699999999998,27.113666666666667,0.0
FR,11,0.033504999999999986,27.255333333333333,0.0
FR,12,0.027190333333333327,26.627333333333336,0.06666666666666667
FR,13,0.021327333333333334,25.534333333333333,0.13333333333333333
FR,14,0.019636333333333325,24.706666666666667,0.13333333333333333
FR,15,0.018744666666666663,24.778333333333332,0.06666666666666667
FR,16,0.027811333333333316,25.782666666666668,0.03333333333333333
FR,17,0.039083666666666655,27.001666666666665,0.0
FR,18,0.06816666666666667,27.09733333333333,0.0
FR,19,0.0952853333333333,26.607666666666667,0.0
FR,20,0.09442933333333332,25.834666666666667,0.0
FR,21,0.07740766666666667,25.647666666666666,0.0
FR,22,0.075662,23.915666666666667,0.0
FR,23,0.06826633333333332,22.749333333333333,0.0
PL,0,0.08461566666666666,720.7313333333333,0.0
PL,1,0.07848466666666666,725.8746666666667,0.0
PL,2,0.07630666666666666,728.8976666666666,0.0
PL,3,0.07587066666666666,733.0796666666666,0.0
PL,4,0.07777966666666665,731.0806666666666,0.0
PL,5,0.08644533333333332,703.7143333333333,0.0
PL,6,0.11602499999999999,646.4803333333333,0.0
PL,7,0.130742,590.4586666666668,0.0
PL,8,0.11240999999999997,543.3053333333334,0.0
PL,9,0.08562533333333332,508.0366666666667,0.0
PL,10,0.06244399999999999,495.07666666666665,0.03333333333333333
PL,11,0.046139999999999994,498.12066666666664,0.1
PL,12,0.03602099999999999,518.7143333333333,0.16666666666666666
PL,13,0.036207666666666666,548.125,0.3
PL,14,0.038902999999999986,613.6706666666666,0.23333333333333334
PL,15,0.05315233333333332,696.3806666666666,0.03333333333333333
PL,16,0.09366433333333332,755.4156666666667,0.0
PL,17,0.1313303333333333,749.2106666666666,0.0
PL,18,0.17451999999999998,728.4473333333334,0.0
PL,19,0.22855799999999998,719.056,0.0
PL,20,0.16271399999999997,708.3006666666666,0.0
PL,21,0.11226366666666666,704.2673333333333,0.0
PL,22,0.09538499999999998,697.5776666666667,0.0
PL,23,0.08470699999999999,710.196,0.0
