setup_id,cpu_type,gpu_name,pcie_gen_current,mode,threads,impl,dtype,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,bw_gb_s_mean,passes_e2e_median,n_measurements,workload,source_file
AMD_3090_PCIe3,AMD,NVIDIA GeForce RTX 3090,3,kernel,,cuda,fp32,0.0031929003,0.0079799069,0.0028236695,0.0783099722,0.0012630976,0.0008444689,0.0018698403,0.0518570417,0.0034305198,0.0249792612,0.0034259455,0.0950131389,0.03605759749998742,1.1218,,801.7242,1145.0,350,STREAM,stream_3090_amd_pciev3.csv
AMD_3090_PCIe4,AMD,NVIDIA GeForce RTX 3090,4,kernel,,cuda,fp32,0.0033871141,0.0094218039,0.0027923446,0.0783099722,0.0020021734,0.0008065746,0.0018490969,0.0518570417,0.0041402023,0.025782574,0.0033879392,0.0950131389,0.035657585833320744,1.1195,,801.8064,1141.0,350,STREAM,stream_3090_amd_pciev4.csv
AMD_5050_PCIe3,AMD,NVIDIA GeForce RTX 5050,3,kernel,,cuda,fp32,0.0006151678,0.0017054293,0.0006672268,0.0783099722,3.79155e-05,0.000201165,0.0004418391,0.0518570417,0.0008785312,0.0056719837,0.0008095433,0.0950131389,0.00852033,1.1198,,426.3674,409.0,350,STREAM,stream_5050_amd_pciev3.csv
AMD_5050_PCIe4,AMD,NVIDIA GeForce RTX 5050,4,kernel,,cuda,fp32,0.000680841,0.0019426776,0.0006677099,0.0783099722,0.0003469433,0.0001989232,0.000442159,0.0518570417,0.0010613787,0.0059928501,0.0008101295,0.0950131389,0.008526499444444445,1.1229,,426.3877,409.0,350,STREAM,stream_5050_amd_pciev4.csv
AMD_CPU-only_1t,AMD,,0,kernel,1,openmp,float32,0.0004708419,0.0011688806,0.0003822081,0.0783099722,0.0004085152,0.0001040079,0.0002530991,0.0518570417,0.0004790902,0.0033644181,0.0004637313,0.0950131389,0.0048807075,1.2998,,52.771,4.0,250,STREAM,stream_amd_cpu_1.csv
AMD_CPU-only_2t,AMD,,0,kernel,2,openmp,float32,0.000519372,0.0012893583,0.0004216026,0.0783099722,0.0004506213,0.0001147281,0.0002791862,0.0518570417,0.0005284706,0.0037111921,0.0005115286,0.0950131389,0.005383766944444444,1.1941,,86.2877,6.0,250,STREAM,stream_amd_cpu_2.csv
AMD_CPU-only_4t,AMD,,0,kernel,4,openmp,float32,0.0005451024,0.001353235,0.0004424894,0.0783099722,0.0004729457,0.0001204119,0.0002930175,0.0518570417,0.0005546517,0.0038950498,0.0005368704,0.0950131389,0.0056504863888888895,1.2668,,107.9029,8.0,250,STREAM,stream_amd_cpu_4.csv
AMD_CPU-only_8t,AMD,,0,kernel,8,openmp,float32,0.0006039652,0.0014993639,0.0004902716,0.0783099722,0.0005240167,0.0001334145,0.000324659,0.0518570417,0.0006145457,0.0043156562,0.0005948443,0.0950131389,0.006260653333333333,1.2588,,108.795,8.0,250,STREAM,stream_amd_cpu_8.csv
AMD_CPU-only_10t,AMD,,0,kernel,10,openmp,float32,0.0006538392,0.0016231777,0.000530757,0.0783099722,0.0005672887,0.0001444316,0.0003514685,0.0518570417,0.0006652934,0.0046720325,0.0006439651,0.0950131389,0.0067776427777777775,1.2808,,107.065,8.0,250,STREAM,stream_amd_cpu_10.csv
AMD_CPU-only_16t,AMD,,0,kernel,16,openmp,float32,0.0007109516,0.001764961,0.0005771182,0.0783099722,0.0006168409,0.0001570476,0.000382169,0.0518570417,0.0007234063,0.005080131,0.000700215,0.0950131389,0.007369664722222223,1.2779,,107.3166,8.0,250,STREAM,stream_amd_cpu_16.csv
AMD_CPU-only_20t,AMD,,0,kernel,20,openmp,float32,0.0008476337,0.002104279,0.0006880706,0.0783099722,0.0007354301,0.0001872403,0.0004556419,0.0518570417,0.0008624829,0.0060567982,0.000834833,0.0950131389,0.008786500277777777,1.1651,,103.2393,7.0,250,STREAM,stream_amd_cpu_20.csv
AMD_CPU-only_32t,AMD,,0,kernel,32,openmp,float32,0.0008496482,0.0021092802,0.0006897059,0.0783099722,0.000737178,0.0001876853,0.0004567248,0.0518570417,0.0008645327,0.0060711934,0.0008368171,0.0950131389,0.008807383055555555,1.1647,,103.2649,7.0,250,STREAM,stream_amd_cpu_32.csv
