problem_size,intel_energy_best_threads,intel_energy_leader_threads,intel_energy_selection_status,intel_energy_best_j,intel_energy_best_runtime_s,intel_runtime_best_threads,intel_runtime_leader_threads,intel_runtime_selection_status,intel_runtime_best_s,intel_runtime_best_energy_j,intel_edp_best_threads,intel_edp_leader_threads,intel_edp_selection_status,intel_edp_best_j_s,amd_energy_best_threads,amd_energy_leader_threads,amd_energy_selection_status,amd_energy_best_j,amd_energy_best_runtime_s,amd_runtime_best_threads,amd_runtime_leader_threads,amd_runtime_selection_status,amd_runtime_best_s,amd_runtime_best_energy_j,amd_edp_best_threads,amd_edp_leader_threads,amd_edp_selection_status,amd_edp_best_j_s,intel_over_amd_energy_best_ratio,intel_over_amd_runtime_best_ratio,intel_over_amd_edp_best_ratio
64,16,"16,20,10,1,2,8,4",tie_or_uncertain,0.00012269881525360976,2.2546644398164424e-06,16,"16,1,10,20,2,8,4",tie_or_uncertain,2.2546644398164424e-06,0.00012269881525360976,16,"16,20,1,10,2,8,4",tie_or_uncertain,2.7486604971657544e-10,8,"8,16,1,64,2,32,4,20,10",tie_or_uncertain,0.0004459453095281919,6.127075280692067e-06,8,"8,1,16,64,4,32,2,10,20",tie_or_uncertain,6.127075280692067e-06,0.0004459453095281919,8,"8,16,1,64,4,2,32,20,10",tie_or_uncertain,2.7324931305866005e-09,0.27514319050339275,0.367983799207013,0.10059167089564405
128,4,"4,1",tie_or_uncertain,0.0012227639253655285,1.3199319247906133e-05,10,"10,8,16,20,4",tie_or_uncertain,1.2571068788372387e-05,0.0014470509976176296,4,"4,16",tie_or_uncertain,1.60855323067685e-08,4,4,clear_leader,0.0016263004085608772,1.4477002407821068e-05,4,4,clear_leader,1.4477002407821068e-05,0.0016263004085608772,4,4,clear_leader,2.3492050405638932e-08,0.7518684241416133,0.8683474958587409,0.6847223647582246
256,8,8,clear_leader,0.005511326412024483,3.945221954115439e-05,8,8,clear_leader,3.945221954115439e-05,0.005511326412024483,8,8,clear_leader,2.1684149624597985e-07,4,4,clear_leader,0.01049915726718886,8.786470844212359e-05,16,"16,32,64",tie_or_uncertain,7.063734392735529e-05,0.012078499538876276,16,"16,4",tie_or_uncertain,8.528004993398196e-07,0.524930360767911,0.5585178794622822,0.25426989831014857
512,8,"8,16",tie_or_uncertain,0.03788996670305676,0.0002629244156504065,16,"16,8,10,20",tie_or_uncertain,0.000253228575018849,0.038923886277959285,16,"16,8,10",tie_or_uncertain,9.863923528014535e-06,16,16,clear_leader,0.06488084324977347,0.0003065232558139535,16,"16,32",tie_or_uncertain,0.0003065232558139535,0.06488084324977347,16,16,clear_leader,1.98758411106551e-05,0.5839931296390641,0.8261316889200337,0.49627703668483514
1024,8,8,clear_leader,0.2641295251677852,0.0017181529605263157,8,8,clear_leader,0.0017181529605263157,0.2641295251677852,8,8,clear_leader,0.0004620644390444539,16,16,clear_leader,0.44889210076045627,0.0019111419047619048,64,"64,32,20,16",tie_or_uncertain,0.0017508977272727272,0.5024086896853146,16,"16,32,64,20",tie_or_uncertain,0.0008576660325907018,0.5884031479287124,0.9812982984463541,0.5387463435490417
2048,8,8,clear_leader,2.1092125220588236,0.014040769736842105,8,"8,10",tie_or_uncertain,0.014040769736842105,2.1092125220588236,8,8,clear_leader,0.030095273232788957,64,64,clear_leader,2.1149090714285714,0.008452394957983191,64,"64,32",tie_or_uncertain,0.008452394957983191,2.1149090714285714,64,64,clear_leader,0.017877733615508012,0.9973064802422451,1.6611587374511831,1.683394208686657
4096,8,"8,10",tie_or_uncertain,16.9457696,0.1094632,10,"10,8",tie_or_uncertain,0.10153000000000001,17.04769805,10,10,clear_leader,1.7582640136244099,64,64,clear_leader,14.10396963888889,0.05718225,32,32,clear_leader,0.05337192105263158,15.194005921052632,64,"64,32",tie_or_uncertain,0.8068935694201573,1.2014893702887315,1.9023111403443462,2.17905319890939
8192,8,"8,10",tie_or_uncertain,127.08991499999999,0.867264,10,10,clear_leader,0.755188,127.77964125,10,"10,8",tie_or_uncertain,99.85258643626275,64,64,clear_leader,116.891187,0.48809483333333337,32,"32,64",tie_or_uncertain,0.4649546666666666,132.31458633333332,64,64,clear_leader,57.321049020204,1.0872497598984943,1.62421856180961,1.7419881202988388
16384,8,"8,10",tie_or_uncertain,1081.9571905,7.072073,10,"10,8",tie_or_uncertain,6.532229,1088.0854405,10,"10,8",tie_or_uncertain,7227.848157785047,64,64,clear_leader,954.040491,3.8223485,32,32,clear_leader,3.638703,1037.6603730000002,64,"64,32",tie_or_uncertain,3650.454205423579,1.1340788999069853,1.7952080727665873,1.9799859828528836
