problem_size,num_threads,intel_runtime_s,intel_energy_j,intel_power_w,intel_gflops,intel_edp_j_s,intel_runtime_session_cv,intel_energy_session_cv,amd_runtime_s,amd_energy_j,amd_power_w,amd_gflops,amd_edp_j_s,amd_runtime_session_cv,amd_energy_session_cv,intel_over_amd_runtime_ratio,intel_over_amd_energy_ratio,intel_over_amd_power_ratio,intel_over_amd_edp_ratio,tradeoff_class
64,1,2.27955353191567e-06,0.00013024769831239993,57.410331911368516,230.01999999999998,2.955619710912405e-10,0.011196243211556949,0.08795432421291693,6.141290389648509e-06,0.00044891625763125763,73.10533894163612,85.375,2.75446207694626e-09,0.0010770642770250656,0.013771483787823344,0.37118478158238305,0.29013807385738777,0.785309701623875,0.10730297344260985,Intel dominant
64,2,2.3341587456962664e-06,0.00014220628726773163,61.11752635352188,224.615,3.315061385578318e-10,0.07682327497078767,0.23305726410125013,6.159581298579428e-06,0.00045130682610708227,73.31500632371731,85.11500000000001,2.7809819007266395e-09,0.0011459548255468102,0.0033146181265746996,0.37894763175454615,0.3150989062017647,0.8336291493130573,0.11920470912493639,Intel dominant
64,4,2.495490320994838e-06,0.00015334664267627657,60.86617984688321,210.095,3.8794209340223957e-10,0.05004749398929004,0.03357542820092866,6.150596234245028e-06,0.00045170644958099956,73.20037635337508,85.24,2.778044956810056e-09,0.002088016032555543,0.011560543223424103,0.4057314487822422,0.3394829602688208,0.8315009140533857,0.13964572187762636,Intel dominant
64,8,2.3804675770358193e-06,0.00015119395510116538,60.75489305707059,220.245,3.5991294544620287e-10,0.06785649125417073,0.04245594390496563,6.127075280692067e-06,0.0004459453095281919,72.75567523662829,85.57,2.7324931305866005e-09,0.0026080821457683647,0.01069757416655311,0.388516130124476,0.3390414740792495,0.8350536622672151,0.13171595617842896,Intel dominant
64,10,2.2824659460891084e-06,0.00013009044093136246,57.03151408365595,229.70499999999998,2.9674011408592975e-10,0.04042360177780805,0.19943981253893842,6.172419863974154e-06,0.00045415385494462047,73.44997515925976,84.94,2.804459982261312e-09,0.0007059299127207986,0.0035781675326002184,0.3697846219779883,0.2864457485387319,0.7764674386886575,0.10581007251408885,Intel dominant
64,16,2.2546644398164424e-06,0.00012269881525360976,54.970368281956084,232.53500000000003,2.7486604971657544e-10,0.014096657198383931,0.2484923981718205,6.1467178740935855e-06,0.00044764393632558885,72.88295674166744,85.295,2.7529329016632667e-09,0.0016648456565349502,0.0028939778718359804,0.36680786169137825,0.2740991339249732,0.7542280217417323,0.09984480535304979,Intel dominant
64,20,2.305018734654989e-06,0.00012476721847630914,55.193678515235504,227.45499999999998,2.8648912996634436e-10,0.036868596659387416,0.07449824422164508,6.173973482929481e-06,0.0004533963301336461,73.33371377934698,84.92,2.799909293554025e-09,0.0032955335930958426,0.011437112723351262,0.3733444500576772,0.27518356498283064,0.7526371660558085,0.10232086111714478,Intel dominant
128,1,2.717564386971107e-05,0.0016505662807055513,60.8473368895535,154.34,4.506482591140831e-08,0.024262820156613768,0.03210341640813965,3.946580300632912e-05,0.002942712618670886,74.51417589577596,106.275,1.1617693374288114e-07,0.005685193590354694,0.015425936595787476,0.6885871260582972,0.5608995830014318,0.8165873963990629,0.387898220925199,Intel dominant
128,2,2.1257476139978793e-05,0.0014973233556518314,71.70039034289941,197.31,3.274268078996925e-08,0.020995525525521603,0.028343404698300875,2.514937415171166e-05,0.0022271713668124467,88.44757697720928,166.78,5.599104980874005e-08,0.004958062250715748,0.005903790647240929,0.8452487132182578,0.6722982245388768,0.8106540935697402,0.5847841914344355,Intel dominant
128,4,1.3199319247906133e-05,0.0012227639253655285,92.53256844533075,317.765,1.60855323067685e-08,0.009861245685973588,0.05337438628344254,1.4477002407821068e-05,0.0016263004085608772,112.42009865792487,289.72,2.3492050405638932e-08,0.0025711694833522323,0.007457042447633244,0.9117439422939739,0.7518684241416133,0.8230963106240596,0.6847223647582246,Intel dominant
128,8,1.2722437863895323e-05,0.0014828760522532043,119.34317653722175,329.69,1.845036680450878e-08,0.003124162557471613,0.08691115236346082,1.851245028841675e-05,0.002191258630499018,119.4795415659128,226.57,4.0671802495355374e-08,0.020372135180462245,0.01396808814966909,0.6872368414599206,0.6767234280854867,0.9988586746575704,0.4536402537511282,Intel dominant
128,10,1.2571068788372387e-05,0.0014470509976176296,114.59660859272012,333.65,1.8156633505523653e-08,0.02024060565675693,0.05244426071977979,1.824693754785081e-05,0.002179954145247731,119.8531121008543,229.86,3.978968904470808e-08,0.013197283330602513,0.012000821167325426,0.6889412952395977,0.6637988238294737,0.9561421191657424,0.45631503893188724,Intel dominant
128,16,1.2725080469656098e-05,0.0014895722949091585,118.28783668918292,329.745,1.9113586823657672e-08,0.01977985616695502,0.07541673904536524,1.8497282457989018e-05,0.0022111887767363616,119.6003717588288,226.75,4.089649932011442e-08,0.014984771699631612,0.009912410466701306,0.6879432423955935,0.6736522501293245,0.9890256606200809,0.4673648635314099,Intel dominant
