session_number,rows,median_runtime_s,median_package_power_w,median_temp_c,max_temp_c,median_clock_before_mhz,median_clock_after_mhz,checksum_failures
1,810,1.01022,140.69296844531348,77.0,92,2069.0,2063.0,0
2,810,1.008136,140.45764396520832,78.0,95,2065.0,2061.0,0
3,810,1.0095144999999999,139.52082254550675,78.0,93,2068.0,2062.0,0
4,810,1.0103274999999998,137.82564943515166,78.0,94,2066.0,2060.5,0
5,810,1.0088875000000002,142.53084431578594,77.0,96,2082.0,2063.0,0
