session_number,problem_size,num_threads,runtime_per_op_s,time_per_op_ms_e2e,package_energy_per_op_j,package_avg_power_w,gflops_per_s,edp_package_j_s,temp_c,sm_clock_mhz,batches
1,64,1,6.136828927019663e-06,0.006137,0.000448408768441466,73.10533894163612,85.435,2.7501361838380516e-09,72.0,,162948.0
1,64,2,6.159581298579428e-06,0.0061595,0.00045151757348265494,73.33247740234387,85.11500000000001,2.781159188936032e-09,74.0,,161977.0
1,64,4,6.150596234245028e-06,0.006151,0.00045170644958099956,73.20037635337508,85.24,2.778044956810056e-09,73.0,,161933.0
1,64,8,6.139590917182828e-06,0.0061395,0.00044660406934272966,72.83530645037132,85.395,2.7405282502320975e-09,72.5,,162901.0
1,64,10,6.1237745999068695e-06,0.006124,0.00044515130014949876,72.6720377587325,85.615,2.7255580813541732e-09,71.0,,163212.0
1,64,16,6.137204219212397e-06,0.006137500000000001,0.00044757091985215565,72.88295674166744,85.43,2.7482553196723397e-09,71.5,,162874.0
1,64,20,6.1754097348683605e-06,0.0061755,0.0004533963301336461,73.33371377934698,84.9,2.799909293554025e-09,74.0,,161995.0
1,64,32,6.1134247678547455e-06,0.0061135,0.00044223782533891375,72.33659353571653,85.75999999999999,2.70591141429083e-09,69.0,,163906.0
1,64,64,6.1741712818043175e-06,0.006174,0.0004555554464798385,73.87309376267646,84.91499999999999,2.8121425560994542e-09,74.5,,161967.0
1,128,1,3.946580300632912e-05,0.0394655,0.002942712618670886,74.51417589577596,106.275,1.1617693374288114e-07,76.0,,25280.0
1,128,2,2.4875172103036522e-05,0.024875,0.0021674530002252987,87.14644242815007,168.615,5.391426971927944e-08,69.0,,39947.0
1,128,4,1.4477002407821068e-05,0.014477,0.001617363377911868,111.78998789396374,289.72,2.3414557678119856e-08,77.0,,68942.0
1,128,8,1.8560931965422944e-05,0.0185605,0.002191258630499018,118.03027134166035,225.975,4.0671802495355374e-08,64.0,,54487.0
1,128,10,1.824693754785081e-05,0.018247,0.002179954145247731,119.50267984104474,229.86,3.978968904470808e-08,68.0,,54858.0
1,128,16,1.855786553078411e-05,0.018558,0.002216184782821079,119.37072074668359,226.015,4.112768041351668e-08,70.0,,51179.0
1,128,20,1.8222498638096968e-05,0.0182225,0.0021725657617577628,119.17531481178514,230.17000000000002,3.959537889158157e-08,75.5,,55070.0
1,128,32,1.8381452121430503e-05,0.018381500000000002,0.002194807017385821,119.43212081794226,228.185,4.032664273922641e-08,65.5,,55505.0
1,128,64,1.8413739622297234e-05,0.0184135,0.0021889795547851473,118.93041391840683,227.78,4.026914685141981e-08,64.5,,54805.0
1,256,1,0.00028411326676176893,0.284113,0.021452504136947218,75.47586101516865,118.10499999999999,6.101549208842595e-06,74.0,,3505.0
1,256,2,0.00015622409526755334,0.15622399999999997,0.01441821303742654,92.21175804159265,214.78500000000003,2.254145348725432e-06,76.0,,6466.0
1,256,4,8.786470844212359e-05,0.08786450000000001,0.01049915726718886,119.490501346579,381.89,9.224941191056854e-07,83.0,,11490.0
1,256,8,9.224988493049802e-05,0.09225,0.012499396989781829,135.63428088798906,363.735,1.152722242401839e-06,72.0,,10863.0
1,256,10,9.974151953977385e-05,0.099742,0.014033753570720096,140.69296844531348,336.41499999999996,1.3998137542202047e-06,71.0,,10082.0
1,256,16,7.354378181818182e-05,0.0735435,0.01237701,168.49888151223507,456.25,9.103736392282446e-07,69.5,,13750.0
1,256,20,9.150498956726843e-05,0.091505,0.017304836568992107,189.11165349860119,366.7,1.5838937659908008e-06,67.0,,11023.0
1,256,32,7.234723428902403e-05,0.07234750000000001,0.015810821350999132,218.1778974619709,463.8,1.1433239440778484e-06,66.0,,13812.0
1,256,64,8.079494680851065e-05,0.080795,0.01715528704407295,212.30563679148315,415.305,1.3861057689192234e-06,67.0,,13160.0
1,512,1,0.0021798882863340563,2.1798884999999997,0.1670758763557484,76.5672108889856,123.145,0.00036419217959574816,75.5,,461.0
1,512,2,0.0011228832772166106,1.1228829999999999,0.1056786632996633,94.08802206382296,239.06,0.00011863476559649243,78.5,,891.0
1,512,4,0.0006006881752701079,0.600688,0.07526699489795918,125.22987484830915,446.88,4.521688293489953e-05,86.0,,1666.0
1,512,8,0.0005007663831915958,0.5007665,0.07515261505752877,150.0591192185802,536.05,3.762264391200816e-05,74.0,,1999.0
1,512,10,0.0004956807051909892,0.49568049999999997,0.07974587732615084,160.89675502218583,541.55,3.952738126051318e-05,73.0,,2042.0
1,512,16,0.0002856098374927452,0.28560949999999996,0.0626773379280325,219.32541696324785,939.865,1.7894638628485288e-05,77.0,,3446.0
1,512,20,0.00035198423577793007,0.351984,0.07754430654557917,220.24361752818197,762.635,2.7295995805459934e-05,71.0,,2918.0
1,512,32,0.0003313285950413223,0.3313285,0.08055069950413224,243.24432772615882,810.1800000000001,2.6700751814427708e-05,68.0,,3025.0
1,512,64,0.00046872224770642197,0.46872199999999997,0.11977485183486239,255.96324820147805,572.6949999999999,5.614116500300795e-05,77.0,,2180.0
1,1024,1,0.01744767543859649,17.447674499999998,1.3540527368421051,77.6145819552509,123.08000000000001,0.023620002518568786,80.5,,57.0
1,1024,2,0.008768070175438597,8.7680715,0.8341272938596491,95.12429500801301,244.92000000000002,0.007312947780616228,75.0,,114.0
1,1024,4,0.004673367441860464,4.673367,0.5896492069767442,126.0837738037141,459.515,0.002757011741876236,86.0,,215.0
1,1024,8,0.0033118316831683165,3.311833,0.535258595709571,161.61247873783765,648.4300000000001,0.0017721945889184174,78.0,,303.0
1,1024,10,0.0032390272435897437,3.239026,0.5568311506410257,171.8546723256203,663.0,0.0018036885435365204,77.5,,312.0
1,1024,16,0.0019111419047619048,1.911142,0.44831224190476193,234.43269094530137,1123.665,0.000856796694682928,77.5,,525.0
1,1024,20,0.0018410522935779815,1.841053,0.4739262467889908,257.42139346102437,1166.4450000000002,0.0008725230035354498,81.0,,545.0
1,1024,32,0.0018084521660649818,1.808452,0.48811725992779786,269.8983481114812,1187.47,0.0008827037425439843,74.0,,554.0
1,1024,64,0.0017471132404181184,1.7471135,0.5015380226480837,286.98213087128585,1229.1599999999999,0.0008762697714912739,76.5,,574.0
1,2048,1,0.13898412500000001,138.98408,10.86012375,78.09435152707687,123.61,1.5102557213629373,78.0,,8.0
1,2048,2,0.07095873333333333,70.9587325,7.0026189,98.58601167536033,242.11,0.49703125050641783,81.5,,15.0
