problem_size,metric,num_threads,value,ci95_low,ci95_high,relative_to_min_pct,within_practical_tolerance,ci_overlaps_exact_min,in_leader_set,exact_minimum,selection_status
64,package_energy_per_op_j_median,8,0.0004459453095281919,0.0004423340011605534,0.00045221805237044186,0.0,True,True,True,True,tie_or_uncertain
64,package_energy_per_op_j_median,16,0.00044764393632558885,0.00044451866582633225,0.00045122575807138494,0.38090473452765394,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,1,0.00044891625763125763,0.0004423055151285375,0.00045411067324394657,0.6662135556956494,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,64,0.00045121404795869845,0.00044130764620258585,0.0004555554464798385,1.1814763644629078,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,2,0.00045130682610708227,0.0004493803465328265,0.00045284380908832507,1.2022811910641806,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,32,0.00045167392338291243,0.00044223782533891375,0.00045348293709300894,1.284600091607957,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,4,0.00045170644958099956,0.000446565236352022,0.0004593464443202285,1.2918938555274595,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,20,0.0004533963301336461,0.0004464328177641654,0.000456893932275891,1.670837308130313,True,True,True,False,tie_or_uncertain
64,package_energy_per_op_j_median,10,0.00045415385494462047,0.00044515130014949876,0.0004566349630847998,1.840706750590826,True,True,True,False,tie_or_uncertain
128,package_energy_per_op_j_median,4,0.0016263004085608772,0.001617363377911868,0.0016567900562685532,0.0,True,True,True,True,clear_leader
128,package_energy_per_op_j_median,64,0.0021762437822618486,0.0021557902137741445,0.0021990877001722307,33.815608162308685,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,10,0.002179954145247731,0.002148489111310592,0.002208075130533902,34.04375561688418,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,8,0.002191258630499018,0.0021582215623366556,0.0022838174644467567,34.73885998946995,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,32,0.002194807017385821,0.0021699355233772786,0.002311403658370203,34.95704765443788,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,20,0.0022073487775844704,0.0021725657617577628,0.0022429032681208303,35.72823114136499,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,16,0.0022111887767363616,0.0021479091511698734,0.0023006022209622868,35.964349827167275,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,2,0.0022271713668124467,0.0021674530002252987,0.002250206821736717,36.94710737872124,False,False,False,False,clear_leader
128,package_energy_per_op_j_median,1,0.002942712618670886,0.002887346006038979,0.002986075421117913,80.94520564468834,False,False,False,False,clear_leader
