timestamp,host,cpu_model,backend,library,library_version,impl,workload,dtype,pattern,nrows,ncols,nnz,num_threads,batches,seconds_target,passes_e2e,seconds_kernel,energy_j,avg_power_w,below_target,bytes_total,bw_gb_s,temp_c,time_mode,energy_mode,omp_proc_bind,omp_places,energy_domain,numa_policy,notes,seconds_wall,kWh_e2e,energy_per_pass_j,kWh_per_pass,seconds_per_pass,M,K,N,flops_per_pass,joule_per_gflop,gflops,flops_per_watt,gb_per_s_kernel,j_per_gb_kernel
2025-10-16T00:27:35,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,0,1,265976,1.0134,94.032,92.8,0,14980832224,14.78,77,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0134,2.612e-05,0.0003535356573525431,9.820434926459531e-11,3.810118206153939e-06,,,,,,,,14.782743461614366,6.276820846398393
2025-10-16T00:27:36,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,1,1,265976,1.0142,93.905,92.6,0,14980832224,14.77,77,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0142,2.6084722222222222e-05,0.00035305817066201464,9.807171407278185e-11,3.813125996330496e-06,,,,,,,,14.771082847564584,6.268343346744099
2025-10-16T00:27:38,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,2,1,265976,1.0142,94.006,92.7,0,14980832224,14.77,78,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0142,2.6112777777777777e-05,0.000353437904171805,9.817719560327916e-11,3.813125996330496e-06,,,,,,,,14.771082847564584,6.275085295288065
2025-10-16T00:27:39,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,3,1,265976,1.0121,93.462,92.3,0,14980832224,14.8,77,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0121,2.596166666666667e-05,0.00035139260685174606,9.760905745881835e-11,3.8052305471170332e-06,,,,,,,,14.801731275565654,6.238772225902742
2025-10-16T00:27:40,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,4,1,265976,1.0148,94.009,92.6,0,14980832224,14.76,78,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0148,2.6113611111111112e-05,0.0003534491833849671,9.818032871804641e-11,3.815381838962913e-06,,,,,,,,14.762349452108792,6.27528555118541
2025-10-16T00:27:41,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,5,1,265976,1.0133,93.799,92.6,0,14980832224,14.78,78,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0133,2.605527777777778e-05,0.0003526596384636208,9.796101068433911e-11,3.8097422323818696e-06,,,,,,,,14.784202332971477,6.261267638371224
2025-10-16T00:27:42,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,6,1,265976,1.0104,93.562,92.6,0,14980832224,14.83,78,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0104,2.5989444444444445e-05,0.00035176858062381565,9.771349461772657e-11,3.798838992991849e-06,,,,,,,,14.82663521773555,6.245447422480926
2025-10-16T00:27:43,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,7,1,265976,1.0162,94.096,92.6,0,14980832224,14.74,77,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0162,2.6137777777777778e-05,0.0003537762805666677,9.827118904629658e-11,3.820645471771889e-06,,,,,,,,14.742011635504822,6.281092972208431
2025-10-16T00:27:44,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,8,1,265976,1.0109,93.423,92.4,0,14980832224,14.82,77,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0109,2.5950833333333332e-05,0.00035124597708063887,9.756832696684413e-11,3.800718861852197e-06,,,,,,,,14.8193018340093,6.23616889923725
2025-10-16T00:27:45,rock-ms7a95,Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,20,9,1,265976,1.0153,93.926,92.5,0,14980832224,14.76,78,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;calibration_adjusted=1;passes=265976,1.0153,2.6090555555555555e-05,0.00035313712515414926,9.809364587615257e-11,3.817261707823263e-06,,,,,,,,14.755079507534717,6.269745138025518
