session_number,problem_size,runtime_per_op_s,device_energy_per_op_j,gflops_per_s,avg_power_w,temp_c,sm_clock_mhz,edp_j_s,kernel_fraction,clock_change_pct,temperature_rise_c
1,64,5.217029646225186e-06,0.0008412728598968373,100.49677,161.274947,57.5,1965.0,4.3884049941422e-09,0.9999880138435173,0.0,0.0
1,128,5.161149326824335e-06,0.0009135889113080094,812.67911,176.9864725,56.5,1965.0,4.715780447847844e-09,0.9999875014528268,0.0,0.0
1,256,7.180509782803805e-06,0.001980229761263687,4673.1165359999995,275.7848275,62.0,1965.0,1.4218725551522503e-08,0.9999860008819343,0.0,0.0
1,512,2.268124110511216e-05,0.007248085481284026,11835.282557499999,319.45391800000004,65.0,1822.0,1.6441095064942165e-07,0.9999870670753331,0.0,0.0
1,1024,0.00012109817213412419,0.040079651373925676,17733.6176625,330.9558945,64.0,1605.0,4.848831622052835e-06,0.999986492502197,0.0,0.0
1,2048,0.0007520269865067466,0.24805209895052474,22845.052298,330.004529,61.5,1695.0,0.00018650611684178524,0.9999865409546265,0.0,0.0
1,4096,0.005548176795580111,1.7094088397790055,24772.256440999998,307.8801125,62.0,1680.0,0.009489006573761484,0.9999870517924958,0.0,0.0
1,8192,0.04174214583333334,13.157,26340.889116500002,315.1973825,64.0,1605.0,0.5491252291987847,0.9999870190300669,0.0,0.0
1,16384,0.33259787500000004,103.701,26446.935580999998,311.82498699999996,63.0,1601.0,34.509115832625,0.9999887067580534,0.0,0.0
2,64,5.217261330258716e-06,0.0008383713225895647,100.49225200000001,160.71482150000003,57.0,1965.0,4.373374799705338e-09,0.9999879985296541,0.0,0.0
2,128,5.1610194629475435e-06,0.0009307217943380516,812.6979225,180.209517,59.0,1965.0,4.804832517128775e-09,0.9999878980714592,0.0,0.0
2,256,7.179988369087619e-06,0.0019903793687717185,4673.387565999999,277.21135449999997,62.0,1965.0,1.4291751423637397e-08,0.9999880004079857,0.0,0.0
2,512,2.269167419792137e-05,0.007213409399005874,11829.8695415,317.8530975,65.5,1822.0,1.6370235151338404e-07,0.9999880558566825,0.0,0.0
2,1024,0.00012117823878069434,0.03991248336760614,17721.907495,329.57161099999996,63.0,1605.0,4.834098283702735e-06,0.9999875123695912,0.0,0.0
2,2048,0.0007534766741911211,0.250474416854778,22801.1101255,332.7494845,64.0,1695.0,0.00018857066672158554,0.9999870213237183,0.0,0.0
2,4096,0.005562922222222223,1.7220583333333335,24706.5518715,309.6614715,64.0,1680.0,0.009575699664537038,0.9999880035863367,0.0,0.0
2,8192,0.04171006249999999,13.143166666666668,26361.1509355,315.195922,64.0,1605.0,0.5480490780303819,0.9999855160322739,0.0,0.0
2,16384,0.33150487500000003,103.080375,26534.072383500003,310.8401675,65.0,1601.0,34.18336661315625,0.9999901987548095,0.0,0.0
3,64,5.224620282895767e-06,0.00084244480400856,100.350511,161.272674,57.0,1965.0,4.400704092119832e-09,0.9999895079026079,0.0,0.0
3,128,5.183126736815811e-06,0.0009327962864666271,809.2450455000001,180.429354,60.0,1953.5,4.818814306089522e-09,0.9999884038051903,0.0,0.0
3,256,7.24233833007459e-06,0.002019610399015135,4633.150179,278.8655465,65.0,1950.0,1.4626497999058478e-08,0.9999890010668964,0.0,0.0
3,512,2.2760561473190104e-05,0.007197768098934826,11794.038141,316.57727,66.0,1815.0,1.6351774961251066e-07,0.999985610794616,0.0,0.0
3,1024,0.00012099057953732413,0.039501371333174336,17749.3726375,326.149996,64.0,1605.0,4.782409701544811e-06,0.9999891572202736,0.0,0.0
3,2048,0.0007518487584650113,0.2509823175319789,22850.426692,333.667254,66.0,1695.0,0.00018878728612573256,0.9999889898320654,0.0,0.0
3,4096,0.0055513555555555556,1.7268555555555556,24758.114836,311.126079,66.0,1680.0,0.009584638814583334,0.999988992563394,0.0,0.0
3,8192,0.041795979166666664,13.206083333333334,26307.033062000002,316.2808735,66.0,1605.0,0.5512588548602431,0.9999885242794141,0.0,0.0
3,16384,0.33190462499999995,104.28450000000001,26502.114903499998,314.5210985,65.0,1597.0,34.562527668875,0.999990577777154,0.0,0.0
4,64,5.215761141712569e-06,0.0008382078325822066,100.520949,160.70032500000002,56.5,1965.0,4.37204280930305e-09,0.9999889986412479,0.0,0.0
4,128,5.161102740856931e-06,0.0009229959547593495,812.68536,178.839948,58.0,1965.0,4.763598433803592e-09,0.9999885024163297,0.0,0.0
4,256,7.1800376215160615e-06,0.001991596186154708,4673.344419,277.3833555,62.0,1965.0,1.4299542522828051e-08,0.9999890006434622,0.0,0.0
4,512,2.2619119707171586e-05,0.007225586334673958,11867.771779,319.393123,63.0,1830.0,1.6344807814612431e-07,0.9999880132752968,0.0,0.0
4,1024,0.00012092045454545455,0.039883945841392654,17759.6748935,329.916699,64.0,1605.0,4.821610490833423e-06,0.999988005672773,0.0,0.0
4,2048,0.0007529011278195488,0.25093646616541354,22818.546878,333.49922849999996,63.0,1695.0,0.00018896016018994855,0.9999880186549519,0.0,0.0
4,4096,0.005565658333333334,1.717661111111111,24694.4054045,308.73627,63.0,1676.0,0.0095613850675,0.9999880342519059,0.0,0.0
4,8192,0.04173070833333334,13.133895833333334,26348.0651525,314.620942,65.0,1605.0,0.5482763006675347,0.999989012635458,0.0,0.0
4,16384,0.33249425,103.273875,26455.120476,310.739581,62.0,1590.0,34.309241904125,0.9999898421738491,0.0,0.0
5,64,5.2154067254720225e-06,0.000842363287962259,100.52811399999999,161.535514,59.0,1965.0,4.392692413771321e-09,0.9999870102601895,0.0,0.0
