schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok,source_file,session_number,checksum_bool,runtime_per_op_s,kernel_runtime_per_op_s,device_energy_per_op_j,edp_j_s,clock_change_pct,temperature_rise_c,kernel_fraction,throttle_mask,serious_throttle,outlier_scope
cpu-gpu-v2,2026-07-19T15:28:53,20260719_152731_session1,57,57,7,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,128,N=128,193783,1.000664,1.000652,1.000664,176.615,176.615,-1.0,0.0009114060573,176.4978587,2.172961372e-10,0.005163774915,0.005163836343,812784812000.0,812.255388,196608.0,176.497859,in_range,4,16,1965,1965,1965,9501,56,56,56,0x0,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,5.16383790115748e-06,5.1637759762208246e-06,0.0009114060572908872,4.706353141983189e-09,0.0,0,0.9999880079627128,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:28:55,20260719_152731_session1,59,59,9,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,128,N=128,193783,1.000708,1.000696,1.000708,177.693,177.693,-1.0,0.0009169689808,177.5673051,2.186224415e-10,0.005164002006,0.005164064299,812784812000.0,812.219669,196608.0,177.567305,in_range,4,16,1965,1965,1965,9501,56,56,56,0x0,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,5.164064959258552e-06,5.164003034321896e-06,0.0009169689807671469,4.735287382306652e-09,0.0,0,0.9999880084899891,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:28:56,20260719_152731_session1,60,60,10,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,128,N=128,193783,1.000455,1.000433,1.000455,176.784,176.784,-1.0,0.0009122781668,176.7036541,2.175040643e-10,0.005162643871,0.005162757791,812784812000.0,812.433339,196608.0,176.703654,in_range,4,16,1965,1965,1965,9501,56,56,56,0x0,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,5.1627593751773895e-06,5.1626458461268525e-06,0.0009122781668154585,4.70987265849615e-09,0.0,0,0.9999780100054473,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:29:12,20260719_152731_session1,72,72,2,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,256,N=256,139275,1.00009,1.000076,1.00009,302.57,302.57,-1.0,0.002172464549,302.5427094,6.474448885e-11,0.007180587284,0.007180687158,4673293517000.0,4672.937,786432.0,302.542709,in_range,4,16,1965,1965,1965,9501,62,61,62,0x0,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,7.180685693771315e-06,7.180585173218452e-06,0.002172464548555017,1.559978510403437e-08,0.0,1,0.9999860012598867,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:29:20,20260719_152731_session1,80,80,10,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,256,N=256,139275,1.000544,1.00053,1.000544,277.352,277.352,-1.0,0.001991398313,277.2012189,5.934829452e-11,0.007183844245,0.007183945008,4673293517000.0,4670.818416,786432.0,277.201219,in_range,4,16,1965,1965,1965,9501,62,62,62,0x0,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,7.1839454316998755e-06,7.183844911147011e-06,0.00199139831269072,1.4306096811149336e-08,0.0,0,0.999986007611859,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:28:10,20260719_152731_session1,22,22,2,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,512,N=512,44267,1.003517,1.003505,1.003517,351.994,351.994,-1.0,0.00795161181,350.7604296,2.962206233e-11,0.0226693618,0.02266963756,11882832330000.0,11841.332738,3145728.0,350.76043,in_range,4,16,1830,1830,1830,9501,65,65,65,0x4,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,2.2669641041859626e-05,2.266936995956356e-05,0.007951611810152033,1.8026018544035825e-07,0.0,0,0.9999880420560888,4,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:29:25,20260719_152731_session1,82,82,2,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,1024,N=1024,8261,0.999019,0.999005,0.999019,336.082,336.082,-1.0,0.04068296816,336.4120909,1.894448333e-11,0.1209302975,0.1209319441,17740362420000.0,17758.028316,12582912.0,336.412091,in_range,4,16,1605,1605,1605,9501,63,63,63,0x4,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,0.00012093196949521849,0.00012093027478513498,0.04068296816366057,4.919871464942745e-06,0.0,0,0.9999859862525138,4,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:29:28,20260719_152731_session1,85,85,5,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,1024,N=1024,8261,1.001033,1.001018,1.001033,328.262,328.262,-1.0,0.03973635153,327.9233902,1.850368061e-11,0.1211739949,0.1211757158,17740362420000.0,17722.314515,12582912.0,327.92339,in_range,4,16,1605,1605,1605,9501,64,63,64,0x4,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,0.0001211757656458056,0.0001211739498850018,0.03973635153129161,4.815082820775141e-06,0.0,1,0.9999850154790101,4,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:29:31,20260719_152731_session1,88,88,8,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,1024,N=1024,8261,1.001864,1.001849,1.001864,325.724,325.724,-1.0,0.0394291248,325.1180518,1.836061701e-11,0.1212745208,0.121276332,17740362420000.0,17707.624278,12582912.0,325.118052,in_range,4,16,1605,1605,1605,9501,64,64,64,0x4,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,0.00012127635879433484,0.00012127454303353104,0.03942912480329258,4.781820686590719e-06,0.0,0,0.9999850279079794,4,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:29:02,20260719_152731_session1,64,64,4,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,4096,N=4096,181,1.004279,1.004264,1.004279,340.588,340.588,-1.0,1.881701657,339.1369507,1.36911815e-11,5.54842246,5.548500845,24876450580000.0,24770.816291,201326592.0,339.136951,in_range,4,16,1680,1680,1680,9501,61,61,61,0x4,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,0.005548502762430939,0.005548419889502763,1.8817016574585637,0.010440626844479717,0.0,0,0.9999850639115228,4,False,within_session_and_size
cpu-gpu-v2,2026-07-19T15:28:21,20260719_152731_session1,32,32,2,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 3090,-1,8192,N=8192,24,0.99996,0.999946,0.99996,313.57,313.57,-1.0,13.06541667,313.5825549,1.188292723e-11,41.66442617,41.66499846,26388279070000.0,26389.698093,805306368.0,313.582555,in_range,4,16,1605,1605,1605,9501,64,64,64,0x4,-1,-1,-1.0,-1,t,gemm_3090_20260719_152731_session1.csv,1,True,0.041665,0.04166441666666667,13.065416666666666,0.5443705854166666,0.0,0,0.9999859994399777,4,False,within_session_and_size
