session_number,rows,median_gflops,median_power_w,median_temp_c,max_temp_c,median_sm_clock_mhz,serious_throttle_rows,in_range_share
1,90,17733.6176625,311.82498699999996,62.0,65,1695.0,0,0.8888888888888888
2,90,17721.907495,311.22751200000005,64.0,66,1695.0,0,0.8888888888888888
3,90,17749.3726375,312.9851125,65.0,67,1695.0,0,0.8888888888888888
4,90,17759.6748935,311.0664365,63.0,65,1695.0,0,0.8888888888888888
5,90,17760.910389,311.24809200000004,64.0,66,1695.0,0,0.8888888888888888
