session_number,rows,median_gflops,median_power_w,median_temp_c,max_temp_c,median_sm_clock_mhz,serious_throttle_rows,in_range_share
1,90,4790.436028747265,121.24678349999999,63.0,71,2746.5,0,0.8888888888888888
2,90,4787.219760015048,122.5963785,67.0,71,2745.0,0,0.8888888888888888
3,90,4764.439584788139,125.814451,66.0,72,2745.0,0,0.8888888888888888
4,90,4764.968404387917,124.9045875,68.0,72,2745.0,0,0.8888888888888888
5,90,4764.59917104711,125.7430215,66.0,72,2745.0,0,0.8888888888888888
