problem_size,sessions,runtime_per_op_s_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,runtime_per_op_s_session_cv_pct,device_energy_per_op_j_median,device_energy_per_op_j_ci95_low,device_energy_per_op_j_ci95_high,device_energy_per_op_j_session_cv_pct,throughput_gflops_exact_median,throughput_gflops_exact_ci95_low,throughput_gflops_exact_ci95_high,throughput_gflops_exact_session_cv_pct,efficiency_gflop_per_j_exact_median,efficiency_gflop_per_j_exact_ci95_low,efficiency_gflop_per_j_exact_ci95_high,efficiency_gflop_per_j_exact_session_cv_pct,avg_power_w_median,avg_power_w_ci95_low,avg_power_w_ci95_high,avg_power_w_session_cv_pct,temp_c_median,temp_c_ci95_low,temp_c_ci95_high,temp_c_session_cv_pct,sm_clock_mhz_median,sm_clock_mhz_ci95_low,sm_clock_mhz_ci95_high,sm_clock_mhz_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,run_runtime_cv_pct,run_energy_cv_pct,in_range_share,batch_median,serious_throttle_rows,stable_runtime,stable_energy,stable_throughput
64,5,9.824193706499364e-06,9.745628561687204e-06,9.859147042353149e-06,0.44115006213449554,0.0003301833153612391,0.0003283867291500879,0.00033289172470897673,0.5597626177179061,53.36702678614248,53.177825440264186,53.797249124316025,0.44285809501892187,1.5878697262639792,1.5749509721820405,1.5965566038943446,0.5583368315574543,33.572706,33.318714,34.146522,0.9471083012270789,48.0,47.0,49.0,1.7503347835440912,2797.0,2797.0,2797.0,0.0,3.241224180560288e-09,3.235826667882598e-09,3.246018511873912e-09,0.14681471367015622,1.6989661073160458,3.0032325746213107,1.0,102010.0,0,True,True,True
128,5,9.844514270493177e-06,9.768276010234174e-06,9.861121776885135e-06,0.4699803008759041,0.0004243214979824985,0.0004190262752675095,0.00043047499072283745,1.0121670336838158,426.0549494704808,425.3374273368029,429.38018786578016,0.47069131403286313,9.884754947789713,9.743537163343277,10.009715021621695,1.014037715814641,43.2283795,42.5344305,44.1777745,1.365864665106822,50.0,49.0,51.0,1.4142135623730951,2790.0,2788.0,2790.0,0.03206291909233998,4.177338209321127e-09,4.13402629210967e-09,4.239478810327265e-09,0.929118444754099,1.9124096515965037,3.415746673288282,1.0,101959.0,0,True,True,True
256,5,1.63740113641946e-05,1.6367679811345476e-05,1.637639603052435e-05,0.02077556238032565,0.0012476624035895,0.0012450789335778853,0.0012573772639439297,0.4046619536156032,2049.24936267875,2048.9509375235616,2050.042065574854,0.020779935409876812,26.893850276901983,26.68604986462236,26.94964793333689,0.4036873280530685,76.190404,76.070106,76.81147250000001,0.40733532075909645,57.5,56.0,58.0,1.641077801216641,2775.0,2775.0,2775.0,0.0,2.04331027280577e-08,2.0378850093442734e-08,2.058282493894281e-08,0.4020234528578918,0.03351222824890887,0.6901315816884028,1.0,61066.0,0,True,True,True
512,5,6.762133198106828e-05,6.762039353573603e-05,6.927420554428668e-05,1.081078255625365,0.00733289384719405,0.007259972954699121,0.00748834214922049,1.2098965464328746,3969.6860167619893,3874.9947865465097,3969.741108685383,1.0653644245940326,36.6070627524957,35.84733081714896,36.97471845945845,1.1986719432482007,107.767326,107.35907399999999,108.7889735,0.5313556970250475,65.0,61.5,65.0,2.8082486373623734,2767.0,2752.0,2767.0,0.2975674886844437,4.998092197938138e-07,4.909432765363728e-07,5.14127722968264e-07,1.84713350985098,1.2186790824194083,2.555142073424655,1.0,14790.0,0,True,True,True
1024,5,0.0004506816133393421,0.0004482856827220503,0.0004507316358720144,0.27790573734280166,0.056287967552951776,0.05421608484312859,0.05670527264533574,1.9997135054311084,4764.968404387917,4764.439584788139,4790.436028747265,0.27820635258601106,38.15177807654471,37.87097894339954,39.60980369840995,2.0190330212775267,124.9045875,121.24678349999999,125.814451,1.6460281011454583,69.0,63.0,70.0,4.350407434735288,2730.0,2730.0,2746.5,0.3158614250825114,2.536605157483985e-05,2.4275268276344716e-05,2.5557378381957127e-05,2.308157129182962,0.3142833771876779,1.8753217013550765,1.0,2219.0,0,True,True,True
2048,5,0.0035091747404844293,0.0035088663194444442,0.003526144366197183,0.21707154069744938,0.47328125,0.4682439446366782,0.4810404929577464,1.1632446596625385,4895.700685920405,4872.140049779735,4896.131006685477,0.2164418448519578,36.299509035233996,35.71407190397306,36.69002961717966,1.1610343185214576,134.80837300000002,133.430855,136.4336085,0.9617887584087573,67.5,66.0,69.0,1.7711181582067241,2745.0,2730.0,2745.0,0.24464638703498795,0.0016615822339470004,0.0016431911006812659,0.0016960620713772068,1.3194157933945119,0.2274608280382598,3.3685425665523794,1.0,288.0,0,True,True,True
4096,5,0.028129527777777778,0.02799472222222222,0.02813084722222222,0.26207652203900833,3.884069444444444,3.7996891891891895,3.938194444444444,1.3363429361244652,4885.931771147651,4885.7026020696,4909.459446718003,0.2623277824789724,35.38529829183848,34.89897646276364,36.17111131762519,1.3486758027186574,138.61771800000002,135.410504,139.997006,1.248365901374352,69.0,67.0,71.0,2.278380763100222,2730.0,2730.0,2745.0,0.30028648986028844,0.10926291919945988,0.1066217890398101,0.11078365217554012,1.4514920456557743,0.2338204397915784,3.925226083245124,1.0,36.0,0,True,True,True
8192,5,0.2234366,0.2232954,0.22437220000000002,0.20071718501915137,31.042099999999998,30.8521,31.1218,0.39516713664163233,4920.9118067991085,4900.391527256547,4924.022742853031,0.2003479835747458,35.42002086241271,35.3293102610333,35.638145467814226,0.39548460626328175,138.825492,138.1712125,139.3447785,0.35977888029963917,68.0,66.5,69.0,1.6035120849614497,2741.0,2731.5,2745.0,0.20134096634175788,6.953095192819999,6.888820404279999,6.95608433544,0.5087203677926367,0.21881440816947112,3.747614644789353,1.0,5.0,0,True,True,True
16384,5,1.7920859999999998,1.791952,1.7922069999999999,0.006307526725883361,291.865,289.402,292.225,0.414120266909129,4908.298498220447,4907.967116712627,4908.665534738997,0.006307572273445856,30.137563977488284,30.10042624822607,30.39403270917181,0.41508678951203193,162.8796855,161.5944355,163.058589,0.3899599877530471,70.5,69.5,72.0,1.3622793244809737,2730.0,2730.0,2730.0,0.0,522.988512119,518.6584591789999,523.7102860605,0.41278419651346426,0.12483207696639087,1.448025733252655,0.0,1.0,0,True,True,True
