platform,platform_label,device_kind,energy_domain,problem_size,policy,optimized_metric,lower_is_better,leader_count,selection_status,gap_to_second_pct,ci_separated_from_all,exact_configuration,leader_configurations,exact_num_threads,selected_runtime_s_median,selected_runtime_s_ci95_low,selected_runtime_s_ci95_high,selected_runtime_s_session_cv_pct,selected_energy_j_median,selected_energy_j_ci95_low,selected_energy_j_ci95_high,selected_energy_j_session_cv_pct,selected_total_energy_j_median,selected_total_energy_j_ci95_low,selected_total_energy_j_ci95_high,selected_total_energy_j_session_cv_pct,selected_power_w_median,selected_power_w_ci95_low,selected_power_w_ci95_high,selected_power_w_session_cv_pct,selected_edp_j_s_median,selected_edp_j_s_ci95_low,selected_edp_j_s_ci95_high,selected_edp_j_s_session_cv_pct,selected_throughput_gflops_median,selected_throughput_gflops_ci95_low,selected_throughput_gflops_ci95_high,selected_throughput_gflops_session_cv_pct,selected_efficiency_gflop_per_j_median,selected_efficiency_gflop_per_j_ci95_low,selected_efficiency_gflop_per_j_ci95_high,selected_efficiency_gflop_per_j_session_cv_pct,selected_logical_bandwidth_gb_s_median,selected_logical_bandwidth_gb_s_ci95_low,selected_logical_bandwidth_gb_s_ci95_high,selected_logical_bandwidth_gb_s_session_cv_pct,selected_logical_gb_per_j_median,selected_logical_gb_per_j_ci95_low,selected_logical_gb_per_j_ci95_high,selected_logical_gb_per_j_session_cv_pct,selected_temperature_c_median,selected_temperature_c_ci95_low,selected_temperature_c_ci95_high,selected_temperature_c_session_cv_pct,selected_clock_mhz_median,selected_clock_mhz_ci95_low,selected_clock_mhz_ci95_high,selected_clock_mhz_session_cv_pct
3090,RTX 3090,GPU,GPU board NVML,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,5.658497548303753e-06,5.633382602035967e-06,5.700756277427376e-06,0.4680180057200071,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,214.1035309688126,211.84355832500495,216.2819062972453,0.9399483871528389,6.867408474650861e-09,6.8563039715819475e-09,6.9115211962921775e-09,0.3159301877040963,176.72518039700657,175.4151469270104,177.5130628689394,0.46774224759402727,0.825297698768835,0.8180432087188846,0.8285207420979878,0.5507911710074485,706.9021353908831,701.6619910306204,710.0536715816806,0.46774224759402244,3.3011973974635325,3.2721793792277523,3.314089596564516,0.5507911710074508,61.5,59.0,62.0,2.203022637930827,1950.0,1950.0,1950.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,6.147174095315372e-06,6.14706841610268e-06,6.258617487122562e-06,0.8080120674575985,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,65.48561848365615,64.82529226219648,66.5902430008259,1.124746367258606,2.5025618159294214e-09,2.4614950598417303e-09,2.53995084832503e-09,1.2646252707148884,162.67621259695207,159.77953630455144,162.67900929497253,0.7993466790052094,2.4640678510107055,2.442930319766254,2.497288078826983,0.8814859244418592,650.7061517988104,639.1194234557744,650.717338613266,0.7993466790052142,9.856291116605343,9.771740822527118,9.98917229363254,0.8814859244418602,55.0,53.0,56.0,2.3792709508038867,2752.0,2752.0,2752.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,5,tie_or_uncertain,0.37122445260240333,False,8T,"8T,10T,16T,20T,32T",8,2.814334881876381e-05,2.767271129141312e-05,2.8746650251946864e-05,1.6757872479162421,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,103.17418411513056,101.74146675588744,103.5323184676756,0.6870170534715137,8.16586759814696e-08,7.902089249272989e-08,8.520316406655733e-08,3.017518310308416,35.53233861541303,34.7866270064727,36.136647019126784,1.675131855941138,0.34464581181553094,0.33703327914721254,0.35019452129381834,1.407946350637851,142.1296387206453,139.14678631918514,144.5468771699724,1.6751318559411403,1.3785860044313756,1.3481358128577798,1.4007808867342455,1.4079463506378502,55.0,53.0,56.0,2.201388405629304,2137.0,2102.0,2147.0,0.8894566357979701
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,4,tie_or_uncertain,19.038528493918072,False,20T,"8T,10T,16T,20T",20,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549,0.0013021631342023,0.0022389367965183,23.819073217501526,0.0015453029138073,0.0013021631342023,0.0022389367965183,23.819070467165947,129.3283028785228,111.7376851879908,133.82983206684366,6.8156989563015555,1.8139529036954354e-08,1.517512630170912e-08,3.8761089432139716e-08,45.26029542482795,84.98677819060771,57.762425937518564,86.80194761252564,20.22811972280648,0.6471217839015534,0.44664012023701016,0.7679521664638398,23.15009695386358,339.9477926573363,231.05016584994385,347.2084848663779,20.228119722806483,2.588492312585662,1.7865640540725758,3.0718148094788345,23.15009695386358,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166
3090,RTX 3090,GPU,GPU board NVML,1000000,bytes_per_j_opt,logical_gb_per_j,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,5.658497548303753e-06,5.633382602035967e-06,5.700756277427376e-06,0.4680180057200071,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,214.1035309688126,211.84355832500495,216.2819062972453,0.9399483871528389,6.867408474650861e-09,6.8563039715819475e-09,6.9115211962921775e-09,0.3159301877040963,176.72518039700657,175.4151469270104,177.5130628689394,0.46774224759402727,0.825297698768835,0.8180432087188846,0.8285207420979878,0.5507911710074485,706.9021353908831,701.6619910306204,710.0536715816806,0.46774224759402244,3.3011973974635325,3.2721793792277523,3.314089596564516,0.5507911710074508,61.5,59.0,62.0,2.203022637930827,1950.0,1950.0,1950.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,bytes_per_j_opt,logical_gb_per_j,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,6.147174095315372e-06,6.14706841610268e-06,6.258617487122562e-06,0.8080120674575985,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,65.48561848365615,64.82529226219648,66.5902430008259,1.124746367258606,2.5025618159294214e-09,2.4614950598417303e-09,2.53995084832503e-09,1.2646252707148884,162.67621259695207,159.77953630455144,162.67900929497253,0.7993466790052094,2.4640678510107055,2.442930319766254,2.497288078826983,0.8814859244418592,650.7061517988104,639.1194234557744,650.717338613266,0.7993466790052142,9.856291116605343,9.771740822527118,9.98917229363254,0.8814859244418602,55.0,53.0,56.0,2.3792709508038867,2752.0,2752.0,2752.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,1000000,bytes_per_j_opt,logical_gb_per_j,False,5,tie_or_uncertain,4.9099786282823965,False,8T,"8T,10T,16T,20T,32T",8,2.814334881876381e-05,2.767271129141312e-05,2.8746650251946864e-05,1.6757872479162421,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,103.17418411513056,101.74146675588744,103.5323184676756,0.6870170534715137,8.16586759814696e-08,7.902089249272989e-08,8.520316406655733e-08,3.017518310308416,35.53233861541303,34.7866270064727,36.136647019126784,1.675131855941138,0.34464581181553094,0.33703327914721254,0.35019452129381834,1.407946350637851,142.1296387206453,139.14678631918514,144.5468771699724,1.6751318559411403,1.3785860044313756,1.3481358128577798,1.4007808867342455,1.4079463506378502,55.0,53.0,56.0,2.201388405629304,2137.0,2102.0,2147.0,0.8894566357979701
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,bytes_per_j_opt,logical_gb_per_j,False,4,tie_or_uncertain,17.12880421123113,False,20T,"8T,10T,16T,20T",20,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549,0.0013021631342023,0.0022389367965183,23.819073217501526,0.0015453029138073,0.0013021631342023,0.0022389367965183,23.819070467165947,129.3283028785228,111.7376851879908,133.82983206684366,6.8156989563015555,1.8139529036954354e-08,1.517512630170912e-08,3.8761089432139716e-08,45.26029542482795,84.98677819060771,57.762425937518564,86.80194761252564,20.22811972280648,0.6471217839015534,0.44664012023701016,0.7679521664638398,23.15009695386358,339.9477926573363,231.05016584994385,347.2084848663779,20.228119722806483,2.588492312585662,1.7865640540725758,3.0718148094788345,23.15009695386358,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166
3090,RTX 3090,GPU,GPU board NVML,1000000,edp_opt,edp_j_s,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,5.658497548303753e-06,5.633382602035967e-06,5.700756277427376e-06,0.4680180057200071,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,214.1035309688126,211.84355832500495,216.2819062972453,0.9399483871528389,6.867408474650861e-09,6.8563039715819475e-09,6.9115211962921775e-09,0.3159301877040963,176.72518039700657,175.4151469270104,177.5130628689394,0.46774224759402727,0.825297698768835,0.8180432087188846,0.8285207420979878,0.5507911710074485,706.9021353908831,701.6619910306204,710.0536715816806,0.46774224759402244,3.3011973974635325,3.2721793792277523,3.314089596564516,0.5507911710074508,61.5,59.0,62.0,2.203022637930827,1950.0,1950.0,1950.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,edp_opt,edp_j_s,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,6.147174095315372e-06,6.14706841610268e-06,6.258617487122562e-06,0.8080120674575985,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,65.48561848365615,64.82529226219648,66.5902430008259,1.124746367258606,2.5025618159294214e-09,2.4614950598417303e-09,2.53995084832503e-09,1.2646252707148884,162.67621259695207,159.77953630455144,162.67900929497253,0.7993466790052094,2.4640678510107055,2.442930319766254,2.497288078826983,0.8814859244418592,650.7061517988104,639.1194234557744,650.717338613266,0.7993466790052142,9.856291116605343,9.771740822527118,9.98917229363254,0.8814859244418602,55.0,53.0,56.0,2.3792709508038867,2752.0,2752.0,2752.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,1000000,edp_opt,edp_j_s,True,5,tie_or_uncertain,5.299430122170534,False,8T,"8T,10T,16T,20T,32T",8,2.814334881876381e-05,2.767271129141312e-05,2.8746650251946864e-05,1.6757872479162421,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,103.17418411513056,101.74146675588744,103.5323184676756,0.6870170534715137,8.16586759814696e-08,7.902089249272989e-08,8.520316406655733e-08,3.017518310308416,35.53233861541303,34.7866270064727,36.136647019126784,1.675131855941138,0.34464581181553094,0.33703327914721254,0.35019452129381834,1.407946350637851,142.1296387206453,139.14678631918514,144.5468771699724,1.6751318559411403,1.3785860044313756,1.3481358128577798,1.4007808867342455,1.4079463506378502,55.0,53.0,56.0,2.201388405629304,2137.0,2102.0,2147.0,0.8894566357979701
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,edp_opt,edp_j_s,True,4,tie_or_uncertain,39.761321426868456,False,20T,"8T,10T,16T,20T",20,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549,0.0013021631342023,0.0022389367965183,23.819073217501526,0.0015453029138073,0.0013021631342023,0.0022389367965183,23.819070467165947,129.3283028785228,111.7376851879908,133.82983206684366,6.8156989563015555,1.8139529036954354e-08,1.517512630170912e-08,3.8761089432139716e-08,45.26029542482795,84.98677819060771,57.762425937518564,86.80194761252564,20.22811972280648,0.6471217839015534,0.44664012023701016,0.7679521664638398,23.15009695386358,339.9477926573363,231.05016584994385,347.2084848663779,20.228119722806483,2.588492312585662,1.7865640540725758,3.0718148094788345,23.15009695386358,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166
3090,RTX 3090,GPU,GPU board NVML,1000000,energy_opt,energy_j,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,5.658497548303753e-06,5.633382602035967e-06,5.700756277427376e-06,0.4680180057200071,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,214.1035309688126,211.84355832500495,216.2819062972453,0.9399483871528389,6.867408474650861e-09,6.8563039715819475e-09,6.9115211962921775e-09,0.3159301877040963,176.72518039700657,175.4151469270104,177.5130628689394,0.46774224759402727,0.825297698768835,0.8180432087188846,0.8285207420979878,0.5507911710074485,706.9021353908831,701.6619910306204,710.0536715816806,0.46774224759402244,3.3011973974635325,3.2721793792277523,3.314089596564516,0.5507911710074508,61.5,59.0,62.0,2.203022637930827,1950.0,1950.0,1950.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,energy_opt,energy_j,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,6.147174095315372e-06,6.14706841610268e-06,6.258617487122562e-06,0.8080120674575985,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,65.48561848365615,64.82529226219648,66.5902430008259,1.124746367258606,2.5025618159294214e-09,2.4614950598417303e-09,2.53995084832503e-09,1.2646252707148884,162.67621259695207,159.77953630455144,162.67900929497253,0.7993466790052094,2.4640678510107055,2.442930319766254,2.497288078826983,0.8814859244418592,650.7061517988104,639.1194234557744,650.717338613266,0.7993466790052142,9.856291116605343,9.771740822527118,9.98917229363254,0.8814859244418602,55.0,53.0,56.0,2.3792709508038867,2752.0,2752.0,2752.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,1000000,energy_opt,energy_j,True,5,tie_or_uncertain,4.909978628282374,False,8T,"8T,10T,16T,20T,32T",8,2.814334881876381e-05,2.767271129141312e-05,2.8746650251946864e-05,1.6757872479162421,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,0.0029015266273865,0.0028555529546991,0.0029670630821095,1.409353700109022,103.17418411513056,101.74146675588744,103.5323184676756,0.6870170534715137,8.16586759814696e-08,7.902089249272989e-08,8.520316406655733e-08,3.017518310308416,35.53233861541303,34.7866270064727,36.136647019126784,1.675131855941138,0.34464581181553094,0.33703327914721254,0.35019452129381834,1.407946350637851,142.1296387206453,139.14678631918514,144.5468771699724,1.6751318559411403,1.3785860044313756,1.3481358128577798,1.4007808867342455,1.4079463506378502,55.0,53.0,56.0,2.201388405629304,2137.0,2102.0,2147.0,0.8894566357979701
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,energy_opt,energy_j,True,4,tie_or_uncertain,17.12880421123113,False,20T,"8T,10T,16T,20T",20,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,0.0015453026383549,0.0013021631342023,0.0022389367965183,23.819073217501526,0.0015453029138073,0.0013021631342023,0.0022389367965183,23.819070467165947,129.3283028785228,111.7376851879908,133.82983206684366,6.8156989563015555,1.8139529036954354e-08,1.517512630170912e-08,3.8761089432139716e-08,45.26029542482795,84.98677819060771,57.762425937518564,86.80194761252564,20.22811972280648,0.6471217839015534,0.44664012023701016,0.7679521664638398,23.15009695386358,339.9477926573363,231.05016584994385,347.2084848663779,20.228119722806483,2.588492312585662,1.7865640540725758,3.0718148094788345,23.15009695386358,91.0,61.0,94.0,16.187438662270893,3599.5,3599.0,3600.0,0.013890818169190166
3090,RTX 3090,GPU,GPU board NVML,1000000,runtime_opt,runtime_s,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,5.658497548303753e-06,5.633382602035967e-06,5.700756277427376e-06,0.4680180057200071,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,0.0012116827679173,0.0012069691791515,0.0012224280934574,0.5517363573901435,214.1035309688126,211.84355832500495,216.2819062972453,0.9399483871528389,6.867408474650861e-09,6.8563039715819475e-09,6.9115211962921775e-09,0.3159301877040963,176.72518039700657,175.4151469270104,177.5130628689394,0.46774224759402727,0.825297698768835,0.8180432087188846,0.8285207420979878,0.5507911710074485,706.9021353908831,701.6619910306204,710.0536715816806,0.46774224759402244,3.3011973974635325,3.2721793792277523,3.314089596564516,0.5507911710074508,61.5,59.0,62.0,2.203022637930827,1950.0,1950.0,1950.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,runtime_opt,runtime_s,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,6.147174095315372e-06,6.14706841610268e-06,6.258617487122562e-06,0.8080120674575985,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,0.0004058325746143,0.0004004339781535,0.0004093440537001,0.8803145638996969,65.48561848365615,64.82529226219648,66.5902430008259,1.124746367258606,2.5025618159294214e-09,2.4614950598417303e-09,2.53995084832503e-09,1.2646252707148884,162.67621259695207,159.77953630455144,162.67900929497253,0.7993466790052094,2.4640678510107055,2.442930319766254,2.497288078826983,0.8814859244418592,650.7061517988104,639.1194234557744,650.717338613266,0.7993466790052142,9.856291116605343,9.771740822527118,9.98917229363254,0.8814859244418602,55.0,53.0,56.0,2.3792709508038867,2752.0,2752.0,2752.0,0.0
