platform,platform_label,problem_size,energy_opt_configuration,runtime_opt_configuration,energy_leaders,runtime_leaders,leader_set_overlap,leader_sets_disjoint,energy_selection_status,runtime_selection_status,runtime_opt_energy_penalty_pct,runtime_opt_runtime_gain_pct,interpretation
AMD,AMD CPU,16000000,16T,32T,"16T,32T,64T","32T,64T","32T,64T",False,tie_or_uncertain,tie_or_uncertain,1.5101805018530312,18.87134256785774,no_tie_aware_conflict
AMD,AMD CPU,32000000,32T,32T,"16T,32T,64T","32T,64T","32T,64T",False,tie_or_uncertain,tie_or_uncertain,0.0,0.0,no_tie_aware_conflict
AMD,AMD CPU,64000000,4T,10T,"4T,10T","10T,16T,32T",10T,False,tie_or_uncertain,tie_or_uncertain,8.134761096075094,17.290909410300426,no_tie_aware_conflict
AMD,AMD CPU,128000000,4T,16T,4T,16T,,True,clear_leader,clear_leader,25.47994283858277,13.67038704265392,clear_configuration_tradeoff
AMD,AMD CPU,256000000,4T,16T,4T,16T,,True,clear_leader,clear_leader,30.985391770624382,12.045538804827139,clear_configuration_tradeoff
3090,RTX 3090,1000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,2000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,4000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,8000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,16000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
3090,RTX 3090,32000000,gpu_resident,gpu_resident,gpu_resident,gpu_resident,gpu_resident,False,clear_leader,clear_leader,0.0,0.0,no_tie_aware_conflict
