platform,campaign,raw_rows,session_median_rows,configurations,energy_domain,result_directory
INTEL,20260721_164732,3150,315,63,CPU package RAPL,/home/rock/projects/energy/new/INTEL/results/REDUCTION
AMD,20260722_174206,4050,405,81,CPU package RAPL,/home/rock/projects/energy/new/AMD/results/REDUCTION
3090,20260722_191930,450,45,9,GPU board NVML,/home/rock/projects/energy/new/3090/results/REDUCTION
5060ti,20260722_050953,450,45,9,GPU board NVML,/home/rock/projects/energy/new/5060ti/results/REDUCTION
