platform,platform_label,problem_size,configuration,num_threads,runtime_s_session_cv_pct,energy_j_session_cv_pct,logical_bandwidth_gb_s_session_cv_pct,power_w_session_cv_pct,temperature_c_session_cv_pct,runtime_stable_5pct,energy_stable_5pct,bandwidth_stable_5pct
3090,RTX 3090,1000000,gpu_resident,-1,0.4680180057200071,0.5517363573901435,0.46774224759402244,0.9399483871528389,2.203022637930827,True,True,True
5060ti,RTX 5060 Ti,1000000,gpu_resident,-1,0.8080120674575985,0.8803145638996969,0.7993466790052142,1.124746367258606,2.3792709508038867,True,True,True
AMD,AMD CPU,1000000,1T,1,0.37944526003544826,0.7272391938084101,0.3790113434510163,0.7443304721386623,1.1357495479447124,True,True,True
AMD,AMD CPU,1000000,2T,2,7.388644849001241,7.53552254075546,8.116782635750583,1.4419767203300091,1.5664224010506405,False,False,False
AMD,AMD CPU,1000000,4T,4,0.3536782986274468,0.43742006034346476,0.35241504627450354,0.49338458991203227,2.737500160307419,True,True,True
AMD,AMD CPU,1000000,8T,8,1.6757872479162421,1.409353700109022,1.6751318559411403,0.6870170534715137,2.201388405629304,True,True,True
AMD,AMD CPU,1000000,10T,10,2.7793792460785802,2.491966654588354,2.8050371176175246,0.39181403239801954,1.3094570021973104,True,True,True
AMD,AMD CPU,1000000,16T,16,37.65936182979666,34.68253502558415,75.83269396607777,7.585576994620514,4.876987756717075,False,False,False
AMD,AMD CPU,1000000,20T,20,40.839684091749575,38.30024465682647,90.26854835971166,7.882057666475221,2.632942862517899,False,False,False
AMD,AMD CPU,1000000,32T,32,47.842128464669706,45.51806865178856,133.2805612499089,12.602510028444794,5.017879539063872,False,False,False
AMD,AMD CPU,1000000,64T,64,1.5786817833741913,1.3235160586053352,1.5956372274576949,0.3056532076461647,0.9345794392523363,True,True,True
INTEL,Intel CPU,1000000,1T,1,0.03258693698634737,3.8675096386772614,0.03258862336677598,3.873251380355853,5.734054492679812,True,True,True
INTEL,Intel CPU,1000000,2T,2,0.9209196050835357,3.911761647347571,0.917434130999708,3.871545912846182,3.5686784030676226,True,True,True
INTEL,Intel CPU,1000000,4T,4,0.5914977696530646,1.8877720149578792,0.5887342880821288,2.39982502774524,3.26345367969006,True,True,True
INTEL,Intel CPU,1000000,8T,8,0.9501413563918173,2.786079287734862,0.9515945699764475,2.8741782869369525,3.3417192065230554,True,True,True
INTEL,Intel CPU,1000000,10T,10,1.3227623044681485,4.995826469629542,1.3460957466428964,3.828233103651572,6.509263898389288,True,True,True
INTEL,Intel CPU,1000000,16T,16,6.280969543679606,5.15162529069282,6.434771616537417,3.26268107969315,5.155887489404966,False,False,False
INTEL,Intel CPU,1000000,20T,20,21.835707315174023,23.819073217501526,20.228119722806483,6.8156989563015555,16.187438662270893,False,False,False
3090,RTX 3090,2000000,gpu_resident,-1,0.3210263282282247,0.38575857133259395,0.3216801405817489,0.5099309078448148,1.3451125828522115,True,True,True
5060ti,RTX 5060 Ti,2000000,gpu_resident,-1,0.0005407935497443322,0.7179777235025757,0.0005407922059930086,0.7174893251136032,2.5880120969459215,True,True,True
AMD,AMD CPU,2000000,1T,1,0.34110643888437925,1.2668886005412345,0.341843162387833,1.0522235023886182,0.9509072178909133,True,True,True
AMD,AMD CPU,2000000,2T,2,0.35996479361615974,2.022655918877244,0.3590733446663504,2.2738209580953455,1.9523551799642775,True,True,True
AMD,AMD CPU,2000000,4T,4,0.22102599592316116,0.4004920418924275,0.22149226553948428,0.30626164922070453,0.7873478794013344,True,True,True
AMD,AMD CPU,2000000,8T,8,1.0270034765227032,0.7969344283687152,1.0308723310255388,0.28090705250137143,0.7818419501747516,True,True,True
AMD,AMD CPU,2000000,10T,10,0.7293788534454196,0.8137908579773782,0.7305850306487296,0.25035918812999325,3.2209046320186085,True,True,True
AMD,AMD CPU,2000000,16T,16,1.5139386909265964,1.3232525366131531,1.5225218274661867,0.4678171109583188,1.9863683364096478,True,True,True
AMD,AMD CPU,2000000,20T,20,36.17952018849921,31.814030525191296,70.26330773003141,10.348882993515637,6.972166887783963,False,False,False
AMD,AMD CPU,2000000,32T,32,44.639168953971634,40.70974473749227,111.26794726566038,15.335010176932023,6.274130169438544,False,False,False
AMD,AMD CPU,2000000,64T,64,0.5574690029067771,0.43311007739844903,0.557713361917651,0.2610953188836949,1.3759180866596776,True,True,True
INTEL,Intel CPU,2000000,1T,1,0.11905679193080175,2.897163327356038,0.11891440133526782,2.890512460692641,6.014369360363646,True,True,True
INTEL,Intel CPU,2000000,2T,2,0.5561462328600933,2.561733334083886,0.5550736985782196,2.2767226190876584,4.483701711007905,True,True,True
INTEL,Intel CPU,2000000,4T,4,3.6547613873949536,7.170920595795324,3.622020543682128,8.022264194745752,16.976579206772104,True,False,True
INTEL,Intel CPU,2000000,8T,8,1.102646322206509,6.572590987105428,1.107648833384074,5.5538331887999055,7.97174919356511,True,False,True
INTEL,Intel CPU,2000000,10T,10,1.5215559897679014,5.140751211876495,1.511367276649863,4.066853158664663,6.338252246462537,True,False,True
INTEL,Intel CPU,2000000,16T,16,17.199381076087775,13.979510818999955,22.263228576630606,5.998303842479421,6.890317565379016,False,False,False
INTEL,Intel CPU,2000000,20T,20,11.3395645051365,11.472988801454653,10.36682679794029,2.2116242313099432,4.139007122752124,False,False,False
3090,RTX 3090,4000000,gpu_resident,-1,0.10194710997522799,0.9482738468472162,0.1019555026960993,0.9795008639967446,2.150065362980567,True,True,True
5060ti,RTX 5060 Ti,4000000,gpu_resident,-1,0.0006731382627804485,0.201389277005335,0.0006731393768738483,0.20090953359468963,2.872670756145976,True,True,True
AMD,AMD CPU,4000000,1T,1,3.01200747743825,3.020793607089211,3.085765995064892,0.9096863049731893,0.9345794392523363,True,True,True
AMD,AMD CPU,4000000,2T,2,1.2952311979057722,0.7949598698376787,1.2845076178661075,1.9734460042872066,0.9346801322613755,True,True,True
AMD,AMD CPU,4000000,4T,4,0.09464568215328338,1.3938791017854975,0.09461663549642173,1.2779163723477767,1.5315534092464314,True,True,True
AMD,AMD CPU,4000000,8T,8,13.15786896973167,9.843108195968382,12.968298853820457,3.353321122223595,3.8519440037133044,False,False,False
AMD,AMD CPU,4000000,10T,10,14.605527109652714,11.206562934893407,18.15383249294301,4.290234091387197,1.5315534092464314,False,False,False
AMD,AMD CPU,4000000,16T,16,23.96948200548988,17.995817886224266,35.20528535066239,9.30416641867816,6.264800494340135,False,False,False
AMD,AMD CPU,4000000,20T,20,29.014107935062857,22.14424782198513,47.33271745995241,12.123810365866788,6.817701491148647,False,False,False
AMD,AMD CPU,4000000,32T,32,39.82628149074196,33.34917118557078,84.95608810841574,17.807841949708344,7.312344810647889,False,False,False
AMD,AMD CPU,4000000,64T,64,104.54728711895017,87.86379355547595,79.18227241204929,27.160104505678618,12.636359701230077,False,False,False
INTEL,Intel CPU,4000000,1T,1,1.5061204087424003,7.150971968210568,1.4988625389984265,8.222795400351698,14.93469743399492,True,False,True
INTEL,Intel CPU,4000000,2T,2,1.0894333511163934,3.0715267558927812,1.0902115861929251,4.0142663310277635,5.335520119847654,True,True,True
INTEL,Intel CPU,4000000,4T,4,1.0543348741196457,3.9305265591280865,1.0618671602503953,4.684963257291694,7.7696899644773625,True,True,True
INTEL,Intel CPU,4000000,8T,8,1.6980116279860828,2.4777343560435154,1.7264806319943617,3.3385730292675095,4.3844470147054695,True,True,True
INTEL,Intel CPU,4000000,10T,10,2.022993381094117,5.55721333548397,2.0359330910357376,4.819486210246811,8.786992901152397,True,False,True
INTEL,Intel CPU,4000000,16T,16,1.012443027647354,2.2877137525046543,1.0131553755937404,2.397793846773941,4.087322434604321,True,True,True
INTEL,Intel CPU,4000000,20T,20,6.9926470485009995,11.363854760195583,7.631838448549437,7.2169865301168565,9.171757150371816,False,False,False
3090,RTX 3090,8000000,gpu_resident,-1,0.10396623624124772,1.2606728050938032,0.1038773843168509,1.2104017355986705,3.958959116091841,True,True,True
5060ti,RTX 5060 Ti,8000000,gpu_resident,-1,0.08526104877759659,1.2346462736036488,0.08534893629699326,1.1871959288154348,4.249182927993987,True,True,True
AMD,AMD CPU,8000000,1T,1,0.5652584197699454,0.9044799986647638,0.5643600010966905,0.823078585439486,0.7833895379532543,True,True,True
AMD,AMD CPU,8000000,2T,2,1.7261919468060576,3.354261416014006,1.7409831261937114,3.470485207656642,1.912955844402926,True,True,True
AMD,AMD CPU,8000000,4T,4,1.191464495406646,0.46084899112670646,1.1756721506004786,1.2133424454896826,2.8409508541055195,True,True,True
AMD,AMD CPU,8000000,8T,8,6.389527742101881,4.817069809798912,6.986899718962741,1.7762073304164256,3.91987320778361,False,True,False
AMD,AMD CPU,8000000,10T,10,0.43818598969713013,0.34955511763504665,0.4382999941990964,0.17734381110517175,1.3990970343379192,True,True,True
AMD,AMD CPU,8000000,16T,16,1.10164632397309,0.5908043745125184,1.0940386766110841,0.49228501797309127,0.8777605088223817,True,True,True
AMD,AMD CPU,8000000,20T,20,20.396816446376846,13.841128207090827,28.040198484571583,9.230124008363896,6.522140263601169,False,False,False
AMD,AMD CPU,8000000,32T,32,0.848079123503038,0.6194546832100002,0.8464649061888291,0.2539606122742296,1.1687715391513183,True,True,True
AMD,AMD CPU,8000000,64T,64,65.37157643424433,53.03646965897166,86.02556740992293,25.38037510002838,10.47318038100425,False,False,False
INTEL,Intel CPU,8000000,1T,1,0.7650886004686066,6.143899735787926,0.766327049377875,6.452245653127337,11.436135274518975,True,False,True
INTEL,Intel CPU,8000000,2T,2,0.5854569194073287,2.486800299382549,0.5861811735422554,2.5305308276212717,4.925987497742159,True,True,True
INTEL,Intel CPU,8000000,4T,4,0.4446668692571712,2.54906830070788,0.44444358184568855,2.8625967510263024,4.81123929311548,True,True,True
INTEL,Intel CPU,8000000,8T,8,0.2992686980262051,2.250942296962184,0.29926995055639777,2.3871382447158354,3.2963067027203508,True,True,True
INTEL,Intel CPU,8000000,10T,10,0.5154369622427817,8.461956485784906,0.515512430403776,8.152736946588094,14.90573636237064,True,False,True
INTEL,Intel CPU,8000000,16T,16,0.31944350197721744,5.354913410649856,0.31936563601143875,5.4525615875249525,7.656218590091021,True,False,True
INTEL,Intel CPU,8000000,20T,20,0.5357722300083797,2.466200326510596,0.5329161961463684,2.9633919315328954,5.338331908089482,True,True,True
3090,RTX 3090,16000000,gpu_resident,-1,0.019364516787987316,0.5667303663689198,0.01936467377267687,0.5625609979071472,1.39972956338015,True,True,True
5060ti,RTX 5060 Ti,16000000,gpu_resident,-1,0.020812796285131222,3.1899011704894185,0.0208142060532977,3.184873777067994,2.4234953179192007,True,True,True
AMD,AMD CPU,16000000,1T,1,0.5012245581531957,1.6599889008607922,0.5018626217352821,1.8982532157755936,1.706922120228847,True,True,True
AMD,AMD CPU,16000000,2T,2,0.36019518633834935,2.4442077766200816,0.36072618043288424,2.8643706713248145,2.09855386017305,True,True,True
AMD,AMD CPU,16000000,4T,4,2.8838387826230476,7.217019079144774,2.925760256944674,5.634746213470261,1.5551301608440067,True,False,True
AMD,AMD CPU,16000000,8T,8,4.992557337164015,4.719924748558138,5.022292431439346,0.7816777744890704,2.43953897601831,True,True,False
AMD,AMD CPU,16000000,10T,10,3.9121580345603464,6.876749058679496,3.864222313283366,3.554443291286839,2.180335252576137,True,False,True
AMD,AMD CPU,16000000,16T,16,0.5441935702662557,0.4030139932216585,0.5403702428814062,0.39050430044572765,1.2757512985368775,True,True,True
AMD,AMD CPU,16000000,20T,20,2.773760338950817,1.5140959573209862,2.8097879152537177,1.322310787880696,1.206976206171137,True,True,True
AMD,AMD CPU,16000000,32T,32,0.3360166174402935,0.2474390003249186,0.3351264547873494,0.27709062862477335,0.7064985710899809,True,True,True
AMD,AMD CPU,16000000,64T,64,38.73361645581739,33.39396192726508,80.61291504905964,14.153552359066717,6.773484462238288,False,False,False
INTEL,Intel CPU,16000000,1T,1,0.36475848740686645,2.523688304508794,0.36327935030512576,2.4183958684687936,4.285346839039309,True,True,True
INTEL,Intel CPU,16000000,2T,2,0.5319139622537595,1.9924291651755757,0.5293042910743262,2.0948315318330892,3.384672737397759,True,True,True
INTEL,Intel CPU,16000000,4T,4,0.7489724450703774,7.469772629544563,0.7513892871480851,7.600495508326263,16.45291176652496,True,False,True
INTEL,Intel CPU,16000000,8T,8,0.1166057530340675,2.507877123569081,0.11656428851229048,2.55551963985997,2.8718307546936224,True,True,True
INTEL,Intel CPU,16000000,10T,10,0.14276045060135556,5.461795212057502,0.14271977579716327,5.407135723909021,9.87546031877325,True,False,True
INTEL,Intel CPU,16000000,16T,16,0.17250719259249836,3.7718181425212496,0.17228203646309956,3.9535174958436134,5.831334706317907,True,True,True
INTEL,Intel CPU,16000000,20T,20,0.14815672167159974,3.7214621518544426,0.14817239275804514,3.659774751529078,5.480950312357393,True,True,True
3090,RTX 3090,32000000,gpu_resident,-1,0.024583264103822774,0.6640537611884987,0.024584106336397304,0.6653308566580746,1.3113793519342878,True,True,True
5060ti,RTX 5060 Ti,32000000,gpu_resident,-1,0.020141629407503053,0.33477277443430875,0.020140255702910444,0.3406501233127283,0.831252036245275,True,True,True
AMD,AMD CPU,32000000,1T,1,0.5171921750312685,2.981513474501582,0.5177697296121704,2.4276060715648304,5.840476060633779,True,True,True
AMD,AMD CPU,32000000,2T,2,0.25388783801308623,3.0525478833101536,0.25419146472078114,3.105110321858943,2.9832808114796032,True,True,True
AMD,AMD CPU,32000000,4T,4,0.4501594027931661,2.0593171568456916,0.4494699479572914,1.8162332078391952,2.039731099576579,True,True,True
AMD,AMD CPU,32000000,8T,8,2.751952426420208,6.2744021661871425,2.6944845363093615,5.381072031876881,2.880934746118709,True,False,True
AMD,AMD CPU,32000000,10T,10,0.618503190084339,3.9553154428429096,0.6153728477538286,4.303004744317505,2.668327476175651,True,True,True
AMD,AMD CPU,32000000,16T,16,2.3316765743051135,3.0868469485517367,2.3050440131441614,2.2029654895552793,1.2626906806902636,True,True,True
