metric,policy,problem_size,best_cpu,best_cpu_label,best_gpu,best_gpu_label,cpu_over_gpu_ratio,ratio_ci95_low,ratio_ci95_high,classification
runtime_s,runtime_opt,1000000,INTEL,Intel CPU,3090,RTX 3090,2.079443228223673,2.0359586997504753,3.059517974334555,clear_3090
runtime_s,runtime_opt,2000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,3.161963130443468,3.116382263597549,3.2488207410622114,clear_5060ti
runtime_s,runtime_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,1.3068381447678334,0.8785782041708572,9.520938132521339,uncertain_5060ti_advantage
runtime_s,runtime_opt,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,3.383307760903934,1.982962966119728,3.4436275126722973,clear_5060ti
runtime_s,runtime_opt,16000000,AMD,AMD CPU,3090,RTX 3090,1.2680379254042808,1.265915150716048,1.276402474272762,clear_3090
runtime_s,runtime_opt,32000000,AMD,AMD CPU,3090,RTX 3090,3.5229140117014786,3.431648960849024,3.739033208984052,clear_3090
runtime_s,runtime_opt,64000000,AMD,AMD CPU,3090,RTX 3090,15.254560557322725,15.213133855522923,15.28446830318579,clear_3090
runtime_s,runtime_opt,128000000,AMD,AMD CPU,3090,RTX 3090,15.709971523808766,15.660110499192921,15.724948598342605,clear_3090
runtime_s,runtime_opt,256000000,AMD,AMD CPU,3090,RTX 3090,15.700216691325727,15.691019073922554,15.706069182762615,clear_3090
energy_j,energy_opt,1000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,3.807734358986691,3.2086215243807503,5.516897697643339,clear_5060ti
energy_j,energy_opt,2000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,5.311211455843876,4.685723291393654,6.2855150892155205,clear_5060ti
energy_j,energy_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,3.8426780435427843,3.01248621681956,18.393855425526578,clear_5060ti
energy_j,energy_opt,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,6.768112681062942,6.594973174114209,6.847270040196998,clear_5060ti
energy_j,energy_opt,16000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,1.6454370062997423,1.6104391537437306,1.7496080455294232,clear_5060ti
energy_j,energy_opt,32000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,3.494107088509364,3.4124334789750455,3.66124554493911,clear_5060ti
energy_j,energy_opt,64000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,9.361005299338158,9.053921871542267,9.550786449815165,clear_5060ti
energy_j,energy_opt,128000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,9.14225083196897,9.045929625640523,9.267768341489028,clear_5060ti
energy_j,energy_opt,256000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,8.970956894566768,8.917628264953315,9.086798785276542,clear_5060ti
edp_j_s,edp_opt,1000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,7.248384004539587,6.063836747254639,15.488564232625889,clear_5060ti
edp_j_s,edp_opt,2000000,INTEL,Intel CPU,5060ti,RTX 5060 Ti,17.635293671649226,14.343632755677232,25.64813781531251,clear_5060ti
edp_j_s,edp_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,5.02175824536354,2.646704730462789,175.1267595249805,clear_5060ti
