schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-18T22:13:49,"20260718_092807_session4",1,1,1,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.055198,1.055198,1.055198,72.541319,72.543446,0.002127,1.189237e+00,68.748635,1.607348e-10,17.298333,17.298333,4.513239e+11,427.71,5.152768e+07,68.75,in_range,,,,1614,1582,,78,78,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:50,"20260718_092807_session4",2,2,2,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.039705,1.039705,1.039705,73.639765,73.641586,0.001821,1.207239e+00,70.829323,1.631679e-10,17.044341,17.044341,4.513239e+11,434.09,5.152768e+07,70.83,in_range,,,,1613,1624,,78,78,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:51,"20260718_092807_session4",3,3,3,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.015212,1.015212,1.015212,75.528066,75.530453,0.002387,1.238204e+00,74.398713,1.673531e-10,16.642817,16.642817,4.513239e+11,444.56,5.152768e+07,74.40,in_range,,,,1635,1620,,85,78,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:52,"20260718_092807_session4",4,4,4,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.017531,1.017531,1.017531,75.701344,75.704358,0.003014,1.241055e+00,74.400065,1.677384e-10,16.680833,16.680833,4.513239e+11,443.55,5.152768e+07,74.40,in_range,,,,1659,1480,,85,85,84,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:53,"20260718_092807_session4",5,5,5,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.050249,1.050249,1.050249,74.162591,74.164611,0.002020,1.215813e+00,70.616243,1.643268e-10,17.217190,17.217190,4.513239e+11,429.73,5.152768e+07,70.62,in_range,,,,1635,1460,,84,84,81,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:54,"20260718_092807_session4",6,6,6,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.016326,1.016326,1.016326,75.934376,75.936273,0.001897,1.244857e+00,74.716480,1.682523e-10,16.661076,16.661076,4.513239e+11,444.07,5.152768e+07,74.72,in_range,,,,1518,1602,,84,81,84,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:55,"20260718_092807_session4",7,7,7,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.049606,1.049606,1.049606,74.097955,74.100862,0.002907,1.214768e+00,70.598711,1.641856e-10,17.206663,17.206663,4.513239e+11,429.99,5.152768e+07,70.60,in_range,,,,1752,1460,,84,84,80,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:56,"20260718_092807_session4",8,8,8,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.015479,1.015479,1.015479,75.539418,75.543396,0.003978,1.238416e+00,74.391882,1.673818e-10,16.647197,16.647197,4.513239e+11,444.44,5.152768e+07,74.39,in_range,,,,1518,1480,,85,80,85,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:57,"20260718_092807_session4",9,9,9,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.048099,1.048099,1.048099,73.807184,73.809648,0.002464,1.209994e+00,70.422413,1.635403e-10,17.181948,17.181948,4.513239e+11,430.61,5.152768e+07,70.42,in_range,,,,1741,1460,,85,85,81,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:13:58,"20260718_092807_session4",10,10,10,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",2,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",61,1.015700,1.015700,1.015700,75.804738,75.807554,0.002816,1.242747e+00,74.635793,1.679671e-10,16.650815,16.650815,4.513239e+11,444.35,5.152768e+07,74.64,in_range,,,,1489,1479,,84,81,84,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:14:02,"20260718_092807_session4",11,11,1,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1",417,1.001066,1.001066,1.001066,149.398483,149.452737,0.054254,3.583998e-01,149.293593,9.688116e-11,2.400638,2.400638,1.542640e+12,1541.00,2.044723e+07,149.29,in_range,,,,2234,2234,,83,83,83,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-18T22:14:03,"20260718_092807_session4",12,12,2,"CONV2D","brg_conv_fwd:avx512_core",cpu_native,"Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz",8,3,"N=32;C=128;H=28;W=28;K=256;R=3;S=3;stride=2;pad=1",417,0.998700,0.998700,0.998700,149.420699,149.476192,0.055493,3.584561e-01,149.670752,9.689636e-11,2.394964,2.394964,1.542640e+12,1544.65,2.044723e+07,149.67,in_range,,,,2402,2424,,83,83,82,,-1,-1,-1.000000,-1,t
