setup_id,cpu_type,pattern,gpu_name,pcie_gen_current,threads,impl,dtype,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,seconds_per_pass_median,energy_per_pass_j_median,gflops_median,joule_per_gflop_median,bw_gb_s_median,gb_per_s_kernel_median,j_per_gb_kernel_median,passes_e2e_median,nrows_first,ncols_first,nnz_first,avg_nnz_per_row_median,n_measurements,workload,source_file
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,5.3966e-06,1.6685e-05,0.08225,5.138e-06,0.0783099722,4.606e-07,1.4789e-06,0.00702,3.4024e-06,0.0518570417,6.0487e-06,4.43128e-05,0.09219,6.234e-06,0.0950131389,6.561166666666667e-05,1.1219,0.0,0.0015894772122182,,,185.5,185.4975,1.4499,150701.5,1024,1024,3070,3.0,300,SPMV,SPMV_3090_on_amd_pciev3.csv
AMD_3090_PCIe4,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,7.4111e-06,1.98707e-05,0.1128,5.1451e-06,0.0783099722,2.471e-06,1.337e-06,0.03761,3.4071e-06,0.0518570417,7.373e-06,4.70047e-05,0.11222,6.2425e-06,0.0950131389,6.570138888888888e-05,1.1223,0.0,0.0015974019053267,,,186.005,186.0033,1.4746,150352.5,1024,1024,3070,3.0,300,SPMV,SPMV_3090_on_amd_pciev4.csv
AMD_3090_PCIe3,AMD,BLOCK_DIAGONAL,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,6.8454e-06,2.11646e-05,0.08225,6.5175e-06,0.0783099722,5.843e-07,1.8759e-06,0.00702,4.3159e-06,0.0518570417,7.6727e-06,5.62098e-05,0.09219,7.9077e-06,0.0950131389,8.322694444444445e-05,1.1225,0.0,0.00231507994612625,,,333.26,333.2515,0.9434,136525.0,1024,1024,8192,8.0,300,SPMV,SPMV_3090_on_amd_pciev3.csv
AMD_3090_PCIe4,AMD,BLOCK_DIAGONAL,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,9.5629e-06,2.564e-05,0.1128,6.6389e-06,0.0783099722,3.1885e-06,1.7252e-06,0.03761,4.3963e-06,0.0518570417,9.5137e-06,6.06522e-05,0.11222,8.0549e-06,0.0950131389,8.477722222222222e-05,1.1227,0.0,0.0023680811100090502,,,331.26,331.268,0.9765,135239.0,1024,1024,8192,8.0,300,SPMV,SPMV_3090_on_amd_pciev4.csv
AMD_3090_PCIe3,AMD,IRREGULAR_20,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,8.1417e-06,2.51726e-05,0.08225,7.7517e-06,0.0783099722,6.949e-07,2.2312e-06,0.00702,5.1332e-06,0.0518570417,9.1257e-06,6.68543e-05,0.09219,9.4051e-06,0.0950131389,9.898763888886112e-05,1.1231,0.0,0.00607702659510895,,,344.76,344.7638,0.9349,77418.5,1024,1024,20458,20.005,300,SPMV,SPMV_3090_on_amd_pciev3.csv
AMD_3090_PCIe4,AMD,IRREGULAR_20,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,1.12007e-05,3.00315e-05,0.1128,7.776e-06,0.0783099722,3.7346e-06,2.0207e-06,0.03761,5.1493e-06,0.0518570417,1.11431e-05,7.10403e-05,0.11222,9.4346e-06,0.0950131389,9.929736111106666e-05,1.122,0.0,0.0061852326553393,,,345.155,345.1536,0.946,77568.5,1024,1024,20458,20.005,300,SPMV,SPMV_3090_on_amd_pciev4.csv
AMD_3090_PCIe3,AMD,RMAT_POWERLAW,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,8.737e-06,2.70129e-05,0.08225,8.3184e-06,0.0783099722,7.457e-07,2.3943e-06,0.00702,5.5085e-06,0.0518570417,9.7928e-06,7.17419e-05,0.09219,1.00927e-05,0.0950131389,0.0001062244444444,1.1345,0.0005,0.17824265734265732,,,499.13,499.1123,0.6756,2149.0,1048576,1048576,31403992,29.95,300,SPMV,SPMV_3090_on_amd_pciev3.csv
AMD_3090_PCIe4,AMD,RMAT_POWERLAW,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,1.20337e-05,3.22648e-05,0.1128,8.3542e-06,0.0783099722,4.0123e-06,2.171e-06,0.03761,5.5322e-06,0.0518570417,1.19718e-05,7.63234e-05,0.11222,1.01362e-05,0.0950131389,0.0001066818055555,1.1385,0.0005,0.1790219114219114,,,497.22,497.2172,0.6786,2145.0,1048576,1048576,31403992,29.95,300,SPMV,SPMV_3090_on_amd_pciev4.csv
AMD_3090_PCIe3,AMD,RMAT_POWERLAW_PERM,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,1.2681e-05,3.40003e-05,0.1128,8.8036e-06,0.0783099722,4.2281e-06,2.2877e-06,0.03761,5.8298e-06,0.0518570417,1.26158e-05,8.04286e-05,0.11222,1.06814e-05,0.0950131389,0.00011241999999995,1.1573,0.0006,0.19459567307692305,,,473.88,473.8643,0.7376,2080.0,1048576,1048576,31403992,29.95,300,SPMV,SPMV_3090_on_amd_pciev3.csv
AMD_3090_PCIe4,AMD,RMAT_POWERLAW_PERM,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,1.35447e-05,3.60779e-05,0.12298,8.8036e-06,0.0783099722,4.8023e-06,2.1777e-06,0.04373,5.8298e-06,0.0518570417,1.36491e-05,8.09498e-05,0.124005,1.06814e-05,0.0950131389,0.00011241986111105,1.1615,0.0006,0.1949059285608418,,,471.69,471.6903,0.7388,2076.0,1048576,1048576,31403992,29.95,300,SPMV,SPMV_3090_on_amd_pciev4.csv
