setup_id,cpu_type,gpu_name,pcie_gen_current,threads,impl,dtype,backend,library,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,bw_gb_s_mean,passes_e2e_median,n_measurements,workload,source_file
AMD_3090_PCIe3,AMD,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,cuda,cusparse,0.018349286,0.0552005152,0.0165083615,0.0783099722,0.0024915299,0.0046791836,0.0109318745,0.0518570417,0.0200968041,0.1436999608,0.0200295212,0.0950131389,0.21080790916660902,1.123,,360.979,80227.5,2400,SPMV,SPMV_3090_on_amd_pciev3.csv
AMD_3090_PCIe4,AMD,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,cuda,cusparse,0.0242072002,0.0648288401,0.0165700059,0.0783099722,0.0081620556,0.004286297,0.0109726956,0.0518570417,0.0241379657,0.1517270841,0.0201043141,0.0950131389,0.21159509416660777,1.1233,,359.5426,79617.5,2400,SPMV,SPMV_3090_on_amd_pciev4.csv
AMD_5050_PCIe3,AMD,NVIDIA GeForce RTX 5050,3,,cusparse,fp32,cuda,cusparse,0.0015058522,0.0134351315,0.0052679495,0.0783099722,3.05727e-05,0.0016051249,0.0034884481,0.0518570417,0.0042244695,0.0399103796,0.0063915795,0.0950131389,0.06727048055555555,1.122,,178.1302,58526.5,2400,SPMV,SPMV_5050_on_amd_pciev3.csv
AMD_5050_PCIe4,AMD,NVIDIA GeForce RTX 5050,4,,cusparse,fp32,cuda,cusparse,-1.83771e-05,0.0128278802,0.005330031,0.0783099722,0.0,0.0016396436,0.0035295586,0.0518570417,-0.0003069652,0.036952898,0.0064669027,0.0950131389,0.06806324694444445,1.122,,180.971,59183.5,2400,SPMV,SPMV_5050_on_amd_pciev4.csv
AMD_CPU-only_1t,AMD,,,1,omp,fp32,cpu,OpenMP,0.0045973567,0.0137757041,0.0029127741,0.0783099722,0.0024206794,0.000709689,0.0019288456,0.0518570417,0.0045605332,0.0275171884,0.0035340557,0.0950131389,0.0371954425,1.0309,,11.8226,1985.0,2400,SPMV,SPMV_amd_cpu_1.csv
AMD_CPU-only_2t,AMD,,,2,omp,fp32,cpu,OpenMP,0.0046418025,0.0152993276,0.0031535251,0.0783099722,0.0025995553,0.0007231782,0.0020882715,0.0518570417,0.0046157627,0.0299513631,0.0038261579,0.0950131389,0.04026977722222222,1.031,,22.2864,3995.5,2400,SPMV,SPMV_amd_cpu_2.csv
AMD_CPU-only_4t,AMD,,,4,omp,fp32,cpu,OpenMP,0.0051609724,0.0179458269,0.0036591369,0.0783099722,0.0029404591,0.000827899,0.0024230888,0.0518570417,0.0051460242,0.0347595018,0.0044396144,0.0950131389,0.046726320833333335,1.0337,,41.2271,7967.5,2400,SPMV,SPMV_amd_cpu_4.csv
AMD_CPU-only_8t,AMD,,,8,omp,fp32,cpu,OpenMP,0.0056891306,0.020848717,0.0042103149,0.0783099722,0.0032377012,0.0009652473,0.0027880801,0.0518570417,0.005688421,0.0399400628,0.0051083563,0.0950131389,0.05376473527777778,1.0225,,68.7135,15264.5,2400,SPMV,SPMV_amd_cpu_8.csv
AMD_CPU-only_10t,AMD,,,10,omp,fp32,cpu,OpenMP,0.0055432416,0.0244088202,0.0046878088,0.0783099722,0.0032870345,0.0011194235,0.0031042776,0.0518570417,0.005528276,0.0448529656,0.0056876974,0.0950131389,0.05986222,1.023,,80.5232,18812.0,2400,SPMV,SPMV_amd_cpu_10.csv
AMD_CPU-only_16t,AMD,,,16,omp,fp32,cpu,OpenMP,0.0065219458,0.0293330831,0.0054989063,0.0783099722,0.002604049,0.0012618547,0.0036413883,0.0518570417,0.0065330331,0.0523854158,0.0066717985,0.0950131389,0.07021974583333333,1.0203,,112.5803,28670.0,2400,SPMV,SPMV_amd_cpu_16.csv
