timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes,rows,cols,nnz,op,sp_algo,num_rhs,backend,library,library_version,matrix_id,pattern,permuted,band_width,block_size,avg_nnz_per_row,std_nnz_per_row
2025-10-15T17:19:23,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,10,1.10,1.1184,1.1184,60.129,53.8,0,spmv,cusparse,fp32,1024,158611,158611,1.1184,60.129,53.8,53.8,8283935308,7.41,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,375,396,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:24,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,11,1.10,1.1188,1.1188,59.219,52.9,0,spmv,cusparse,fp32,1024,158611,158611,1.1188,59.219,52.9,52.9,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,331,1251,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:25,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,12,1.10,1.1199,1.1200,59.665,53.3,0,spmv,cusparse,fp32,1024,158611,158611,1.1199,59.665,53.3,53.3,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,329,400,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:26,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,13,1.10,1.1180,1.1181,64.904,58.1,0,spmv,cusparse,fp32,1024,158611,158611,1.1180,64.904,58.1,58.1,8283935308,7.41,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,383,385,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:27,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,14,1.10,1.1209,1.1209,59.669,53.2,0,spmv,cusparse,fp32,1024,158611,158611,1.1209,59.669,53.2,53.2,8283935308,7.39,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,397,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:29,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,15,1.10,1.1189,1.1190,59.969,53.6,0,spmv,cusparse,fp32,1024,158611,158611,1.1189,59.969,53.6,53.6,8283935308,7.40,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,323,412,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:30,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,16,1.10,1.1214,1.1214,59.639,53.2,0,spmv,cusparse,fp32,1024,158611,158611,1.1214,59.639,53.2,53.2,8283935308,7.39,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,383,399,2925,9801,52,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:31,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,17,1.10,1.1239,1.1239,59.635,53.1,0,spmv,cusparse,fp32,1024,158611,158611,1.1239,59.635,53.1,53.1,8283935308,7.37,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,382,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:32,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,18,1.10,1.1261,1.1262,60.013,53.3,0,spmv,cusparse,fp32,1024,158611,158611,1.1261,60.013,53.3,53.3,8283935308,7.36,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,397,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:33,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,19,1.10,1.1258,1.1259,59.672,53.0,0,spmv,cusparse,fp32,1024,158611,158611,1.1258,59.672,53.0,53.0,8283935308,7.36,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,382,397,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:34,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,20,1.10,1.1300,1.1300,59.592,52.7,0,spmv,cusparse,fp32,1024,158611,158611,1.1300,59.592,52.7,52.7,8283935308,7.33,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,375,398,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:36,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,21,1.10,1.1276,1.1277,59.887,53.1,0,spmv,cusparse,fp32,1024,158611,158611,1.1276,59.887,53.1,53.1,8283935308,7.35,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,397,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:37,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,22,1.10,1.1289,1.1289,64.701,57.3,0,spmv,cusparse,fp32,1024,158611,158611,1.1289,64.701,57.3,57.3,8283935308,7.34,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,371,398,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:38,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,23,1.10,1.1315,1.1316,59.504,52.6,0,spmv,cusparse,fp32,1024,158611,158611,1.1315,59.504,52.6,52.6,8283935308,7.32,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,333,1251,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:39,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,24,1.10,1.1308,1.1309,59.588,52.7,0,spmv,cusparse,fp32,1024,158611,158611,1.1308,59.588,52.7,52.7,8283935308,7.33,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,329,390,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:40,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,25,1.10,1.1324,1.1325,64.955,57.4,0,spmv,cusparse,fp32,1024,158611,158611,1.1324,64.955,57.4,57.4,8283935308,7.32,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,330,397,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:41,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,26,1.10,1.1307,1.1308,65.041,57.5,0,spmv,cusparse,fp32,1024,158611,158611,1.1307,65.041,57.5,57.5,8283935308,7.33,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,362,398,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:43,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,27,1.10,1.1344,1.1345,59.333,52.3,0,spmv,cusparse,fp32,1024,158611,158611,1.1344,59.333,52.3,52.3,8283935308,7.30,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,332,1251,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:44,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,28,1.10,1.1356,1.1356,59.682,52.6,0,spmv,cusparse,fp32,1024,158611,158611,1.1356,59.682,52.6,52.6,8283935308,7.29,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,331,397,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:45,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,29,1.10,1.1347,1.1348,64.757,57.1,0,spmv,cusparse,fp32,1024,158611,158611,1.1347,64.757,57.1,57.1,8283935308,7.30,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,331,410,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
2025-10-15T17:19:46,rock-ms7a95,NVIDIA GeForce RTX 5050,1024,kernel,30,1.10,1.1365,1.1366,64.785,57.0,0,spmv,cusparse,fp32,1024,158611,158611,1.1365,64.785,57.0,57.0,8283935308,7.29,kernel,kernel,0,NVIDIA GeForce RTX 5050,13000,3,8,362,398,2925,9801,51,0,sweep;repeats=50;passes=158611;dtype=fp32;byte_model=csr_theoretical;calibration_adjusted=1;passes=158611,1024,1024,4992,N,spmv_alg_default,0,cuda,cusparse,12102,synthetic:STENCIL_5PT_2D,STENCIL_5PT_2D,0,1,0,4.88,0.34
