session_number,rows,median_gflops,median_power_w,median_temp_c,max_temp_c,median_sm_clock_mhz,serious_throttle_rows,in_range_share
1,90,17588.538711725414,325.34941100000003,61.0,64,1680.0,0,1.0
2,90,17608.696509013273,327.6422615,63.0,65,1680.0,0,0.8888888888888888
3,90,17528.010642630616,327.4918505,63.0,66,1680.0,0,0.8888888888888888
4,90,17580.401363044977,325.9038305,63.0,64,1680.0,0,0.8888888888888888
5,90,17573.917885951836,324.7613155,63.0,65,1680.0,0,0.8888888888888888
