platform,problem_size,metric,dense_best_configuration,strided_best_configuration,configuration_changed
INTEL,64,runtime_s,16T,16T,False
INTEL,64,energy_j,16T,16T,False
INTEL,64,edp_j_s,16T,16T,False
INTEL,64,power_w,16T,16T,False
INTEL,128,runtime_s,10T,8T,True
INTEL,128,energy_j,4T,4T,False
INTEL,128,edp_j_s,4T,4T,False
INTEL,128,power_w,1T,1T,False
INTEL,256,runtime_s,8T,8T,False
INTEL,256,energy_j,8T,8T,False
INTEL,256,edp_j_s,8T,8T,False
INTEL,256,power_w,1T,1T,False
INTEL,512,runtime_s,16T,16T,False
INTEL,512,energy_j,8T,8T,False
INTEL,512,edp_j_s,16T,16T,False
INTEL,512,power_w,1T,1T,False
INTEL,1024,runtime_s,8T,8T,False
INTEL,1024,energy_j,8T,8T,False
INTEL,1024,edp_j_s,8T,8T,False
INTEL,1024,power_w,1T,1T,False
INTEL,2048,runtime_s,8T,8T,False
INTEL,2048,energy_j,8T,8T,False
INTEL,2048,edp_j_s,8T,8T,False
INTEL,2048,power_w,1T,1T,False
INTEL,4096,runtime_s,10T,10T,False
INTEL,4096,energy_j,8T,8T,False
INTEL,4096,edp_j_s,10T,10T,False
INTEL,4096,power_w,1T,1T,False
INTEL,8192,runtime_s,10T,10T,False
INTEL,8192,energy_j,8T,8T,False
INTEL,8192,edp_j_s,10T,10T,False
INTEL,8192,power_w,1T,1T,False
INTEL,16384,runtime_s,10T,10T,False
INTEL,16384,energy_j,8T,8T,False
INTEL,16384,edp_j_s,10T,8T,True
INTEL,16384,power_w,1T,1T,False
AMD,64,runtime_s,8T,8T,False
AMD,64,energy_j,8T,8T,False
AMD,64,edp_j_s,8T,8T,False
AMD,64,power_w,8T,8T,False
AMD,128,runtime_s,4T,4T,False
AMD,128,energy_j,4T,4T,False
AMD,128,edp_j_s,4T,4T,False
AMD,128,power_w,1T,1T,False
AMD,256,runtime_s,16T,16T,False
AMD,256,energy_j,4T,4T,False
AMD,256,edp_j_s,16T,16T,False
AMD,256,power_w,1T,1T,False
AMD,512,runtime_s,16T,16T,False
AMD,512,energy_j,16T,16T,False
AMD,512,edp_j_s,16T,16T,False
AMD,512,power_w,1T,1T,False
AMD,1024,runtime_s,64T,32T,True
AMD,1024,energy_j,16T,16T,False
AMD,1024,edp_j_s,16T,32T,True
AMD,1024,power_w,1T,1T,False
AMD,2048,runtime_s,64T,64T,False
AMD,2048,energy_j,64T,64T,False
AMD,2048,edp_j_s,64T,64T,False
AMD,2048,power_w,1T,1T,False
AMD,4096,runtime_s,32T,32T,False
AMD,4096,energy_j,64T,64T,False
AMD,4096,edp_j_s,64T,32T,True
AMD,4096,power_w,1T,1T,False
AMD,8192,runtime_s,32T,32T,False
AMD,8192,energy_j,64T,64T,False
AMD,8192,edp_j_s,64T,64T,False
AMD,8192,power_w,1T,1T,False
AMD,16384,runtime_s,32T,32T,False
AMD,16384,energy_j,64T,64T,False
AMD,16384,edp_j_s,64T,64T,False
AMD,16384,power_w,1T,1T,False
3090,64,runtime_s,gpu_resident,gpu_resident,False
3090,64,energy_j,gpu_resident,gpu_resident,False
3090,64,edp_j_s,gpu_resident,gpu_resident,False
3090,64,power_w,gpu_resident,gpu_resident,False
3090,128,runtime_s,gpu_resident,gpu_resident,False
3090,128,energy_j,gpu_resident,gpu_resident,False
3090,128,edp_j_s,gpu_resident,gpu_resident,False
3090,128,power_w,gpu_resident,gpu_resident,False
3090,256,runtime_s,gpu_resident,gpu_resident,False
3090,256,energy_j,gpu_resident,gpu_resident,False
3090,256,edp_j_s,gpu_resident,gpu_resident,False
3090,256,power_w,gpu_resident,gpu_resident,False
3090,512,runtime_s,gpu_resident,gpu_resident,False
3090,512,energy_j,gpu_resident,gpu_resident,False
3090,512,edp_j_s,gpu_resident,gpu_resident,False
3090,512,power_w,gpu_resident,gpu_resident,False
3090,1024,runtime_s,gpu_resident,gpu_resident,False
3090,1024,energy_j,gpu_resident,gpu_resident,False
3090,1024,edp_j_s,gpu_resident,gpu_resident,False
3090,1024,power_w,gpu_resident,gpu_resident,False
3090,2048,runtime_s,gpu_resident,gpu_resident,False
3090,2048,energy_j,gpu_resident,gpu_resident,False
3090,2048,edp_j_s,gpu_resident,gpu_resident,False
3090,2048,power_w,gpu_resident,gpu_resident,False
3090,4096,runtime_s,gpu_resident,gpu_resident,False
3090,4096,energy_j,gpu_resident,gpu_resident,False
3090,4096,edp_j_s,gpu_resident,gpu_resident,False
3090,4096,power_w,gpu_resident,gpu_resident,False
3090,8192,runtime_s,gpu_resident,gpu_resident,False
3090,8192,energy_j,gpu_resident,gpu_resident,False
3090,8192,edp_j_s,gpu_resident,gpu_resident,False
3090,8192,power_w,gpu_resident,gpu_resident,False
3090,16384,runtime_s,gpu_resident,gpu_resident,False
3090,16384,energy_j,gpu_resident,gpu_resident,False
3090,16384,edp_j_s,gpu_resident,gpu_resident,False
3090,16384,power_w,gpu_resident,gpu_resident,False
5060ti,64,runtime_s,gpu_resident,gpu_resident,False
5060ti,64,energy_j,gpu_resident,gpu_resident,False
5060ti,64,edp_j_s,gpu_resident,gpu_resident,False
5060ti,64,power_w,gpu_resident,gpu_resident,False
5060ti,128,runtime_s,gpu_resident,gpu_resident,False
5060ti,128,energy_j,gpu_resident,gpu_resident,False
5060ti,128,edp_j_s,gpu_resident,gpu_resident,False
5060ti,128,power_w,gpu_resident,gpu_resident,False
5060ti,256,runtime_s,gpu_resident,gpu_resident,False
5060ti,256,energy_j,gpu_resident,gpu_resident,False
5060ti,256,edp_j_s,gpu_resident,gpu_resident,False
5060ti,256,power_w,gpu_resident,gpu_resident,False
5060ti,512,runtime_s,gpu_resident,gpu_resident,False
5060ti,512,energy_j,gpu_resident,gpu_resident,False
5060ti,512,edp_j_s,gpu_resident,gpu_resident,False
5060ti,512,power_w,gpu_resident,gpu_resident,False
5060ti,1024,runtime_s,gpu_resident,gpu_resident,False
5060ti,1024,energy_j,gpu_resident,gpu_resident,False
5060ti,1024,edp_j_s,gpu_resident,gpu_resident,False
5060ti,1024,power_w,gpu_resident,gpu_resident,False
5060ti,2048,runtime_s,gpu_resident,gpu_resident,False
5060ti,2048,energy_j,gpu_resident,gpu_resident,False
5060ti,2048,edp_j_s,gpu_resident,gpu_resident,False
5060ti,2048,power_w,gpu_resident,gpu_resident,False
5060ti,4096,runtime_s,gpu_resident,gpu_resident,False
5060ti,4096,energy_j,gpu_resident,gpu_resident,False
5060ti,4096,edp_j_s,gpu_resident,gpu_resident,False
5060ti,4096,power_w,gpu_resident,gpu_resident,False
5060ti,8192,runtime_s,gpu_resident,gpu_resident,False
5060ti,8192,energy_j,gpu_resident,gpu_resident,False
5060ti,8192,edp_j_s,gpu_resident,gpu_resident,False
5060ti,8192,power_w,gpu_resident,gpu_resident,False
5060ti,16384,runtime_s,gpu_resident,gpu_resident,False
5060ti,16384,energy_j,gpu_resident,gpu_resident,False
5060ti,16384,edp_j_s,gpu_resident,gpu_resident,False
5060ti,16384,power_w,gpu_resident,gpu_resident,False
