metric,policy,lower_is_better,problem_size,platform_a,platform_a_label,platform_b,platform_b_label,a_median,b_median,a_over_b_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_a_better,cliffs_delta_a_minus_b,a_configuration,b_configuration,a_selection_status,b_selection_status,energy_domain_a,energy_domain_b,inference_scope
edp_j_s,edp_opt,True,512,3090,RTX 3090,5060ti,RTX 5060 Ti,1.7185056457694625e-07,4.998092197938138e-07,0.34383232195644514,0.3170020811915115,0.3525001298389945,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,AMD,AMD CPU,3090,RTX 3090,2.168275909047525e-05,1.7185056457694625e-07,126.17217257244899,108.09479245310337,136.85106072116253,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.168275909047525e-05,4.998092197938138e-07,43.38207106187444,37.16648348055055,45.202709828580645,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,3090,RTX 3090,1.0301292962434046e-05,1.7185056457694625e-07,59.94331754331615,57.74495183112983,65.01676575504702,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,5060ti,RTX 5060 Ti,1.0301292962434046e-05,4.998092197938138e-07,20.610450056690905,19.831645505969977,22.143596127946033,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,AMD,AMD CPU,1.0301292962434046e-05,2.168275909047525e-05,0.4750914272233543,0.450780658721058,0.5545439903529339,clear_INTEL,1.0,-1.0,16T,16T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,3090,RTX 3090,5060ti,RTX 5060 Ti,4.94656256546926e-06,2.536605157483985e-05,0.19500719498558738,0.19206145385498077,0.20428381181402436,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,AMD,AMD CPU,3090,RTX 3090,0.0007378120717038,4.94656256546926e-06,149.15652272434298,146.39528265665416,176.23219436718097,clear_3090,0.0,1.0,32T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.0007378120717038,2.536605157483985e-05,29.086595110278147,28.746716988653123,34.36654588969879,clear_5060ti,0.0,1.0,32T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,3090,RTX 3090,0.0004816048394413,4.94656256546926e-06,97.36151783528733,89.84215212631811,104.17215618652872,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.0004816048394413,2.536605157483985e-05,18.98619649259862,17.526603936099733,20.320070069160757,clear_5060ti,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,AMD,AMD CPU,0.0004816048394413,0.0007378120717038,0.6527473023437379,0.5524615873103977,0.6984083182138128,clear_INTEL,1.0,-1.0,8T,32T,clear_leader,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,3090,RTX 3090,5060ti,RTX 5060 Ti,0.0001971587218874,0.001661582233947,0.11865721591104159,0.11624499198151833,0.12020175225613913,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,3090,RTX 3090,0.0166475496378321,0.0001971587218874,84.43729741431243,81.56918333029869,87.28924649812332,clear_3090,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.0166475496378321,0.001661582233947,10.019094630234902,9.678772198110584,10.35749896843995,clear_5060ti,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,3090,RTX 3090,0.0290607425685601,0.0001971587218874,147.39770216788625,140.49630026173472,164.25555720756387,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.0290607425685601,0.001661582233947,17.489800970926282,16.670899834859185,19.49010711616635,clear_5060ti,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,AMD,AMD CPU,0.0290607425685601,0.0166475496378321,1.745646848982424,1.663912803513298,1.9506787339469607,clear_AMD,0.0,1.0,8T,64T,clear_leader,clear_leader,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,3090,RTX 3090,5060ti,RTX 5060 Ti,0.009979714305943,0.1092629191994598,0.0913366984797926,0.09008291485218267,0.093599201399789,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,AMD,AMD CPU,3090,RTX 3090,0.8247222312194875,0.009979714305943,82.63986382138803,79.46461696013232,90.85074772527959,clear_3090,0.0,1.0,32T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.8247222312194875,0.1092629191994598,7.548052324265239,7.235378623328993,8.298007351647565,clear_5060ti,0.0,1.0,32T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,INTEL,Intel CPU,3090,RTX 3090,1.90173232383973,0.009979714305943,190.5597961564123,186.20113716595992,195.25433303810746,clear_3090,0.0,1.0,10T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,INTEL,Intel CPU,5060ti,RTX 5060 Ti,1.90173232383973,0.1092629191994598,17.40510264390897,17.00699712192178,17.937261248603882,clear_5060ti,0.0,1.0,10T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,4096,INTEL,Intel CPU,AMD,AMD CPU,1.90173232383973,0.8247222312194875,2.305906463837777,2.0975038833212407,2.426149209619154,clear_AMD,0.0,1.0,10T,32T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,3090,RTX 3090,5060ti,RTX 5060 Ti,0.572001785139757,6.953095192819999,0.08226577794166047,0.08169684008047255,0.08317972189369847,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,AMD,AMD CPU,3090,RTX 3090,55.82766280139056,0.572001785139757,97.60050449449245,93.89140908521702,99.35828505852129,clear_3090,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,AMD,AMD CPU,5060ti,RTX 5060 Ti,55.82766280139056,6.953095192819999,8.029181429737951,7.7240498104340665,8.192994409144294,clear_5060ti,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,INTEL,Intel CPU,3090,RTX 3090,138.64133311603737,0.572001785139757,242.37919656520512,229.4431095471577,252.5913452600364,clear_3090,0.0,1.0,10T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,INTEL,Intel CPU,5060ti,RTX 5060 Ti,138.64133311603737,6.953095192819999,19.93951316231124,18.875315900250552,20.779623519147446,clear_5060ti,0.0,1.0,10T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,8192,INTEL,Intel CPU,AMD,AMD CPU,138.64133311603737,55.82766280139056,2.483380570833857,2.350839380754482,2.589499832095544,clear_AMD,0.0,1.0,10T,64T,tie_or_uncertain,clear_leader,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,3090,RTX 3090,5060ti,RTX 5060 Ti,37.24682131112501,522.988512119,0.07121919592499562,0.07070898027534853,0.07262737639747537,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,AMD,AMD CPU,3090,RTX 3090,3382.1318630827923,37.24682131112501,90.8032348541003,85.90225940603143,92.59207049868361,clear_3090,0.0,1.0,64T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,AMD,AMD CPU,5060ti,RTX 5060 Ti,3382.1318630827923,522.988512119,6.466933373697561,6.138523594873631,6.6015943167722275,clear_5060ti,0.0,1.0,64T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,INTEL,Intel CPU,3090,RTX 3090,8910.065139680819,37.24682131112501,239.21679289769432,209.15800795414188,246.03885022437046,clear_3090,0.0,1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,INTEL,Intel CPU,5060ti,RTX 5060 Ti,8910.065139680819,522.988512119,17.036827641929992,14.896065147767825,17.522689079290096,clear_5060ti,0.0,1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,16384,INTEL,Intel CPU,AMD,AMD CPU,8910.065139680819,3382.1318630827923,2.6344523219030704,2.303420228257399,2.8160579641581935,clear_AMD,0.0,1.0,8T,64T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,3090,RTX 3090,5060ti,RTX 5060 Ti,0.5612180550219408,1.587869451932971,0.35344092950383904,0.3508001128649231,0.359133904029878,clear_5060ti,0.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,AMD,AMD CPU,3090,RTX 3090,1.1940456955210168,0.5612180550219408,2.1275967243682774,2.0748013994091874,2.133463802588786,clear_AMD,1.0,1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,AMD,AMD CPU,5060ti,RTX 5060 Ti,1.1940456955210168,1.587869451932971,0.7519797638700472,0.7355557633458336,0.758148061682185,clear_5060ti,0.0,-1.0,8T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,INTEL,Intel CPU,3090,RTX 3090,3.9850606910788953,0.5612180550219408,7.100735009181235,5.0045547084808675,7.218154455784783,clear_INTEL,1.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,INTEL,Intel CPU,5060ti,RTX 5060 Ti,3.9850606910788953,1.587869451932971,2.5096903818054668,1.768814467918292,2.5524496162726598,clear_INTEL,1.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,64,INTEL,Intel CPU,AMD,AMD CPU,3.9850606910788953,1.1940456955210168,3.337444040899985,2.35221019620944,3.425502109306674,clear_INTEL,1.0,1.0,16T,8T,tie_or_uncertain,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,3090,RTX 3090,5060ti,RTX 5060 Ti,4.158156798421419,9.884731317982787,0.420664625537843,0.4154150379230404,0.4267650864659328,clear_5060ti,0.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,AMD,AMD CPU,3090,RTX 3090,2.760215340495524,4.158156798421419,0.6638074210052392,0.6608768235111354,0.6719796461012484,clear_3090,0.0,-1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,AMD,AMD CPU,5060ti,RTX 5060 Ti,2.760215340495524,9.884731317982787,0.2792403001864102,0.275755584970487,0.2845517130370916,clear_5060ti,0.0,-1.0,4T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
efficiency_gflop_per_j,efficiency_opt,False,128,INTEL,Intel CPU,3090,RTX 3090,3.549585868706547,4.158156798421419,0.8536440641329576,0.8183066089405309,1.0005174974948758,uncertain_3090_advantage,0.16,-0.68,4T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
