problem_size,platform,platform_label,configuration,num_threads,energy_domain,runtime_s_median,energy_j_median,throughput_gflops_median,efficiency_gflop_per_j_median,edp_j_s_median,runtime_penalty_vs_global_best_pct,energy_penalty_vs_global_best_pct,pareto_strict,pareto_practical_2pct,tradeoff_class
64,3090,RTX 3090,gpu_resident,-1,GPU board NVML,5.265390629524527e-06,0.0009341966020311,99.57247940165531,0.5612180550219408,4.919391837770915e-09,112.65396980283806,610.0735009181235,False,False,dominated
64,5060ti,RTX 5060 Ti,gpu_resident,-1,GPU board NVML,9.824193706499364e-06,0.0003301833153612,53.36702590189648,1.587869451932971,3.241224180560288e-09,296.77090244447857,150.96903818054668,False,False,dominated
64,AMD,AMD CPU,1T,1,CPU package RAPL,6.152481265919355e-06,0.0004420068137912,85.21570035559571,1.1861536601733675,2.7196551094582803e-09,148.4810068979607,235.96496178213883,False,False,dominated
64,AMD,AMD CPU,2T,2,CPU package RAPL,6.147713611058021e-06,0.0004414509491427,85.28178655833158,1.1876472369538904,2.713308169894568e-09,148.28845504298008,235.54245461808057,False,False,dominated
64,AMD,AMD CPU,4T,4,CPU package RAPL,6.149570334621919e-06,0.0004425503748799,85.25603765327675,1.1846967707174172,2.7210816531893446e-09,148.36344276268986,236.3781171333539,False,False,dominated
64,AMD,AMD CPU,8T,8,CPU package RAPL,6.138008702643321e-06,0.0004390853733376,85.41662702013058,1.1940456955210168,2.693620855628583e-09,147.89650173007925,233.74440408999843,False,False,dominated
64,AMD,AMD CPU,10T,10,CPU package RAPL,6.151522048014172e-06,0.0004418865183882,85.22898819313345,1.1864765684917542,2.71842656364284e-09,148.4422668481153,235.87352644854113,False,False,dominated
64,AMD,AMD CPU,16T,16,CPU package RAPL,6.169918931156612e-06,0.0004465363408288,84.97486042360642,1.174121682967366,2.7560592340621167e-09,149.18526399827968,239.40781001568965,False,False,dominated
64,AMD,AMD CPU,20T,20,CPU package RAPL,6.145887099257799e-06,0.0004418442548735,85.30713166913121,1.1865900579608162,2.716481390584257e-09,148.21468748943315,235.84140237339582,False,False,dominated
64,AMD,AMD CPU,32T,32,CPU package RAPL,6.154622143463655e-06,0.0004426930392815,85.18605818178546,1.1843149846018142,2.725736455735348e-09,148.5674707789317,236.48655491923353,False,False,dominated
64,AMD,AMD CPU,64T,64,CPU package RAPL,6.16892163261208e-06,0.0004436749288843,84.98859788205851,1.181693996815227,2.735155887988519e-09,149.14498598103546,237.23287939339605,False,False,dominated
64,INTEL,Intel CPU,1T,1,CPU package RAPL,2.5564774921052965e-06,0.0001600621949192,205.0821889177836,3.275526742993013,4.0903490931405907e-10,3.2487664560771456,21.661674709379565,False,False,dominated
64,INTEL,Intel CPU,2T,2,CPU package RAPL,2.481484534640308e-06,0.0001460082847464,211.27997885185115,3.590809938700598,3.62317962091293e-10,0.22001678976317773,10.9794380406824,False,False,runtime_efficient_compromise
