platform,platform_label,device_kind,energy_domain,problem_size,policy,optimized_metric,lower_is_better,exact_configuration,leader_configurations,leader_count,selection_status,gap_to_second_pct,practical_gap_gt_tolerance,ci_separated_from_all,exact_num_threads,selected_runtime_s_median,selected_runtime_s_ci95_low,selected_runtime_s_ci95_high,selected_runtime_s_session_cv_pct,selected_energy_j_median,selected_energy_j_ci95_low,selected_energy_j_ci95_high,selected_energy_j_session_cv_pct,selected_power_w_median,selected_power_w_ci95_low,selected_power_w_ci95_high,selected_power_w_session_cv_pct,selected_throughput_gflops_median,selected_throughput_gflops_ci95_low,selected_throughput_gflops_ci95_high,selected_throughput_gflops_session_cv_pct,selected_efficiency_gflop_per_j_median,selected_efficiency_gflop_per_j_ci95_low,selected_efficiency_gflop_per_j_ci95_high,selected_efficiency_gflop_per_j_session_cv_pct,selected_edp_j_s_median,selected_edp_j_s_ci95_low,selected_edp_j_s_ci95_high,selected_edp_j_s_session_cv_pct,selected_temperature_c_median,selected_temperature_c_ci95_low,selected_temperature_c_ci95_high,selected_temperature_c_session_cv_pct,selected_clock_mhz_median,selected_clock_mhz_ci95_low,selected_clock_mhz_ci95_high,selected_clock_mhz_session_cv_pct
3090,RTX 3090,GPU,GPU board NVML,64,edp_opt,edp_j_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,5.265390629524527e-06,5.265276790649924e-06,5.266399936827144e-06,0.010729673508934617,0.0009341966020311,0.0009206785817693,0.0009366275794162,0.8245135981146945,177.4047055,174.8181105,177.75053350000002,0.8048885243808118,99.57247940165533,99.55339630280123,99.5746322265584,0.010729259247243297,0.5612180550219408,0.5597614372265107,0.569458234808132,0.8269635779648242,4.919391837770915e-09,4.848748744884246e-09,4.935406381350505e-09,0.8448032256276664,58.0,56.0,58.0,1.5582355243900974,1950.0,1950.0,1965.0,0.3434820241935161
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,edp_opt,edp_j_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,9.824193706499364e-06,9.745628561687204e-06,9.859147042353149e-06,0.44115006213449554,0.0003301833153612,0.00032838672915,0.0003328917247089,0.5597626177151899,33.572706,33.318714,34.146522,0.9471083012270789,53.36702590189648,53.17782539886581,53.797248343849574,0.44286770897122146,1.587869451932971,1.5749505352182247,1.5965566006795497,0.5583028828037021,3.241224180560288e-09,3.235826667882598e-09,3.246018511873912e-09,0.14681471367015334,48.0,47.0,49.0,1.7503347835440912,2797.0,2797.0,2797.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,64,edp_opt,edp_j_s,True,8T,"1T,2T,4T,8T,10T,16T,20T,32T,64T",9,tie_or_uncertain,0.7308866140105064,False,False,8,6.138008702643321e-06,6.121002484487254e-06,6.187864285581274e-06,0.42059310355230495,0.0004390853733376,0.0004387737066591,0.0004488895768545,1.0054480474368632,71.70195036390024,71.48723784239588,72.51264293808521,0.5909744165654641,85.41662702013058,84.72842580301509,85.65394334158954,0.41945812241440367,1.1940456955210168,1.167966526810087,1.1948938417299908,0.9976853665440139,2.693620855628583e-09,2.685904578434268e-09,2.7776677860560594e-09,1.426565313524331,69.0,69.0,74.0,3.3768985534125378,1795.5,1795.0,1812.0,0.4639204680445994
INTEL,Intel CPU,CPU,CPU package RAPL,64,edp_opt,edp_j_s,True,16T,"1T,2T,4T,8T,10T,16T,20T",7,tie_or_uncertain,12.186668672954193,True,False,16,2.476036837876259e-06,2.452508285720594e-06,2.8508282456004385e-06,6.857826053371805,0.0001315633664435,0.000129541006929,0.0001866692755797,17.918936810269816,53.61573401051566,52.30729730522242,69.09547741839927,12.491677137760087,211.7448302787333,183.90725600853412,213.77624004477283,6.604092026461567,3.9850606910788953,2.8086464597445278,4.0472743915550735,16.511357183612603,3.229599081398164e-10,3.2087021108040376e-10,5.04510621728678e-10,24.111012378582416,88.0,84.0,99.0,8.437877228800861,1339.0,1337.5,1389.0,1.6220339553049425
3090,RTX 3090,GPU,GPU board NVML,64,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,5.265390629524527e-06,5.265276790649924e-06,5.266399936827144e-06,0.010729673508934617,0.0009341966020311,0.0009206785817693,0.0009366275794162,0.8245135981146945,177.4047055,174.8181105,177.75053350000002,0.8048885243808118,99.57247940165533,99.55339630280123,99.5746322265584,0.010729259247243297,0.5612180550219408,0.5597614372265107,0.569458234808132,0.8269635779648242,4.919391837770915e-09,4.848748744884246e-09,4.935406381350505e-09,0.8448032256276664,58.0,56.0,58.0,1.5582355243900974,1950.0,1950.0,1965.0,0.3434820241935161
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,9.824193706499364e-06,9.745628561687204e-06,9.859147042353149e-06,0.44115006213449554,0.0003301833153612,0.00032838672915,0.0003328917247089,0.5597626177151899,33.572706,33.318714,34.146522,0.9471083012270789,53.36702590189648,53.17782539886581,53.797248343849574,0.44286770897122146,1.587869451932971,1.5749505352182247,1.5965566006795497,0.5583028828037021,3.241224180560288e-09,3.235826667882598e-09,3.246018511873912e-09,0.14681471367015334,48.0,47.0,49.0,1.7503347835440912,2797.0,2797.0,2797.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,64,efficiency_opt,efficiency_gflop_per_j,False,8T,"1T,2T,4T,8T,10T,16T,20T,32T,64T",9,tie_or_uncertain,0.5387507643715317,False,False,8,6.138008702643321e-06,6.121002484487254e-06,6.187864285581274e-06,0.42059310355230495,0.0004390853733376,0.0004387737066591,0.0004488895768545,1.0054480474368632,71.70195036390024,71.48723784239588,72.51264293808521,0.5909744165654641,85.41662702013058,84.72842580301509,85.65394334158954,0.41945812241440367,1.1940456955210168,1.167966526810087,1.1948938417299908,0.9976853665440139,2.693620855628583e-09,2.685904578434268e-09,2.7776677860560594e-09,1.426565313524331,69.0,69.0,74.0,3.3768985534125378,1795.5,1795.0,1812.0,0.4639204680445994
INTEL,Intel CPU,CPU,CPU package RAPL,64,efficiency_opt,efficiency_gflop_per_j,False,16T,"1T,2T,4T,8T,10T,16T,20T",7,tie_or_uncertain,10.9794380406824,True,False,16,2.476036837876259e-06,2.452508285720594e-06,2.8508282456004385e-06,6.857826053371805,0.0001315633664435,0.000129541006929,0.0001866692755797,17.918936810269816,53.61573401051566,52.30729730522242,69.09547741839927,12.491677137760087,211.7448302787333,183.90725600853412,213.77624004477283,6.604092026461567,3.9850606910788953,2.8086464597445278,4.0472743915550735,16.511357183612603,3.229599081398164e-10,3.2087021108040376e-10,5.04510621728678e-10,24.111012378582416,88.0,84.0,99.0,8.437877228800861,1339.0,1337.5,1389.0,1.6220339553049425
3090,RTX 3090,GPU,GPU board NVML,64,energy_opt,energy_j,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,5.265390629524527e-06,5.265276790649924e-06,5.266399936827144e-06,0.010729673508934617,0.0009341966020311,0.0009206785817693,0.0009366275794162,0.8245135981146945,177.4047055,174.8181105,177.75053350000002,0.8048885243808118,99.57247940165533,99.55339630280123,99.5746322265584,0.010729259247243297,0.5612180550219408,0.5597614372265107,0.569458234808132,0.8269635779648242,4.919391837770915e-09,4.848748744884246e-09,4.935406381350505e-09,0.8448032256276664,58.0,56.0,58.0,1.5582355243900974,1950.0,1950.0,1965.0,0.3434820241935161
5060ti,RTX 5060 Ti,GPU,GPU board NVML,64,energy_opt,energy_j,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,9.824193706499364e-06,9.745628561687204e-06,9.859147042353149e-06,0.44115006213449554,0.0003301833153612,0.00032838672915,0.0003328917247089,0.5597626177151899,33.572706,33.318714,34.146522,0.9471083012270789,53.36702590189648,53.17782539886581,53.797248343849574,0.44286770897122146,1.587869451932971,1.5749505352182247,1.5965566006795497,0.5583028828037021,3.241224180560288e-09,3.235826667882598e-09,3.246018511873912e-09,0.14681471367015334,48.0,47.0,49.0,1.7503347835440912,2797.0,2797.0,2797.0,0.0
