problem_size,num_threads,sessions,runs,runtime_per_op_s_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,runtime_per_op_s_between_session_robust_cv,runtime_per_op_s_between_session_cv,runtime_per_op_s_run_robust_cv,runtime_per_op_s_run_cv,total_energy_per_op_j_median,total_energy_per_op_j_ci95_low,total_energy_per_op_j_ci95_high,total_energy_per_op_j_between_session_robust_cv,total_energy_per_op_j_between_session_cv,total_energy_per_op_j_run_robust_cv,total_energy_per_op_j_run_cv,package_energy_per_op_j_median,package_energy_per_op_j_ci95_low,package_energy_per_op_j_ci95_high,package_energy_per_op_j_between_session_robust_cv,package_energy_per_op_j_between_session_cv,package_energy_per_op_j_run_robust_cv,package_energy_per_op_j_run_cv,dram_energy_per_op_j_median,dram_energy_per_op_j_ci95_low,dram_energy_per_op_j_ci95_high,dram_energy_per_op_j_between_session_robust_cv,dram_energy_per_op_j_between_session_cv,dram_energy_per_op_j_run_robust_cv,dram_energy_per_op_j_run_cv,total_avg_power_w_median,total_avg_power_w_ci95_low,total_avg_power_w_ci95_high,total_avg_power_w_between_session_robust_cv,total_avg_power_w_between_session_cv,total_avg_power_w_run_robust_cv,total_avg_power_w_run_cv,package_avg_power_w_median,package_avg_power_w_ci95_low,package_avg_power_w_ci95_high,package_avg_power_w_between_session_robust_cv,package_avg_power_w_between_session_cv,package_avg_power_w_run_robust_cv,package_avg_power_w_run_cv,edp_total_j_s_median,edp_total_j_s_ci95_low,edp_total_j_s_ci95_high,edp_total_j_s_between_session_robust_cv,edp_total_j_s_between_session_cv,edp_total_j_s_run_robust_cv,edp_total_j_s_run_cv,edp_package_j_s_median,edp_package_j_s_ci95_low,edp_package_j_s_ci95_high,edp_package_j_s_between_session_robust_cv,edp_package_j_s_between_session_cv,edp_package_j_s_run_robust_cv,edp_package_j_s_run_cv,throughput_gflops_exact_median,throughput_gflops_exact_ci95_low,throughput_gflops_exact_ci95_high,throughput_gflops_exact_between_session_robust_cv,throughput_gflops_exact_between_session_cv,throughput_gflops_exact_run_robust_cv,throughput_gflops_exact_run_cv,total_efficiency_gflop_per_j_median,total_efficiency_gflop_per_j_ci95_low,total_efficiency_gflop_per_j_ci95_high,total_efficiency_gflop_per_j_between_session_robust_cv,total_efficiency_gflop_per_j_between_session_cv,total_efficiency_gflop_per_j_run_robust_cv,total_efficiency_gflop_per_j_run_cv,package_efficiency_gflop_per_j_median,package_efficiency_gflop_per_j_ci95_low,package_efficiency_gflop_per_j_ci95_high,package_efficiency_gflop_per_j_between_session_robust_cv,package_efficiency_gflop_per_j_between_session_cv,package_efficiency_gflop_per_j_run_robust_cv,package_efficiency_gflop_per_j_run_cv,temp_c_median,temp_c_ci95_low,temp_c_ci95_high,temp_c_between_session_robust_cv,temp_c_between_session_cv,temp_c_run_robust_cv,temp_c_run_cv,runtime_1thread_s,total_energy_1thread_j,package_energy_1thread_j,speedup_vs_1thread,scaling_efficiency,total_energy_change_vs_1thread_pct,package_energy_change_vs_1thread_pct,stable_runtime_5pct,stable_total_energy_5pct,stable_package_energy_5pct,pareto_optimal_strict_total,pareto_optimal_practical_2pct_total,pareto_optimal_strict_package,pareto_optimal_practical_2pct_package
64,1,5,50,2.5564774921052965e-06,2.4669402442480933e-06,2.775629547739253e-06,0.05192610695108037,0.05691411194492092,0.052366182261214936,0.05140841295970333,0.00016006219491926306,0.00013948220390156137,0.00018651827926117331,0.1717077141770178,0.12169633882626778,0.17115094044468385,0.11107897351712816,0.00016006219491926306,0.00013948220390156137,0.00018651827926117331,0.1717077141770178,0.12169633882626778,0.17115128288430967,0.11107896984791289,0.0,0.0,0.0,,,,4.960694604398546,59.742055349927554,56.56763319174783,68.05265207904918,0.07179361622676689,0.07626677423035011,0.06868608028192365,0.0712003870035132,59.742055349927554,56.56763319174783,68.05265207904918,0.07179361622676689,0.07626677423035011,0.06868608028192365,0.07120038239716694,4.0919539864806673e-10,3.4409426216118016e-10,5.177056471107942e-10,0.2172881363458382,0.1733344475942961,0.21635453457170853,0.15730025958602545,4.0919539864806673e-10,3.4409426216118016e-10,5.177056471107942e-10,0.2172881363458382,0.1733344475942961,0.21635486527167463,0.15730025639790196,205.0821889177836,188.88976031654943,212.5256180089597,0.05381074918230891,0.05620425364975063,0.05428349252470398,0.05083798445866996,3.2755267429917225,2.810920206195247,3.7588164320232043,0.19419710857988706,0.11825437121046602,0.18903285457513486,0.1077901454460638,3.2755267429917225,2.810920206195247,3.7588164320232043,0.19419710857988706,0.11825437121046602,0.18903255519220585,0.10779014439582327,98.0,96.0,99.5,0.015128571428571427,0.014624944906308838,0.02280923076923077,0.015732295667936033,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,1.0,1.0,0.0,0.0,False,False,False,False,False,False,False
64,2,5,50,2.4814845346403077e-06,2.4527152230457822e-06,2.7358931181728178e-06,0.017188654925961906,0.054323998197608435,0.01718865492596178,0.05248934562114139,0.00014600828474647403,0.00012851870367473062,0.00018177854571615502,0.17759302454645792,0.14329639962378765,0.17673777099680812,0.1307678195781745,0.00014600828474647403,0.00012851870367473062,0.00018177854571615502,0.17759302454645792,0.14329639962378765,0.17673777099680812,0.1307678195781745,0.0,0.0,0.0,,,,,58.839019106155284,52.994084981395304,67.14070105543371,0.08107470250838074,0.09143962004094464,0.08107470250838084,0.08456745505832286,58.839019106155284,52.994084981395304,67.14070105543371,0.08107470250838074,0.09143962004094464,0.08107470250838084,0.08456745505832286,3.6231730052773365e-10,3.152197809491217e-10,4.973266722562915e-10,0.19209741348163958,0.19600039914666362,0.1920974134816397,0.18044019632905045,3.6231730052773365e-10,3.152197809491217e-10,4.973266722562915e-10,0.19209741348163958,0.19600039914666362,0.1920974134816397,0.18044019632905045,211.27997885185118,191.63321714488205,213.75820359158496,0.017389384772825405,0.05327002808901013,0.017389384772825405,0.052126840596859236,3.590809938698777,2.884212754230465,4.079468474308037,0.18174184354271927,0.13878336017992032,0.1680095408320952,0.12642236716501815,3.590809938698777,2.884212754230465,4.079468474308037,0.18174184354271927,0.13878336017992032,0.1680095408320952,0.12642236716501815,98.5,84.0,99.0,0.007525888324873096,0.06783060138332168,0.015128571428571427,0.06159992038301644,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,1.0302210053772747,0.5151105026886373,-8.780280802645478,-8.780280802645478,False,False,False,False,False,False,False
64,4,5,50,2.685753448289805e-06,2.4654470942210494e-06,2.7594916233710574e-06,0.040705232434897806,0.04447267656335014,0.03977110183852026,0.041017604692844066,0.00016738163509153565,0.00014155853428982198,0.00018139372421849498,0.09565560935652519,0.09410935758013247,0.09252824566845809,0.08602868753802959,0.00016738163509153565,0.00014155853428982198,0.00018139372421849498,0.09565560935652519,0.09410935758013247,0.09252824566845809,0.08602869202416116,0.0,0.0,0.0,,,,5.574779000725678,64.20666638943493,57.41166444956847,66.46224601284317,0.05208372491077222,0.06507593149495704,0.05680088921584917,0.06057058541388082,64.20666638943493,57.41166444956847,66.46224601284317,0.05208372491077222,0.06507600688033637,0.05680088921584917,0.06057060334105525,4.495458036274777e-10,3.490050770270324e-10,5.005544625130166e-10,0.0749090297040403,0.12874457437159445,0.08669407882332172,0.1173043321884214,4.495458036274777e-10,3.490050770270324e-10,5.005544625130166e-10,0.0749090297040403,0.12874457437159445,0.08669407882332172,0.11730432946054538,195.2107704949047,189.9944162031983,212.65433001134716,0.03961839771270332,0.04590693800360845,0.03894015087930389,0.042223696178756515,3.1322910647472386,2.8903315275035486,3.7036834453696104,0.089849988991016,0.10177264705700334,0.08709278547014006,0.09215508142015895,3.1322910647472386,2.8903315275035486,3.7036834453696104,0.089849988991016,0.10177264705700334,0.08709278547014006,0.09215508039160014,98.5,97.0,99.0,0.007525888324873096,0.008349429230261678,0.015128571428571427,0.01465058868334182,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,0.9518660373435145,0.23796650933587862,4.572872548676843,4.572872548676843,True,False,False,False,False,False,False
64,8,5,50,2.718807614968793e-06,2.4257562737587207e-06,2.820754610105839e-06,0.055592979127329335,0.057317210449790046,0.05559297912732945,0.0509743272045679,0.00016421910038757576,0.0001520665717531569,0.00017577240903696864,0.09896273298046078,0.05864775021701737,0.09039471279260089,0.06764156689149327,0.00016421910038757576,0.0001520665717531569,0.00017577240903696864,0.09896273298046078,0.05864775021701737,0.09039314533080328,0.067641558200279,0.0,0.0,0.0,,,,5.153952340748703,62.561207664146735,59.8561003515038,64.49216456575022,0.005979674743937084,0.026613627036262466,0.017178974909014422,0.04258786586117623,62.561207664146735,59.8561003515038,64.49216456575022,0.005979674743937084,0.0266136333531109,0.017178974909014422,0.04258787343856635,4.4648014065706564e-10,3.6887644045920103e-10,4.958108331204385e-10,0.10892354562346185,0.11231233287372891,0.13316704269757196,0.10962561342173932,4.4648014065706564e-10,3.6887644045920103e-10,4.958108331204385e-10,0.10892354562346185,0.11231233287372891,0.13316543602905465,0.10962560000051186,192.8374766619954,185.86799366440738,216.1338324347043,0.053598493816578635,0.0596478332511529,0.053598493816578524,0.052728630450808986,3.192612788418769,2.982766196768295,3.4477531383495252,0.09276259736885784,0.0600861544497354,0.08519998637062869,0.06880557835732948,3.192612788418769,2.982766196768295,3.4477531383495252,0.09276259736885784,0.0600861544497354,0.08519859452936751,0.06880556466025378,99.0,98.5,99.0,0.0,0.0022609382987864406,0.007487878787878787,0.010527337403843791,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,0.940293633882087,0.11753670423526087,2.597056394490571,2.597056394490571,False,False,False,False,False,False,False
64,10,5,50,2.6152654884678078e-06,2.470843345176688e-06,2.6968460397958433e-06,0.04624820154293654,0.04211214013923632,0.050470008883806976,0.03844363763809307,0.00016097391049853404,0.00013067239652994272,0.00018659786194241232,0.21006075732218926,0.15025553616347592,0.20516958430688043,0.1334019701071428,0.00016097391049853404,0.00013067239652994272,0.00018659786194241232,0.21006075732218926,0.15025553616347592,0.20516958430688043,0.1334019701071428,0.0,0.0,0.0,,,,,61.551644774345846,52.84952211089659,69.13248545883329,0.17624169149356206,0.11157275715721483,0.1657317827554139,0.09868484830163013,61.551644774345846,52.84952211089659,69.13248545883329,0.17624169149356206,0.11157275715721483,0.1657317827554139,0.09868484830163013,4.209895126705218e-10,3.228710213642983e-10,5.032257050137662e-10,0.2415364172575019,0.18905399460934366,0.2536282204721002,0.16882885056899452,4.209895126705218e-10,3.228710213642983e-10,5.032257050137662e-10,0.2415364172575019,0.18905399460934366,0.2536282204721002,0.16882885056899452,200.47219003649298,194.40783502779777,212.18989905752548,0.044849307284775645,0.042444941637657586,0.048808513418500524,0.038727373000768374,3.2569749866688777,2.809721368414207,4.0122322228923295,0.1839527857854287,0.15479577625447327,0.18744336656895547,0.1369192966926007,3.2569749866688777,2.809721368414207,4.0122322228923295,0.1839527857854287,0.15479577625447327,0.18744336656895547,0.1369192966926007,98.0,84.0,99.0,0.015128571428571427,0.06803185163811339,0.015128571428571427,0.06128276593306113,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,0.9775212128092765,0.09775212128092765,0.5696008228119442,0.5696008228119442,True,False,False,False,False,False,False
64,16,5,50,2.476036837876259e-06,2.452508285720594e-06,2.8508282456004385e-06,0.014088413747474559,0.06857826053371807,0.014367593777438997,0.06210688634400429,0.00013156336644350625,0.00012954100692908743,0.00018666927557976098,0.022790160339693378,0.1791893681026375,0.036629566207205165,0.16155013656684747,0.00013156336644350625,0.00012954100692908743,0.00018666927557976098,0.022790160339693378,0.1791893681026375,0.036629566207205165,0.16155008626685116,0.0,0.0,0.0,,,,7.071067811865474,53.61573401051566,52.30729730522242,69.09547741839927,0.036181324289755804,0.12491677137760088,0.04594180148086858,0.11226903435819302,53.61573401051566,52.30729730522242,69.09547741839927,0.036181324289755804,0.12491677137760088,0.04594180148086858,0.11226903164489942,3.257557418291348e-10,3.177003928341758e-10,5.321620434085548e-10,0.00959309431975651,0.24111012378582417,0.030443436973101572,0.21790608248537024,3.257557418291348e-10,3.177003928341758e-10,5.321620434085548e-10,0.00959309431975651,0.24111012378582417,0.030443436973101572,0.21790600373454164,211.7448302787333,183.90725600853412,213.77624004477283,0.014223567897400164,0.066040777435119,0.014508182587309569,0.059775207716838905,3.9850606910787056,2.80864645974361,4.0472743915523415,0.023129270408170043,0.1651154488525497,0.037558977039978556,0.1489826051926795,3.9850606910787056,2.80864645974361,4.0472743915523415,0.023129270408170043,0.1651154488525497,0.037558977039978556,0.1489825355934237,88.0,84.0,99.0,0.06739090909090908,0.08437877228800861,0.06739090909090908,0.07718220277843216,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,1.0324876645607715,0.06453047903504822,-17.80484672856817,-17.80484672856817,False,False,False,True,True,True,True
64,20,5,50,2.679698672313956e-06,2.463185118747773e-06,2.8072889155040578e-06,0.07059200219340267,0.05981615927145935,0.07059200219340267,0.05421367442053225,0.00017376981118411708,0.00014212026513988032,0.0001849366815923897,0.09527547940857886,0.116690099426671,0.10065563309740867,0.10590143849626504,0.00017376981118411708,0.00014212026513988032,0.0001849366815923897,0.09527547940857886,0.116690099426671,0.10065563309740867,0.10590141158784047,0.0,0.0,0.0,,,,5.760082777643709,62.128173706433714,57.72504645204802,69.018574667895,0.09773430960105389,0.07379387371731928,0.08457472292104662,0.06711819273508107,62.128173706433714,57.72504645204802,69.018574667895,0.09773430960105389,0.07379387371731928,0.08457472292104662,0.06711815584492989,4.6565073231832534e-10,3.5006852216504107e-10,5.191706963044189e-10,0.038209156975621696,0.16734416842403055,0.04453847274422199,0.15155298660104877,4.6565073231832534e-10,3.5006852216504107e-10,5.191706963044189e-10,0.038209156975621696,0.16734416842403055,0.04453847274422199,0.15155296648018737,195.6518489996005,186.759544806546,212.84961329521835,0.06738365326230779,0.06047595416180661,0.06738365326230779,0.05482894250220304,3.017140874052587,2.8349594871371093,3.6890446234671406,0.08951762468289776,0.12016946857477936,0.09425153595072167,0.10898802368857949,3.017140874052587,2.8349594871371093,3.6890446234671406,0.08951762468289776,0.12016946857477936,0.09425153595072167,0.1089880002741676,99.0,98.0,99.0,0.0,0.00453103946808468,0.007487878787878787,0.01105350481148009,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,0.9540167775273567,0.047700838876367835,8.563931209220431,8.563931209220431,False,False,False,False,False,False,False
128,1,5,50,2.712906506821449e-05,2.4989542532891433e-05,2.726478938603915e-05,0.0060943995267723865,0.03614751817076726,0.006330254701080207,0.03254595582924015,0.0017490790352806974,0.0014331632017676008,0.0018755411999240553,0.06204309413116171,0.1000241116118278,0.05980523080593637,0.08942271379562414,0.0017490790352806974,0.0014331632017676008,0.0018755411999240553,0.06204309413116171,0.1000241116118278,0.05980523080593637,0.08942270159947323,0.0,0.0,0.0,,,,7.071067811865474,64.36293161881053,57.3969245301926,69.10305119786173,0.06771362669198981,0.07099695147199865,0.06860164200617971,0.06410815575786069,64.36293161881053,57.3969245301926,69.10305119786173,0.06771362669198981,0.07099695147199865,0.06860164200617971,0.06410814126400226,4.7450878957579866e-08,3.5814092787146323e-08,5.113623580076851e-08,0.053885865115320515,0.12830817842800873,0.052929984987752164,0.11539049932517033,4.7450878957579866e-08,3.5814092787146323e-08,5.113623580076851e-08,0.053885865115320515,0.12830817842800873,0.052929984987752164,0.11539048906159292,154.6055490468861,153.8359215108289,167.8423682418125,0.006120091301834114,0.03795315467500221,0.00633039927191076,0.03415491475370022,2.398007131408379,2.2363166429880805,2.9266059823660897,0.05957325695832912,0.11047207570356035,0.05974132675955038,0.09852285521738449,2.398007131408379,2.2363166429880805,2.9266059823660897,0.05957325695832912,0.11047207570356035,0.05974132675955038,0.0985228387135173,98.5,97.5,99.0,0.007525888324873096,0.005799468082905076,0.015128571428571427,0.014352526311376896,2.712906506821449e-05,0.0017490790352806974,0.0017490790352806974,1.0,1.0,0.0,0.0,True,False,False,False,False,False,False
128,2,5,50,1.9554605851043165e-05,1.9106957612346417e-05,2.0752386230679228e-05,0.033939997755382686,0.03753660473262248,0.04871751291132118,0.03400161233030978,0.0014336584970338895,0.0012528652693337868,0.0015409446268308791,0.0787799652812714,0.07958372654394774,0.07632287385141812,0.0763473956268073,0.0014336584970338895,0.0012528652693337868,0.0015409446268308791,0.0787799652812714,0.07958372654394774,0.07632287385141812,0.07634739743449388,0.0,0.0,0.0,,,,7.071067811865474,72.22933993795371,65.64099838412059,78.80172794130257,0.06338817495051519,0.06859803948455567,0.06338817495051532,0.06593158868646305,72.22933993795371,65.64099838412059,78.80172794130257,0.06338817495051519,0.06859803948455567,0.06338817495051532,0.06593158956377437,2.8034626834496647e-08,2.3938443595141642e-08,3.1978278056084274e-08,0.06037739814416429,0.10232138984469055,0.08350543128899365,0.09713519066119167,2.8034626834496647e-08,2.3938443595141642e-08,3.1978278056084274e-08,0.06037739814416429,0.10232138984469055,0.08350543128899365,0.09713519300066091,214.49187122205532,202.11188985097837,219.51710393127948,0.03474630129000036,0.03715981566624163,0.04908508635061206,0.03398059132109048,2.925594908883557,2.7219044260052643,3.3477693912213944,0.07479772763281897,0.0835580827398238,0.07258554869145603,0.07959642299640031,2.925594908883557,2.7219044260052643,3.3477693912213944,0.07479772763281897,0.0835580827398238,0.07258554869145603,0.07959642382188033,94.5,80.0,99.0,0.0706,0.08680921180502765,0.0706,0.08227113843621622,2.712906506821449e-05,0.0017490790352806974,0.0017490790352806974,1.3873491122689776,0.6936745561344888,-18.03352117797171,-18.03352117797171,True,False,False,False,False,False,False
128,4,5,50,1.238258696497825e-05,1.2100488702418901e-05,1.333314005411818e-05,0.03377637364901203,0.040781169048673085,0.03424685506585913,0.03817715498519617,0.0011816319297914726,0.0010081713567049206,0.0012321603884245746,0.06339833147760088,0.0808203557545886,0.06339833147760074,0.07969534122544568,0.0011816319297914726,0.0010081713567049206,0.0012321603884245746,0.06339833147760088,0.0808203557545886,0.06339833147760074,0.07969534122544568,0.0,0.0,0.0,,,,,93.02313474852448,83.07654851383438,96.2416240503403,0.036858074765201254,0.05698252985236307,0.04001201815146558,0.05757902148536787,93.02313474852448,83.07654851383438,96.2416240503403,0.036858074765201254,0.05698252985236307,0.04001201815146558,0.05757902148536787,1.4631660131237984e-08,1.2199366111910228e-08,1.642856702800151e-08,0.11373908542680011,0.1157368234300666,0.1373487720323653,0.1109095604738852,1.4631660131237984e-08,1.2199366111910228e-08,1.642856702800151e-08,0.11373908542680011,0.1157368234300666,0.1373487720323653,0.1109095604738852,338.7259877005327,314.5773600948948,346.6226945992317,0.03456045804592155,0.03983814972191585,0.03347306982713105,0.037372706514551136,3.549585868706329,3.404024378159719,4.1603086341478175,0.06079848100755116,0.08623457764880994,0.06079848100755125,0.0842599046838474,3.549585868706329,3.404024378159719,4.1603086341478175,0.06079848100755116,0.08623457764880994,0.06079848100755125,0.0842599046838474,94.0,76.5,98.0,0.04731702127659575,0.0939796039209835,0.03154468085106383,0.08651842347187413,2.712906506821449e-05,0.0017490790352806974,0.0017490790352806974,2.1909044648702083,0.5477261162175521,-32.4426223197032,-32.4426223197032,True,False,False,True,True,True,True
