timestamp,run_id_global,run_id_per_size,device_name,num_threads,problem_size,batches,gpu_e2e_time_s,gpu_kernel_time_s,wall_time_s,total_energy_j,energy_per_batch_j,energy_per_second_j,energy_per_flop_j,time_per_gemm_ms_kernel,time_per_gemm_ms_e2e,flops_total,gflops_per_s,avg_power_w,below_target,pcie_gen,pcie_width,sm_clock_mhz,mem_clock_mhz,temp_c,throttle_reasons
2026-02-17T14:11:50,1,1,RTX 3090,,1000000,131072,1.902263,1.901816,1.907737,574.134000,4.380295e-03,300.950229,2.190147e-09,0.014510,0.014513,2.621440e+11,137.84,300.95,f,4,16,1950,9501,50,0x0
2026-02-17T14:11:51,2,2,RTX 3090,,1000000,131072,1.902198,1.901750,1.904867,575.937000,4.394051e-03,302.350215,2.197025e-09,0.014509,0.014513,2.621440e+11,137.84,302.35,f,4,16,1950,9501,50,0x0
2026-02-17T14:11:53,3,3,RTX 3090,,1000000,131072,1.902195,1.901744,1.905541,575.714000,4.392349e-03,302.126244,2.196175e-09,0.014509,0.014513,2.621440e+11,137.84,302.13,f,4,16,1950,9501,51,0x0
2026-02-17T14:11:55,4,4,RTX 3090,,1000000,131072,1.902102,1.901654,1.904685,580.123000,4.425987e-03,304.576850,2.212994e-09,0.014508,0.014512,2.621440e+11,137.85,304.58,f,4,16,1950,9501,51,0x0
2026-02-17T14:11:57,5,5,RTX 3090,,1000000,131072,1.902056,1.901605,1.904793,579.247000,4.419304e-03,304.099669,2.209652e-09,0.014508,0.014512,2.621440e+11,137.85,304.10,f,4,16,1950,9501,51,0x0
2026-02-17T14:11:59,6,6,RTX 3090,,1000000,131072,1.902055,1.901606,1.904872,578.229000,4.411537e-03,303.552727,2.205769e-09,0.014508,0.014512,2.621440e+11,137.85,303.55,f,4,16,1950,9501,52,0x0
2026-02-17T14:12:01,7,7,RTX 3090,,1000000,131072,1.902053,1.901606,1.907473,607.000000,4.631042e-03,318.222032,2.315521e-09,0.014508,0.014512,2.621440e+11,137.85,318.22,f,4,16,1950,9501,52,0x0
2026-02-17T14:12:03,8,8,RTX 3090,,1000000,131072,1.901919,1.901471,1.904465,583.645000,4.452858e-03,306.461401,2.226429e-09,0.014507,0.014510,2.621440e+11,137.86,306.46,f,4,16,1950,9501,52,0x0
2026-02-17T14:12:05,9,9,RTX 3090,,1000000,131072,1.901854,1.901407,1.904483,582.515000,4.444237e-03,305.865148,2.222118e-09,0.014507,0.014510,2.621440e+11,137.87,305.87,f,4,16,1950,9501,52,0x0
2026-02-17T14:12:07,10,10,RTX 3090,,1000000,131072,1.901750,1.901303,1.908010,580.240000,4.426880e-03,304.107496,2.213440e-09,0.014506,0.014509,2.621440e+11,137.88,304.11,f,4,16,1950,9501,53,0x0
2026-02-17T14:12:09,11,11,RTX 3090,,1000000,131072,1.901623,1.901180,1.904101,583.501000,4.451759e-03,306.444313,2.225880e-09,0.014505,0.014508,2.621440e+11,137.88,306.44,f,4,16,1950,9501,53,0x0
