platform,platform_label,total_rows,above_rows,above_fraction,min_above_e2e_s,median_above_e2e_s,max_above_e2e_s
intel,Intel i9-7900X,3150,0,0.0,nan,nan,nan
amd,AMD Threadripper 3970X,4050,258,0.0637037037037037,1.2534825360000001,1.316936921,2.509011159
3090,RTX 3090,450,0,0.0,nan,nan,nan
5060ti,RTX 5060 Ti,450,0,0.0,nan,nan,nan
