platform,problem_size,threads,rows,median_temp_c,max_temp_c,rows_temp_ge_95c,rows_temp_ge_100c,median_clock_before_mhz,median_clock_after_mhz,median_clock_after_before_ratio,min_clock_after_before_ratio
3090,1000000,-1,50,61.0,64.0,0,0,1950.0,1950.0,1.0,0.9923076923076923
3090,2000000,-1,50,64.0,65.0,0,0,1935.0,1935.0,1.0,0.9922480620155039
3090,4000000,-1,50,62.0,64.0,0,0,1942.5,1942.5,1.0,0.9923076923076923
3090,8000000,-1,50,63.0,64.0,0,0,1935.0,1935.0,1.0,0.9921259842519685
3090,16000000,-1,50,64.0,65.0,0,0,1927.5,1920.0,1.0,0.9921875
3090,32000000,-1,50,65.0,65.0,0,0,1920.0,1927.5,1.0,0.9921259842519685
3090,64000000,-1,50,59.0,65.0,0,0,1950.0,1950.0,1.0,0.9921259842519685
3090,128000000,-1,50,65.0,65.0,0,0,1935.0,1935.0,1.0,0.9922480620155039
3090,256000000,-1,50,63.5,65.0,0,0,1935.0,1935.0,1.0,0.9922480620155039
5060ti,1000000,-1,50,67.0,69.0,0,0,2752.0,2752.0,1.0,0.9945789663895916
5060ti,2000000,-1,50,69.0,70.0,0,0,2752.0,2752.0,1.0,0.9971014492753624
5060ti,4000000,-1,50,71.0,72.0,0,0,2707.0,2707.0,1.0,0.9920491507047343
5060ti,8000000,-1,50,54.0,54.0,0,0,2790.0,2790.0,1.0,1.0
5060ti,16000000,-1,50,54.0,59.0,0,0,2790.0,2790.0,1.0,1.0
5060ti,32000000,-1,50,54.0,59.0,0,0,2790.0,2790.0,1.0,1.0
5060ti,64000000,-1,50,53.0,57.0,0,0,2790.0,2790.0,1.0,0.9974973185555953
5060ti,128000000,-1,50,55.0,60.0,0,0,2790.0,2790.0,1.0,1.0
5060ti,256000000,-1,50,55.0,60.0,0,0,2790.0,2790.0,1.0,1.0
amd,1000000,1,50,72.0,76.0,0,0,1862.0,1793.0,0.9743452699091395,0.9242268041237114
amd,1000000,2,50,72.5,79.0,0,0,1901.0,1832.0,0.9791555318011759,0.9290060851926978
amd,1000000,4,50,68.0,76.0,0,0,1999.5,1951.0,0.983414473516415,0.9240077444336883
amd,1000000,8,50,66.0,72.0,0,0,2172.5,2142.5,0.9886354996214863,0.9192389006342495
amd,1000000,10,50,65.0,70.0,0,0,2271.5,2240.5,0.9859553775743708,0.9110378912685337
amd,1000000,16,50,66.0,71.0,0,0,2465.5,2425.5,0.9871822909229186,0.8988888888888888
amd,1000000,20,50,64.0,70.0,0,0,2599.5,2575.0,0.9881532168464784,0.9321907600596125
amd,1000000,32,50,61.0,67.0,0,0,3007.5,2987.0,0.9946931975879856,0.9574260643483913
amd,1000000,64,50,59.0,68.0,0,0,4151.0,4147.0,0.9993972417699681,0.9880182123172777
