platform,platform_label,campaign_id,selection_mode,manifest,manifest_parsed,session_csv_hashes_verified,session_log_hashes_verified,session_logs_content_verified,sessions,quickcheck_log,quickcheck_candidates,quickcheck_status,quickcheck_qualification_basis,quickcheck_sha256,recalibration_events,below_retry_events,source_path,source_hash_status,source_sha256_current,source_sha256_manifest,runner_path,runner_hash_status,runner_sha256_current,runner_sha256_manifest,binary_path,binary_hash_status,binary_sha256_current,binary_sha256_manifest,source_sha256_quickcheck,provenance_status
intel,Intel i9-7900X,axpy_intel_20260725_163341,latest_complete,/home/rock/projects/energy/new/INTEL/runs/AXPY/axpy_intel_20260725_163341_manifest.txt,False,0,0,5,5,/home/rock/projects/energy/new/INTEL/runs/AXPY/axpy_intel_20260725_163341_quickcheck.log,1,pass,measurement_and_anti_collapse_evidence,29c9740b9e430afc32925b50c3bcf09d865a3acd22dc1a643ce5173166ba1e6a,0,0,/home/rock/projects/energy/new/INTEL/scripts/AXPY/main_axpy_intel.cpp,current_hash_only,9c6b40338e7265a2236f00aa8ad999082146e49d3ca51de8eebb7f706eb075b8,,/home/rock/projects/energy/new/INTEL/scripts/02_run_CPU_Intel_AXPY_only.sh,current_hash_only,e89c54988ee8da26f5605f83dcd89c2c55ade402d12cb3eac38afe69a870671c,,/home/rock/projects/energy/new/INTEL/scripts/AXPY/.build/main_axpy_intel,current_hash_only,d01c422f633883195f87835e71c2fb223622b55afa225ac0e053c2744490afb4,,,partial
amd,AMD Threadripper 3970X,axpy_amd_20260725_215406,latest_complete,/home/rock/projects/energy/new/AMD/runs/AXPY/axpy_amd_20260725_215406_manifest.txt,False,0,0,5,5,,0,missing,none,,0,0,/home/rock/projects/energy/new/AMD/scripts/AXPY/main_axpy_amd.cpp,current_hash_only,6b0ea53b3331eef036c1762b17d3c2b26ce5b8a830e7aca190e6f11771e954cb,,/home/rock/projects/energy/new/AMD/scripts/02_run_CPU_AMD_AXPY_only.sh,current_hash_only,ffee4465dde9cc8004a1ab66ea312c18fc064fae070645c94ddf9e83bff4ee99,,/home/rock/projects/energy/new/AMD/scripts/AXPY/.build/main_axpy_amd,current_hash_only,3f1a62965bb4f60ad0c1b2b80e8e1d392be1cf2acf6ab9dcd2335e9ac136013a,,,partial
3090,RTX 3090,axpy_3090_20260727_133600,latest_complete,/home/rock/projects/energy/new/3090/runs/AXPY/axpy_3090_20260727_133600_manifest.txt,True,5,5,5,5,/home/rock/projects/energy/new/3090/runs/AXPY/axpy_3090_20260727_122403_quickcheck.log,1,pass,measurement_and_anti_collapse_evidence,602a02de4beccdc13fc7b431304fdce3149986a85141c7b6bc809bc8f252693a,0,0,/home/rock/projects/energy/new/3090/scripts/AXPY/main_axpy.cu,verified_against_current_file,c4e3099929f736b3fe101a10b870f7e677f0b6c28e13be4577aeb1a376c18f93,c4e3099929f736b3fe101a10b870f7e677f0b6c28e13be4577aeb1a376c18f93,/home/rock/projects/energy/new/3090/02_run_GPU_3090_AXPY_only.sh,verified_against_current_file,42ddcef651b76c16de660759cedc58efc12e4ba476e2ea66e6bc4cebba928a51,42ddcef651b76c16de660759cedc58efc12e4ba476e2ea66e6bc4cebba928a51,/home/rock/projects/energy/new/3090/scripts/AXPY/.build/main_axpy,verified_against_current_file,c054e30eaee6b2a97cc16374b25502cabcfe10a6cb7832ea6254dedf632f8e23,c054e30eaee6b2a97cc16374b25502cabcfe10a6cb7832ea6254dedf632f8e23,,verified
5060ti,RTX 5060 Ti,axpy_5060ti_20260727_141707,latest_complete,/home/rock/projects/energy/new/5060ti/runs/AXPY/axpy_5060ti_20260727_141707_manifest.txt,True,5,5,5,5,/home/rock/projects/energy/new/5060ti/runs/AXPY/axpy_5060ti_20260727_140945_quickcheck.log,1,pass,measurement_and_anti_collapse_evidence,f9753414bda54fd6eb054a8ff5631da34e61f8f20a1dad6cd29e89a27918cffe,0,0,/home/rock/projects/energy/new/5060ti/scripts/AXPY/main_axpy.cu,verified_against_current_file,c4e3099929f736b3fe101a10b870f7e677f0b6c28e13be4577aeb1a376c18f93,c4e3099929f736b3fe101a10b870f7e677f0b6c28e13be4577aeb1a376c18f93,/home/rock/projects/energy/new/5060ti/scripts/02_run_GPU_5060ti_AXPY_only.sh,verified_against_current_file,6f3c0478aad1dcf321daa456788d3343cd605d787d8d45d552fe1286f4291883,6f3c0478aad1dcf321daa456788d3343cd605d787d8d45d552fe1286f4291883,/home/rock/projects/energy/new/5060ti/scripts/AXPY/.build/main_axpy,verified_against_current_file,edf7c5d25995a26bd7b9f07cd02cff861cd84a87baf9cb02698568f7e51aa8c9,edf7c5d25995a26bd7b9f07cd02cff861cd84a87baf9cb02698568f7e51aa8c9,,verified
