problem_size,platform,platform_label,runtime_best_threads,runtime_best_time_s,runtime_penalty_vs_best,energy_best_threads,energy_best_energy_j,energy_penalty_vs_best,edp_best_threads,edp_best_edp_j_s,edp_penalty_vs_best
1000000,3090,RTX 3090,-1,1.2711648954017437e-05,1.5524591735895652,-1,0.004409560001016751,3.9711939099868068,-1,5.605669743953358e-08,6.1655468970409215
1000000,5060ti,RTX 5060 Ti,-1,8.188072942765906e-06,1.0,-1,0.0011103864734299516,1.0,-1,9.091926211190982e-09,1.0
1000000,amd,AMD Threadripper 3970X,10,1.8497303852638376e-05,2.2590546007507895,8,0.0028922030710900474,2.6046814692870996,10,5.357774930553711e-08,5.8928931076882085
1000000,intel,Intel i9-7900X,10,1.516122525359576e-05,1.8516231303228163,10,0.002249978346965717,2.0263020135823515,10,3.3390458525892095e-08,3.672539542258138
2000000,3090,RTX 3090,-1,3.123123084129661e-05,2.1795633150157956,-1,0.010995016092241353,5.419082035490838,-1,3.4276680061274827e-07,11.789811764781346
2000000,5060ti,RTX 5060 Ti,-1,1.4329123006490994e-05,1.0,-1,0.002028944389516973,1.0,-1,2.9073135979716402e-08,1.0
2000000,amd,AMD Threadripper 3970X,16,2.5097321509134627e-05,1.7514904085732053,10,0.005080173337771491,2.50385045741984,16,1.2825581245360093e-07,4.4114887552234405
2000000,intel,Intel i9-7900X,10,0.000102964415673788,7.185674631109373,16,0.013034262036751874,6.424159333344231,16,1.3643205101280935e-06,46.92718773371905
4000000,3090,RTX 3090,-1,5.962062718330849e-05,2.2402120273830888,-1,0.021108093621582995,4.445415550615341,-1,1.257311666523025e-06,9.9466808216252
4000000,5060ti,RTX 5060 Ti,-1,2.6613832286649458e-05,1.0,-1,0.004748283570174037,1.0,-1,1.2640514851843727e-07,1.0
4000000,amd,AMD Threadripper 3970X,20,3.5507264819473476e-05,1.3341657990865643,16,0.008846980262232846,1.863195432935902,20,3.201509051797223e-07,2.5327362764264745
4000000,intel,Intel i9-7900X,16,0.0006869737827608143,25.81265919772957,2,0.059131557731958766,12.453249023160476,16,4.734541952845671e-05,374.5529362006246
8000000,3090,RTX 3090,-1,0.00011639139530959032,2.238797851973764,-1,0.04114905243576328,2.941816803197854,-1,4.7852436751218115e-06,6.584557828556836
8000000,5060ti,RTX 5060 Ti,-1,0.00024306429559824903,4.675361279323349,-1,0.023067051189617882,1.6491033152166974,-1,5.602463981214763e-06,7.709063648838387
8000000,amd,AMD Threadripper 3970X,32,5.1988345087510966e-05,1.0,32,0.013987632537496172,1.0,32,7.267372843729148e-07,1.0
8000000,intel,Intel i9-7900X,8,0.002164647325431034,41.63716544135663,2,0.14272149618320612,10.203406173318998,4,0.0003221123956100969,443.23086559132634
16000000,3090,RTX 3090,-1,0.00023046005668202763,1.0,-1,0.08136774861878454,1.7555143222165794,-1,1.8735628754381957e-05,1.0
16000000,5060ti,RTX 5060 Ti,-1,0.0004852657011633544,2.105639077546915,-1,0.04634980620155039,1.0,-1,2.2493325606295022e-05,1.2005642245144403
16000000,amd,AMD Threadripper 3970X,32,0.0007951313779761904,3.450191714016872,8,0.11636294856146469,2.5105379741064024,32,0.00010641038011665485,5.679573475310627
16000000,intel,Intel i9-7900X,8,0.0049253517647058825,21.37182397512612,2,0.31409059322033894,6.776524412087675,4,0.0016977910059351627,90.61830954235134
32000000,3090,RTX 3090,-1,0.00045713873606032906,1.0,-1,0.1609741773308958,1.7378195821861813,-1,7.359209818081781e-05,1.0
32000000,5060ti,RTX 5060 Ti,-1,0.0009699435426770125,2.1217706270881584,-1,0.09262997090203685,1.0,-1,8.992119720596287e-05,1.221886580608478
32000000,amd,AMD Threadripper 3970X,10,0.006773962962025317,14.818177563345563,2,0.694864051724138,7.501503508610716,8,0.005152016919570938,70.00774603425887
32000000,intel,Intel i9-7900X,4,0.010406539463917525,22.76451029637568,2,0.6578650294117647,7.10207531110537,4,0.007363797284263871,100.06233639610082
64000000,3090,RTX 3090,-1,0.0009122411909753875,1.0,-1,0.3225813636363637,1.761359374789567,-1,0.00029419141419006285,1.0
64000000,5060ti,RTX 5060 Ti,-1,0.00193949921996124,2.1260816099385806,-1,0.18314341085271318,1.0,-1,0.0003552845871292797,1.2076647039731332
64000000,amd,AMD Threadripper 3970X,4,0.014319037921428572,15.696548306614346,4,1.3367994785714286,7.299195053468256,4,0.019156423267070746,65.11550760177762
64000000,intel,Intel i9-7900X,4,0.021194897989583333,23.23387520675459,2,1.3435845357142857,7.33624283537461,4,0.030468360809508946,103.5664514322801
128000000,3090,RTX 3090,-1,0.001817880112522686,1.0,-1,0.6394210526315789,1.7374296061811279,-1,0.0011621475679723058,1.0
128000000,5060ti,RTX 5060 Ti,-1,0.003881080293436294,2.1349484307028854,-1,0.36802702702702705,1.0,-1,0.0014276702824456255,1.228475902536714
128000000,amd,AMD Threadripper 3970X,4,0.028491369000000002,15.67285367375647,4,2.509045638888889,6.817558099352932,4,0.07140582193368249,61.44299046141798
128000000,intel,Intel i9-7900X,4,0.04296228741666666,23.63317972440304,2,2.710945071428571,7.366157570893525,4,0.12571874847539144,108.1779560015285
256000000,3090,RTX 3090,-1,0.0036270642989130433,1.0,-1,1.2767771739130436,1.7238215669393029,-1,0.004631336092562954,1.0
256000000,5060ti,RTX 5060 Ti,-1,0.007765560527131782,2.1410043735532787,-1,0.7406666666666666,1.0,-1,0.005752184693121536,1.2420140922958394
256000000,amd,AMD Threadripper 3970X,4,0.0566309795,15.613447910744549,4,5.031608638888889,6.79335099759976,4,0.2847972322395216,61.49353589277441
256000000,intel,Intel i9-7900X,8,0.08670707562499999,23.905579962005174,2,5.514698136363636,7.445587042795189,4,0.5112432328423568,110.3878497747802
