problem_size,metric,point_winners,in_range_complete_5x10_winners,in_range_any_coverage_winners,primary_same_winner_set,complete_platforms,partial_platforms,partial_configurations,required_sessions,required_repetitions_per_session,minimum_in_range_repetitions_in_partial_configs
1000000,runtime,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,2,5,10,10
1000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,2,5,10,10
1000000,edp,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,2,5,10,10
2000000,runtime,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,2,5,10,2
2000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,2,5,10,2
2000000,edp,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,2,5,10,2
4000000,runtime,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
4000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
4000000,edp,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
8000000,runtime,amd,amd,amd,yes,3090|5060ti|amd|intel,,0,5,10,10
8000000,energy,amd,amd,amd,yes,3090|5060ti|amd|intel,,0,5,10,10
8000000,edp,amd,amd,amd,yes,3090|5060ti|amd|intel,,0,5,10,10
16000000,runtime,3090,3090,3090,yes,3090|5060ti|amd|intel,amd,3,5,10,10
16000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,amd,3,5,10,10
16000000,edp,3090,3090,3090,yes,3090|5060ti|amd|intel,amd,3,5,10,10
32000000,runtime,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
32000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
32000000,edp,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
64000000,runtime,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
64000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
64000000,edp,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
128000000,runtime,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
128000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
128000000,edp,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
256000000,runtime,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
256000000,energy,5060ti,5060ti,5060ti,yes,3090|5060ti|amd|intel,,0,5,10,10
256000000,edp,3090,3090,3090,yes,3090|5060ti|amd|intel,,0,5,10,10
