session_number,rows,median_runtime_s,median_package_power_w,median_temp_c,max_temp_c,median_clock_before_mhz,median_clock_after_mhz,checksum_failures
1,630,1.016534,111.0706979202053,94.0,100,2078.0,2012.0,0
2,630,1.033861,118.28783668918292,99.0,100,2053.5,1995.5,0
3,630,1.0196245,115.82003124139518,98.0,100,2098.0,2041.5,0
4,630,1.0214375,115.86338595718365,99.0,100,2043.0,2003.5,0
5,630,1.014315,117.27036204774993,98.0,100,2089.0,2061.5,0
