source_file,session_number,sequence_index,repetition,problem_size,num_threads,runtime_per_op_s,package_energy_per_op_j,package_avg_power_w,temp_c,runtime_outlier,energy_outlier
gemm_intel_20260719_085511_session3.csv,3,11,1,64,4,2.2491079655842352e-06,0.0001152450557868443,51.24033952585636,86,False,True
gemm_intel_20260719_085511_session3.csv,3,12,2,64,4,2.2183513738551207e-06,0.00011369050235914516,51.24999749772293,86,False,True
gemm_intel_20260719_085511_session3.csv,3,13,3,64,4,2.213240077713017e-06,0.00011340550430197057,51.23958554878269,79,False,True
gemm_intel_20260719_085511_session3.csv,3,14,4,64,4,2.2280543991118513e-06,0.00011339357868442964,50.89354134693959,86,False,True
gemm_intel_20260719_085511_session3.csv,3,15,5,64,4,2.2535620316402997e-06,0.0001143278556758257,50.73206509101944,86,False,True
gemm_intel_20260719_085511_session3.csv,3,16,6,64,4,2.263880099916736e-06,0.00011526457285595336,50.91461021287864,85,False,True
gemm_intel_20260719_085511_session3.csv,3,17,7,64,4,2.2184401887316123e-06,0.00011215220871495975,50.554533444096364,85,False,True
gemm_intel_20260719_085511_session3.csv,3,18,8,64,4,2.2305012489592004e-06,0.00011277357091312794,50.55974345037937,85,False,True
gemm_intel_20260719_085511_session3.csv,3,19,9,64,4,2.2118967527060782e-06,0.00011548140549542047,52.20922059501115,84,False,True
gemm_intel_20260719_085511_session3.csv,3,20,10,64,4,2.2428198723286154e-06,0.00011673943935609214,52.05029650236112,85,False,True
gemm_intel_20260719_085511_session5.csv,5,27,7,64,4,2.2439350879360766e-06,0.0001288786216712202,57.43420224769515,98,False,True
gemm_intel_20260719_085511_session5.csv,5,30,10,64,4,2.252870564868588e-06,0.00012975401696024456,57.594971936531664,99,False,True
gemm_intel_20260719_085511_session2.csv,2,581,1,64,16,2.5096169541665936e-06,0.000154760878245518,61.66713130805724,96,True,False
gemm_intel_20260719_085511_session2.csv,2,582,2,64,16,2.5152899400557003e-06,0.00015194918169878177,60.41020531232154,99,True,False
gemm_intel_20260719_085511_session2.csv,2,583,3,64,16,2.526555550812023e-06,0.00015214139019545308,60.21691870046378,99,True,False
gemm_intel_20260719_085511_session2.csv,2,584,4,64,16,2.4914227165541194e-06,0.00015436174765132358,61.957269083915605,99,True,False
gemm_intel_20260719_085511_session2.csv,2,585,5,64,16,2.496415145039088e-06,0.00015639204124529447,62.64664815708997,99,True,False
gemm_intel_20260719_085511_session2.csv,2,586,6,64,16,2.489255480245001e-06,0.00015492641692804927,62.238053971382996,97,True,False
gemm_intel_20260719_085511_session2.csv,2,587,7,64,16,2.527748409730715e-06,0.00015381807771413071,60.851814651331225,97,True,False
gemm_intel_20260719_085511_session2.csv,2,588,8,64,16,2.563707455744934e-06,0.00015323087470461044,59.76925111374937,97,True,False
gemm_intel_20260719_085511_session2.csv,2,589,9,64,16,2.537637837987157e-06,0.00015330291584945367,60.41166062177448,99,True,False
gemm_intel_20260719_085511_session2.csv,2,590,10,64,16,2.4792580668653927e-06,0.00015906195834787784,64.15708008524707,99,True,False
gemm_intel_20260719_085511_session4.csv,4,271,1,64,16,2.6364368152010624e-06,0.0001524167910007742,57.81166084541664,100,True,False
gemm_intel_20260719_085511_session4.csv,4,272,2,64,16,2.549105563502684e-06,0.00015084803808469076,59.17685020365063,98,True,False
gemm_intel_20260719_085511_session4.csv,4,273,3,64,16,2.5790713652141365e-06,0.00015301074913222484,59.32784613717759,99,True,False
gemm_intel_20260719_085511_session4.csv,4,274,4,64,16,2.4894277554745462e-06,0.0001600302452330047,64.28394834157338,99,True,False
gemm_intel_20260719_085511_session4.csv,4,275,5,64,16,2.505591189454417e-06,0.0001622089171909208,64.738780162394,99,True,False
gemm_intel_20260719_085511_session4.csv,4,276,6,64,16,2.515576371905106e-06,0.00015860779126226037,63.050278669195365,97,True,False
gemm_intel_20260719_085511_session4.csv,4,277,7,64,16,2.534052163926189e-06,0.0001525563630863571,60.20253460370388,99,True,False
gemm_intel_20260719_085511_session4.csv,4,278,8,64,16,2.5400022559590646e-06,0.00015054245304785196,59.268629661515604,99,True,False
gemm_intel_20260719_085511_session4.csv,4,279,9,64,16,2.5544198852537182e-06,0.00015103063489866128,59.12521890803404,99,True,False
