platform,campaign,session,file,rows,bytes
INTEL,20260719_085511,1,gemm_intel_20260719_085511_session1.csv,630,235875
INTEL,20260719_085511,2,gemm_intel_20260719_085511_session2.csv,630,236158
INTEL,20260719_085511,3,gemm_intel_20260719_085511_session3.csv,630,235951
INTEL,20260719_085511,4,gemm_intel_20260719_085511_session4.csv,630,235978
INTEL,20260719_085511,5,gemm_intel_20260719_085511_session5.csv,630,236016
