session_number,problem_size,num_threads,runtime_per_op_s,time_per_op_ms_e2e,package_energy_per_op_j,package_avg_power_w,gflops_per_s,edp_package_j_s,temp_c,sm_clock_mhz,batches
1,64,1,2.241896073182717e-06,0.002242,0.00012252083450196217,54.75400200541223,233.85500000000002,2.74187226915626e-10,93.0,,445679.0
1,64,2,2.4906083001705513e-06,0.0024904999999999997,0.00016456040048007075,66.32045223032702,210.51,4.0754178080100297e-10,97.5,,395775.0
1,64,4,2.495490320994838e-06,0.0024955000000000003,0.00015580765892981655,62.40684130810476,210.095,3.882462311139646e-10,99.0,,398698.0
1,64,8,2.2413765182186234e-06,0.0022415,0.00011704861738117687,52.48169272264326,233.915,2.613704804940644e-10,92.5,,450775.0
1,64,10,2.2202337226464306e-06,0.0022199999999999998,0.00012067391152955342,53.78728403995153,236.14499999999998,2.6776174539781993e-10,98.0,,445143.0
1,64,16,2.2546644398164424e-06,0.0022545,0.00010213377892876783,45.225854076273066,232.53500000000003,2.3028878866323503e-10,69.5,,443676.0
1,64,20,2.305018734654989e-06,0.0023049999999999998,0.00012476721847630914,54.05593028196384,227.45499999999998,2.8648912996634436e-10,87.5,,436624.0
1,128,1,2.6730913153502395e-05,0.026730999999999998,0.001837682415334087,68.70685563948813,156.91,4.902782674502327e-08,98.0,,37146.0
1,128,2,2.120540996561372e-05,0.021205500000000002,0.0016842536575468275,79.46591611444231,197.79500000000002,3.582333606670802e-08,99.0,,46821.0
1,128,4,1.3287112132022687e-05,0.013287,0.00119921486410184,89.91980941423816,315.67499999999995,1.5854922249645822e-08,88.5,,77926.0
1,128,8,1.2722437863895323e-05,0.0127225,0.0013812434921429912,108.29257437946504,329.69,1.747451123457054e-08,79.0,,79865.0
1,128,10,1.2571068788372387e-05,0.0125715,0.0013394949379776971,106.68877628420715,333.65,1.6871124894112318e-08,76.0,,79810.0
1,128,16,1.3101816601019615e-05,0.0131015,0.0014493527090935438,110.76464377988776,320.135,1.9113586823657672e-08,84.0,,75911.0
1,128,20,1.299612199374391e-05,0.012996500000000001,0.0015768671286087894,121.24285043131238,322.735,2.0540724076120875e-08,97.0,,78004.0
1,256,1,0.00019202422557585384,0.192024,0.01184980093328038,61.96859297955342,174.745,2.291367295880167e-06,99.0,,5036.0
1,256,2,0.0001113815818830879,0.1113815,0.007647612617135207,68.76937489266206,301.255,8.513577641965115e-07,82.0,,8964.0
1,256,4,6.51202900427295e-05,0.0651205,0.007060006085717985,108.44321642336664,515.27,4.588892919734764e-07,99.0,,15446.0
1,256,8,3.926824633522066e-05,0.0392685,0.005269970817497867,134.70890836880687,854.49,2.0667569777584735e-07,88.0,,25786.0
1,256,10,6.475519097667265e-05,0.06475500000000001,0.009210132241732888,142.1983223197493,518.175,5.964039883610811e-07,99.5,,15604.0
1,256,16,5.131122291021672e-05,0.051311,0.0075355092879256964,146.89102336421587,653.94,3.866561943164373e-07,92.0,,19380.0
1,256,20,5.97424965690077e-05,0.059742500000000004,0.009014671728623427,151.01580269245386,561.6500000000001,5.386624567408444e-07,99.0,,16759.0
1,512,1,0.0013524432114882506,1.352443,0.06275238577023498,46.36033224724535,198.48000000000002,8.492670979944134e-05,70.0,,766.0
1,512,2,0.000753472159518435,0.7534719999999999,0.058701479307750194,77.83058526350976,356.26,4.427390182828844e-05,93.0,,1329.0
1,512,4,0.0004351839054837272,0.435184,0.041233945385644226,95.25013841188243,616.835,1.787708629755743e-05,77.0,,2243.0
1,512,8,0.0002724130731441048,0.272413,0.03788996670305676,139.5660920382989,985.4000000000001,1.0297282604371013e-05,100.0,,3664.0
1,512,10,0.00029916515903122265,0.2991655,0.04612791814998541,154.33496734934573,897.28,1.379645076117929e-05,100.0,,3427.0
1,512,16,0.000253228575018849,0.25322849999999997,0.038923886277959285,153.89842185411533,1060.0549999999998,9.863923528014535e-06,88.0,,3979.0
1,512,20,0.0002930385517443565,0.2930385,0.048923838024039865,166.9358793370843,916.0450000000001,1.4322200067625769e-05,93.0,,3411.0
1,1024,1,0.010735242105263158,10.7352405,0.5928657157894737,55.19872041249312,200.04,0.0063659137412845415,88.0,,95.0
1,1024,2,0.005458236842105263,5.458235500000001,0.3765525421052632,68.97728133091437,393.44,0.002052181696306233,78.0,,190.0
1,1024,4,0.0030788036253776435,3.0788035000000002,0.3157028927492447,102.87210427011826,697.505,0.000970963252266468,86.0,,331.0
1,1024,8,0.001659609477124183,1.6596095,0.2611179526143791,157.63531797469352,1293.97,0.0004333957998962579,95.0,,612.0
1,1024,10,0.0018527409090909092,1.8527405,0.3012675954545455,162.5486274475278,1159.085,0.0005581252809447174,99.0,,550.0
1,1024,16,0.0020663531827515404,2.0663535,0.32570300102669403,157.36612397241353,1039.265,0.00067295993574203,89.0,,487.0
1,1024,20,0.0020888873966942146,2.088888,0.3298871756198347,157.95263633791888,1028.05,0.0006886441533657365,100.0,,484.0
1,2048,1,0.0897015,89.701459,5.7682791818181816,64.90370214427105,191.51999999999998,0.5135416757444008,98.5,,11.0
1,2048,2,0.047355295454545455,47.355312999999995,3.973443681818182,83.97558620077075,362.78499999999997,0.187972861632843,99.0,,22.0
1,2048,4,0.02340617857142857,23.406185,2.7180360357142854,116.38640014986461,733.985,0.06347588700805129,95.5,,42.0
1,2048,8,0.014768808823529413,14.768806,2.1092125220588236,142.82098607490644,1163.255,0.031138584160710425,100.0,,68.0
1,2048,10,0.01431368493150685,14.3136845,2.3791204726027395,166.3125842695094,1200.24,0.03403242293961287,100.0,,73.0
1,2048,16,0.01543416153846154,15.4341615,2.4789388615384613,160.85257272628016,1113.105,0.03827282507699373,90.0,,65.0
1,2048,20,0.027273702702702702,27.2737055,4.159338121621621,152.57333559895906,629.905,0.11335921987523337,100.0,,37.0
1,4096,1,0.64196175,641.961673,36.60114825,56.900678568205024,214.10000000000002,23.432323341586123,89.0,,2.0
1,4096,2,0.33660887500000003,336.6088555,26.97662325,79.73287667288955,408.305,8.984761499830938,90.5,,4.0
1,4096,4,0.18566608333333334,185.666119,19.204006749999998,103.3823753352867,740.25,3.5672838728624585,87.0,,6.0
1,4096,8,0.11623335,116.23335349999999,16.6505586,143.42915479196503,1182.44,1.9326165246983698,100.0,,10.0
1,4096,10,0.10383305000000001,103.8330225,16.93547605,163.06096176691003,1323.65,1.7582640136244099,100.0,,10.0
1,4096,16,0.1343326875,134.3327165,21.893304125,162.96154717174193,1023.125,2.938753688222922,89.0,,8.0
1,4096,20,0.17079774999999997,170.79773749999998,26.23244125,153.86605013397286,804.69,4.479734770905,89.0,,6.0
1,8192,1,5.0443365,5044.336311499999,288.6193785,57.2245330683247,217.97,1457.3979341419015,91.0,,1.0
1,8192,2,2.5305465,2530.5466775,215.619504,85.22504912997955,434.495,545.5302304294714,97.0,,1.0
1,8192,4,1.424277,1424.2770285000001,149.7714065,105.15150096812293,771.975,213.3387562684075,87.5,,1.0
1,8192,8,0.867264,867.2640624999999,126.9468185,146.37676316128625,1267.8049999999998,109.9152517632865,99.0,,2.0
1,8192,10,0.7425962500000001,742.5962930000001,127.77964125,172.08695621615698,1480.63,94.96834015956925,96.0,,2.0
1,8192,16,0.9509555000000001,950.9556995,165.56921725,174.12751316453242,1156.22,157.43156099263524,99.0,,2.0
1,8192,20,1.135975,1135.9749849999998,190.343049,167.53506405506178,967.9000000000001,216.38956720886,100.0,,1.0
1,16384,1,40.142061,40142.0611415,2069.416913,51.55411809428577,219.13,83071.13934115469,72.5,,1.0
1,16384,2,21.9445555,21944.5553445,1701.967048,77.50827894121598,400.83,37248.41596523636,87.0,,1.0
1,16384,4,11.9643915,11964.391509000001,1349.5304194999999,112.5839388413194,735.19,16295.592069073115,99.0,,1.0
1,16384,8,6.9254385,6925.438898,1022.9455929999999,147.9056660261562,1270.11,7095.315150857066,80.5,,1.0
1,16384,10,6.982886499999999,6982.886519,1034.2696905,148.06244682460152,1259.665,7224.7550459373815,99.5,,1.0
1,16384,16,7.808968999999999,7808.9688765,1355.5191439999999,173.76325479800664,1126.42,10553.674168635305,99.0,,1.0
1,16384,20,8.894534,8894.5337395,1438.712839,161.41364455591344,988.9300000000001,12823.878746389033,99.0,,1.0
