problem_size,num_threads,sessions,runs,runtime_per_op_s_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,runtime_per_op_s_between_session_robust_cv,runtime_per_op_s_run_robust_cv,time_per_op_ms_e2e_median,time_per_op_ms_e2e_ci95_low,time_per_op_ms_e2e_ci95_high,time_per_op_ms_e2e_between_session_robust_cv,time_per_op_ms_e2e_run_robust_cv,package_energy_per_op_j_median,package_energy_per_op_j_ci95_low,package_energy_per_op_j_ci95_high,package_energy_per_op_j_between_session_robust_cv,package_energy_per_op_j_run_robust_cv,package_avg_power_w_median,package_avg_power_w_ci95_low,package_avg_power_w_ci95_high,package_avg_power_w_between_session_robust_cv,package_avg_power_w_run_robust_cv,gflops_per_s_median,gflops_per_s_ci95_low,gflops_per_s_ci95_high,gflops_per_s_between_session_robust_cv,gflops_per_s_run_robust_cv,edp_package_j_s_median,edp_package_j_s_ci95_low,edp_package_j_s_ci95_high,edp_package_j_s_between_session_robust_cv,edp_package_j_s_run_robust_cv,temp_c_median,temp_c_ci95_low,temp_c_ci95_high,temp_c_between_session_robust_cv,temp_c_run_robust_cv,runtime_1thread_s,energy_1thread_j,speedup_vs_1thread,scaling_efficiency,energy_change_vs_1thread_pct,stable_runtime,stable_energy,pareto_optimal_strict,pareto_optimal_practical_2pct,exact_min_threads,selection_status,leader_threads,leader_count,practical_gap_gt_tolerance,ci_separated_from_all,practical_tolerance_pct,gap_to_second_pct
64,16,5,50,2.2546644398164424e-06,2.2332269437247935e-06,2.5382000522972326e-06,0.014096657198383931,0.022713987907495833,0.0022545,0.0022335000000000002,0.0025380000000000003,0.013809980039919997,0.02294539022772502,0.00012269881525360976,0.00010213377892876783,0.00015408991268272713,0.2484923981718205,0.24849239817182042,54.970368281956084,45.225854076273066,61.25947297969424,0.1419928578593634,0.14673689578981763,232.53500000000003,206.56,234.765,0.01421806609757646,0.023053216588669177,2.7486604971657544e-10,2.3028878866323503e-10,3.9060571182828875e-10,0.24044529073645357,0.24044529073645357,96.5,69.5,99.0,0.038409326424870466,0.04633125,2.27955353191567e-06,0.00013024769831239993,1.0110389340691663,0.0631899333793229,-5.7957899883068436,True,False,True,True,16,tie_or_uncertain,"16,20,10,1,2,8,4",7,False,False,2.0,1.6857564748478993
128,4,5,50,1.3199319247906133e-05,1.2690799774133109e-05,1.3287112132022687e-05,0.009861245685973588,0.024559458872345116,0.0131995,0.0126905,0.013287,0.009828213189893643,0.024567825086306106,0.0012227639253655285,0.0011787437755706289,0.0012883577477145291,0.05337438628344254,0.048671035244634966,92.53256844533075,88.88274610369977,101.30157457578535,0.0584791570645648,0.05733519808212057,317.765,315.67499999999995,330.5,0.009751338253111724,0.02492732697268247,1.60855323067685e-08,1.561593951728948e-08,1.6493722459325036e-08,0.021255278604999206,0.036065358259412206,92.0,87.0,99.0,0.08057608695652173,0.08057608695652173,2.717564386971107e-05,0.0016505662807055513,2.058867079377754,0.5147167698444385,-25.918520227927733,True,True,True,True,4,tie_or_uncertain,"4,1",2,True,False,2.0,18.34263078909966
256,8,5,50,3.945221954115439e-05,3.907287386012289e-05,3.99355042680999e-05,0.014255672132986523,0.014185032589947553,0.039452,0.039073,0.0399355,0.014242760823279084,0.014183430559949379,0.005511326412024483,0.005066889162850769,0.005670509445147012,0.04282177234005814,0.04791552062980649,138.13997377684967,131.7922490012461,142.08907372074498,0.03682422571023207,0.03264637196254662,850.51,840.2149999999999,858.775,0.01440746022974448,0.014045426926202026,2.1684149624597985e-07,1.9491959523571504e-07,2.2659570980135895e-07,0.06669201821407907,0.056326624642402394,99.0,82.0,99.5,0.007487878787878787,0.014975757575757575,0.00018856003649635035,0.01184980093328038,4.7794531889303435,0.5974316486162929,-53.490135040616394,True,True,True,True,8,clear_leader,8,1,True,True,2.0,27.19687287502768
512,8,5,50,0.0002629244156504065,0.0002463333333333333,0.0002724130731441048,0.053505428795408115,0.05032488604680797,0.2629245,0.246333,0.272413,0.05350452354192939,0.050325373607385315,0.03788996670305676,0.03730057489043567,0.0386712685254961,0.021428904744103777,0.01662259810966936,146.63541638679277,139.5660920382989,153.93476676208576,0.06127607948508535,0.0640000246484873,1020.96,985.4000000000001,1089.725,0.051638904560413645,0.05183708740421343,9.90559311926735e-06,9.310764420382425e-06,1.0297282604371013e-05,0.02738105609659292,0.041730191922060574,98.5,93.0,100.0,0.02257766497461929,0.014975757575757575,0.0013494377510040161,0.07901350325520833,5.132417039573364,0.6415521299466705,-52.04621344192941,False,True,True,True,8,tie_or_uncertain,"8,16",2,True,False,2.0,2.728742368673309
1024,8,5,50,0.0017181529605263157,0.0016566963993453355,0.0018205880872483222,0.05051736980705942,0.04645475089161966,1.718153,1.6566965,1.8205879999999999,0.050517382968804356,0.04645448891375414,0.2641295251677852,0.25998737315875614,0.26839082154605265,0.016904423936868078,0.018408680193950117,156.4861966323262,144.6669084498836,157.63531797469352,0.010887141095241196,0.009770809983243684,1249.9,1179.555,1296.245,0.05227472757820618,0.04788096885813139,0.0004620644390444539,0.0004306109606206776,0.0004808574530265036,0.060300079762481584,0.06814525521761142,99.0,94.5,100.0,0.014975757575757575,0.014975757575757575,0.01146672988505747,0.7185562873563218,6.6738702248866755,0.8342337781108344,-63.241637458972356,True,True,True,True,8,clear_leader,8,1,True,True,2.0,14.060552398740267
2048,8,5,50,0.014040769736842105,0.013722375,0.01526546212121212,0.033620096738960735,0.03925572840127597,14.04077,13.7223735,15.265465500000001,0.0336202822850884,0.03925590294072776,2.1092125220588236,2.01806031060606,2.1455549276315793,0.021860182659762518,0.019304272438193475,151.15564354659324,132.45167616250615,153.07473358696234,0.018823266052743766,0.05484579650029906,1223.585,1125.4099999999999,1251.96,0.0343815713661086,0.04031848721914316,0.030095273232788957,0.028554931909512637,0.031138584160710425,0.03493058048558457,0.03542171993480953,100.0,99.0,100.0,0.0,0.0,0.086887625,5.7682791818181816,6.188238011767424,0.773529751470928,-63.43428506880986,True,True,True,True,8,clear_leader,8,1,True,True,2.0,12.796621853944611
4096,8,5,50,0.1094632,0.10545584999999999,0.11760133333333334,0.05427666201974737,0.06116030130926146,109.46321,105.4558105,117.6013015,0.05427732750300313,0.06116069157728348,16.9457696,16.589821611111113,17.247862350000002,0.0258282650438017,0.025912475369256095,155.78198028605811,141.29016916898885,163.60221515205973,0.07442632447632092,0.07753809810279862,1255.58,1168.685,1303.3049999999998,0.05635410328294483,0.061628660605672646,1.885881462651435,1.8121879809251,1.9505577124564937,0.0418485300191418,0.04034218022873951,99.5,98.5,100.0,0.0074502512562814064,0.014975757575757575,0.66046725,40.030002999999994,6.0336921449400345,0.7542115181175043,-57.66732867844151,False,True,True,False,8,tie_or_uncertain,"8,10",2,False,False,2.0,0.6014979101332862
8192,8,5,50,0.867264,0.81153975,0.91774975,0.08630609935382996,0.07201671040819228,867.2640624999999,811.5398345000001,917.749682,0.08630587004255136,0.07201645037004514,127.08991499999999,124.132342,134.10627,0.009292031686385305,0.012895036156259787,146.77398899650458,138.39250290282388,165.3332138539441,0.05280817010116024,0.04671935733160424,1267.8049999999998,1198.0500000000002,1354.85,0.0815730834000493,0.07462265898138518,109.9152517632865,101.183878706158,116.46427916039138,0.0174460847544952,0.02497758834499066,99.0,86.0,99.0,0.0,0.0,5.1445745,338.347462,5.931959011327577,0.7414948764159471,-62.43804689748198,False,True,True,False,8,tie_or_uncertain,"8,10",2,False,False,2.0,0.5427073029358853
16384,8,5,50,7.072073,6.7321455,7.2131175,0.02956878070970148,0.027561167968571876,7072.0729544999995,6732.1454015,7213.1176875,0.029568829746409956,0.027561217206825042,1081.9571905,1022.9455929999999,1101.426807,0.026679108634196966,0.032660585075428246,152.19881035028442,147.18233985007527,163.36178459315863,0.041820404248255574,0.03590828930026049,1243.79,1219.46,1306.585,0.02900140538193738,0.027055285280843416,7598.59318094877,7095.315150857066,7727.119721761852,0.02507746432421616,0.03239911509694872,99.0,80.5,99.5,0.007487878787878787,0.014975757575757575,40.210325999999995,2262.0335765,5.685790573711555,0.7107238217139443,-52.168827123508436,True,True,True,False,8,tie_or_uncertain,"8,10",2,False,False,2.0,0.5664041104221473
