problem_size,num_threads,runtime_per_op_s_median,runtime_1thread_s,speedup_vs_1thread,slowdown_vs_1thread,flag
64,1,2.27955353191567e-06,2.27955353191567e-06,1.0,1.0,ok
64,2,2.3341587456962664e-06,2.27955353191567e-06,0.976606041092416,1.0239543458910165,ok
64,4,2.495490320994838e-06,2.27955353191567e-06,0.9134691939045133,1.0947276675260622,ok
64,8,2.3804675770358193e-06,2.27955353191567e-06,0.9576074691822485,1.0442692148735564,ok
64,10,2.2824659460891084e-06,2.27955353191567e-06,0.9987240054212293,1.0012776248211162,ok
64,16,2.2546644398164424e-06,2.27955353191567e-06,1.0110389340691663,0.989081593500324,ok
64,20,2.305018734654989e-06,2.27955353191567e-06,0.9889522794949732,1.0111711360943205,ok
128,1,2.717564386971107e-05,2.717564386971107e-05,1.0,1.0,ok
128,2,2.1257476139978793e-05,2.717564386971107e-05,1.2784040631522582,0.7822252985759635,ok
128,4,1.3199319247906133e-05,2.717564386971107e-05,2.058867079377754,0.48570401169473626,ok
128,8,1.2722437863895323e-05,2.717564386971107e-05,2.136040604830315,0.46815589448002976,ok
128,10,1.2571068788372387e-05,2.717564386971107e-05,2.1617608118449874,0.46258586728035606,ok
128,16,1.2725080469656098e-05,2.717564386971107e-05,2.1355970152419403,0.46825313617827413,ok
128,20,1.299612199374391e-05,2.717564386971107e-05,2.0910579234938633,0.4782268289962722,ok
256,1,0.00018856003649635035,0.00018856003649635035,1.0,1.0,ok
256,2,0.0001113815818830879,0.00018856003649635035,1.6929193616074971,0.5906955893341893,ok
256,4,6.545919630063827e-05,0.00018856003649635035,2.880573657371833,0.3471530739860949,ok
256,8,3.945221954115439e-05,0.00018856003649635035,4.7794531889303435,0.20922895579688755,ok
256,10,6.503224979162659e-05,0.00018856003649635035,2.8994850570374844,0.3448888269221634,ok
256,16,5.131122291021672e-05,0.00018856003649635035,3.6748302964107613,0.2721214095183412,ok
256,20,6.004461649695728e-05,0.00018856003649635035,3.140332097980932,0.3184376584384012,ok
512,1,0.0013494377510040161,0.0013494377510040161,1.0,1.0,ok
512,2,0.0007771700310559007,0.0013494377510040161,1.73634815687708,0.575921364640693,ok
512,4,0.00042842526096033404,0.0013494377510040161,3.1497623365606224,0.3174842712393178,ok
512,8,0.0002629244156504065,0.0013494377510040161,5.132417039573364,0.1948399735036196,ok
512,10,0.00029916515903122265,0.0013494377510040161,4.5106781664477875,0.22169615368225482,ok
512,16,0.000253228575018849,0.0013494377510040161,5.32893158247868,0.18765487687775184,ok
512,20,0.00030463681818181814,0.0013494377510040161,4.4296607319428585,0.2257509232679763,ok
1024,1,0.01146672988505747,0.01146672988505747,1.0,1.0,ok
1024,2,0.005748675438596491,0.01146672988505747,1.9946733830318681,0.5013352103190036,ok
1024,4,0.003092265671641791,0.01146672988505747,3.7081968700863226,0.26967284506033284,ok
1024,8,0.0017181529605263157,0.01146672988505747,6.6738702248866755,0.1498380948839892,ok
1024,10,0.0018345819672131148,0.01146672988505747,6.250323010901717,0.1599917313482544,ok
1024,16,0.0022116209850107068,0.01146672988505747,5.184762652720967,0.19287285975862353,ok
1024,20,0.002050369696969697,0.01146672988505747,5.5925182185459015,0.17881032495947913,ok
2048,1,0.086887625,0.086887625,1.0,1.0,ok
2048,2,0.04653879545454545,0.086887625,1.86699342239881,0.5356205265657273,ok
2048,4,0.023532511904761903,0.086887625,3.6922375882201472,0.2708384756144722,ok
2048,8,0.014040769736842105,0.086887625,6.188238011767424,0.16159688720737972,ok
2048,10,0.014453359154929577,0.086887625,6.011586930666247,0.16634542784348838,ok
2048,16,0.015659117187500002,0.086887625,5.548692430078922,0.18022264030694823,ok
2048,20,0.0273102027027027,0.086887625,3.1815078762268336,0.3143163678682977,ok
4096,1,0.66046725,0.66046725,1.0,1.0,ok
4096,2,0.35279900000000003,0.66046725,1.8720780104251993,0.5341657743059933,ok
4096,4,0.19536975,0.66046725,3.3806013981181833,0.29580535598093627,ok
4096,8,0.1094632,0.66046725,6.0336921449400345,0.16573599977894438,ok
4096,10,0.10153000000000001,0.66046725,6.5051437998621084,0.1537245033724231,ok
4096,16,0.1389341875,0.66046725,4.753813743647509,0.2103574212044579,ok
4096,20,0.1741685,0.66046725,3.7921165423139085,0.26370497553058087,ok
8192,1,5.1445745,5.1445745,1.0,1.0,ok
8192,2,2.651757,5.1445745,1.9400625698357732,0.5154472930657336,ok
8192,4,1.4417645000000001,5.1445745,3.5682488367552394,0.28024951334653625,ok
8192,8,0.867264,5.1445745,5.931959011327577,0.1685783731968504,ok
8192,10,0.755188,5.1445745,6.812309650047406,0.14679309241221017,ok
8192,16,0.98306275,5.1445745,5.233210697892886,0.1910872803960755,ok
8192,20,1.135975,5.1445745,4.528774400845089,0.2208102924741395,ok
16384,1,40.210325999999995,40.210325999999995,1.0,1.0,ok
16384,2,21.9445555,40.210325999999995,1.8323600129426179,0.5457442822025368,ok
16384,4,12.2368555,40.210325999999995,3.286001538548853,0.3043212208724695,ok
16384,8,7.072073,40.210325999999995,5.685790573711555,0.17587703715707256,ok
16384,10,6.532229,40.210325999999995,6.1556822334305785,0.16245153048498043,ok
16384,16,8.0313155,40.210325999999995,5.006692365652924,0.19973266319701066,ok
16384,20,8.894534,40.210325999999995,4.520790633888183,0.22120024592687962,ok
