platform,platform_label,device_kind,energy_domain,session_number,problem_size,num_threads,configuration,runtime_per_op_s,total_energy_per_op_j,edp_total_j_s,throughput_gflops,energy_efficiency_gflop_per_j,avg_power_w,temp_c,sm_clock_mhz
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,1,1T,0.0353779411724138,2.337195655172414,0.08266688325843424,209.1347381029026,3.1656538128855534,66.07226038390087,98.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,2,2T,0.017414970122807016,1.383153359649123,0.024059604644798352,424.85012810284604,5.349198050045757,79.51258191382217,98.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,4,4T,0.009014517376146789,0.980074756880734,0.008831529541783572,821.0745977107977,7.5520384195117,108.73595670702791,91.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,8,8T,0.00519821587371134,0.7924334819587628,0.004125533709574863,1423.3269038478684,9.336748857498462,151.78078965749,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,10,10T,0.004120256137295082,0.6879678811475409,0.0028306642351160214,1795.7020169956627,10.754502749227466,166.38797026648376,87.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,16,16T,0.00477847230952381,0.7691401095238095,0.003675572874940021,1548.350976419564,9.619512349155784,160.5379061669236,89.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,1,20,20T,0.0038411512413793103,0.6923664042145594,0.0026596606443858566,1926.1809266327273,10.686180929114304,179.5792208700297,92.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,1,1T,0.01766937813157895,0.9355596140350877,0.016526097649512895,209.36651545582,3.9541858970078083,52.96297029657226,92.5,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,2,2T,0.009622020834951457,0.7758084805825243,0.00746488938720537,384.4711309065117,4.768460958190664,80.61949951005823,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,4,4T,0.004954258930693069,0.5687087079207921,0.002818494582122497,746.7062726815541,6.504871705057729,114.68445003593592,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,8,8T,0.0026972845791666668,0.4088007583333333,0.0011026404516700453,1371.6360434229791,9.049343386185651,151.85892704972443,92.5,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,10,10T,0.002255535797297297,0.37246676576576576,0.0008403992536738722,1640.1321003285364,9.932102468309319,164.36933674703303,91.5,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,16,16T,0.002588001523255814,0.4094768824289406,0.0010598355041343613,1429.4336010382203,9.034400084920632,157.6737318858154,98.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,2,20,20T,0.0020951828392484348,0.38070537265135695,0.0007973461191916531,1765.657942012011,9.717167355237539,180.9180521884057,98.5,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,1,1T,0.016735934841666668,0.9026094916666667,0.015109170435908233,221.0438974352905,4.098534794211275,53.921100660796895,95.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,2,2T,0.00881098082017544,0.6621234078947369,0.005810474842217507,419.85987452777,5.587176667161732,75.18075061647747,92.5,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,4,4T,0.0045339187239819,0.5232417895927602,0.002371353277630478,815.9335036298125,7.070110250537343,115.25997093319296,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,8,8T,0.0025112928000000003,0.3596553048192771,0.0009037904655883922,1473.0963014924396,10.285899045996507,143.19630725179934,89.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,10,10T,0.0020557199231557377,0.3524771290983607,0.0007244841121095196,1799.5526115787516,10.495375089002088,171.36757827506332,99.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,16,16T,0.00252573464861461,0.3921503929471033,0.0009905317986821573,1464.6733255693348,9.433564762894378,155.18962424485582,92.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,3,20,20T,0.002082781557172557,0.36488135654885656,0.0007604049312106684,1776.170997876196,10.138574841084285,174.79753799216428,85.0,-1.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL plus DRAM RAPL when available,1,4,1,1T,0.021190048276595742,1.1475773085106384,0.024335028364206097,174.58082600328916,3.2236552786712256,54.11681684663403,98.0,-1.0
