problem_size,configuration,rows,avg_power_w_median,temp_c_median,temp_c_max,sm_clock_mhz_median,clock_change_pct_median,throttle_reasons_unique
1,10T,50,163.95389988189004,99.0,100,-1.0,-4.782679709553145,nan
1,16T,50,156.38492820045775,99.0,100,-1.0,-3.952608528720009,nan
1,1T,50,59.7363020388419,99.0,100,-1.0,-1.5412338350646597,nan
1,20T,50,159.14206756101976,99.0,100,-1.0,-2.0735561782249237,nan
1,2T,50,78.66389854933934,99.0,100,-1.0,-3.518081026323462,nan
1,4T,50,105.3759651096602,99.0,100,-1.0,-4.1421769463450735,nan
1,8T,50,148.51226259845214,99.0,100,-1.0,-1.6601345273360992,nan
2,10T,50,165.76495153912322,99.0,100,-1.0,-3.362127423270905,nan
2,16T,50,153.5002691532395,99.0,100,-1.0,-2.0559344378108864,nan
2,1T,50,59.39715868571946,99.0,100,-1.0,-1.8328445747800586,nan
2,20T,50,160.1342543945515,99.0,100,-1.0,-0.9305489272592578,nan
2,2T,50,79.87386277323566,99.0,100,-1.0,-2.8604773172585842,nan
2,4T,50,105.80243898781201,99.0,100,-1.0,-3.8908515758072797,nan
2,8T,50,149.20521371226863,99.0,100,-1.0,-4.762148757557016,nan
3,10T,50,162.18497658144236,99.0,100,-1.0,-1.4046348986676038,nan
3,16T,50,155.18962424485582,99.0,100,-1.0,-1.9535667998276192,nan
3,1T,50,59.034102654313266,99.0,100,-1.0,-0.7500894842606345,nan
3,20T,50,174.71958975186016,99.0,100,-1.0,-0.5563782194291159,nan
3,2T,50,79.21724526811961,99.0,100,-1.0,-2.036620366122827,nan
3,4T,50,106.04560929632493,99.0,100,-1.0,-3.9692679120055985,nan
3,8T,50,143.92456078584763,99.0,100,-1.0,-3.547810050714615,nan
4,10T,50,159.8048899217821,99.0,100,-1.0,-1.0143182848998036,nan
4,16T,50,157.27360791663892,99.0,100,-1.0,-1.0738352666494388,nan
4,1T,50,63.46073189333957,99.0,100,-1.0,-1.4728096676737161,nan
4,20T,50,177.3626415414579,99.0,100,-1.0,-1.788568638771547,nan
4,2T,50,77.74998693798523,98.0,100,-1.0,-0.680434818850177,nan
4,4T,50,104.10432266882881,99.0,100,-1.0,-1.633609139790701,nan
4,8T,50,146.56475364707228,99.0,100,-1.0,-0.7879397503352935,nan
5,10T,50,158.61705137309923,99.0,100,-1.0,-12.925295857988164,nan
5,16T,50,154.49103745877272,100.0,100,-1.0,-9.39735988452405,nan
5,1T,50,61.11749123926417,99.0,100,-1.0,-2.1986346986346987,nan
5,20T,50,161.22526787384257,99.0,100,-1.0,-7.65554633719149,nan
5,2T,50,83.63847795729451,99.0,100,-1.0,-4.809812574082967,nan
5,4T,50,105.04985169240986,99.0,100,-1.0,-5.115248576891901,nan
5,8T,50,147.86441530789642,99.0,100,-1.0,-7.63491470883668,nan
6,10T,50,158.69677368820803,99.0,100,-1.0,-9.092768778166006,nan
6,16T,50,152.16517256725677,98.0,100,-1.0,-9.771374593030977,nan
6,1T,50,59.84318418363152,99.0,100,-1.0,-3.083599275487321,nan
6,20T,50,162.8826469728611,100.0,100,-1.0,-7.793136935504957,nan
6,2T,50,80.95360560147992,98.5,100,-1.0,-4.8284627695059115,nan
6,4T,50,104.38198612914425,98.0,100,-1.0,-5.541353383458647,nan
6,8T,50,148.3588499346309,99.0,100,-1.0,-5.556739884367122,nan
