timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes,energy_batch_j,kWh_batch,seconds_batch,M,K,flops_batch,joule_per_gflop,gflops,flops_per_watt
2025-10-13T01:04:44,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,1419,1.0,0.1245,0.1245,7.041,56.5,1,reduction,openblas,fp32,0,1419,462,0.1245,7.041,56.5,55.7,11352000000,91.16,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.5,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.0049619450317124735,1.378318064364576e-09,8.773784355179703e-05,0,0,,,,
2025-10-13T01:04:44,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,462,1.0,0.1245,0.0955,5.325,55.7,1,reduction,openblas,fp32,0,1419,462,0.1245,7.041,56.5,55.7,1848000000,19.34,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.5,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.011525974025974026,3.201659451659452e-09,0.00020670995670995672,0,0,0.0,,0.0,0.0
2025-10-13T01:04:47,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,2007,1.0,0.3473,0.3473,19.319,55.6,1,reduction,openblas,fp32,0,2007,615,0.3473,19.319,55.6,55.1,24084000000,69.35,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.4,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.00962580966616841,2.6738360183801136e-09,0.00017304434479322372,0,0,,,,
2025-10-13T01:04:47,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,615,1.0,0.3473,0.3729,20.553,55.1,1,reduction,openblas,fp32,0,2007,615,0.3473,19.319,55.6,55.1,3690000000,9.9,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.4,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.03341951219512195,9.28319783197832e-09,0.0006063414634146342,0,0,0.0,,0.0,0.0
2025-10-13T01:04:56,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,2564,1.0,0.9713,0.9713,53.864,55.5,1,reduction,openblas,fp32,0,2564,476,0.9713,53.864,55.5,55.8,41024000000,42.24,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.0,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.02100780031201248,5.835500086670133e-09,0.00037882215288611546,0,0,,,,
2025-10-13T01:04:56,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,476,1.0,0.9713,0.5556,30.99,55.8,1,reduction,openblas,fp32,0,2564,476,0.9713,53.864,55.5,55.8,3808000000,6.85,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.0,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.06510504201680672,1.8084733893557423e-08,0.0011672268907563024,0,0,0.0,,0.0,0.0
2025-10-13T01:05:04,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,903,1.0,1.0321,1.0321,58.014,56.2,0,reduction,openblas,fp32,0,903,252,1.0321,58.014,56.2,56.4,21672000000,21.0,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.9,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.06424584717607974,1.784606866002215e-08,0.00114296788482835,0,0,,,,
2025-10-13T01:05:04,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,252,1.0,1.0321,0.6019,33.921,56.4,0,reduction,openblas,fp32,0,903,252,1.0321,58.014,56.2,56.4,3024000000,5.02,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.9,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.13460714285714284,3.739087301587301e-08,0.0023884920634920635,0,0,0.0,,0.0,0.0
2025-10-13T01:05:12,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,611,1.0,1.0387,1.0387,58.671,56.5,0,reduction,openblas,fp32,0,611,223,1.0387,58.671,56.5,57.4,19552000000,18.82,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.8,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.09602454991816693,2.6673486088379705e-08,0.0017,0,0,,,,
2025-10-13T01:05:12,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,223,1.0,1.0387,0.6197,35.541,57.4,0,reduction,openblas,fp32,0,611,223,1.0387,58.671,56.5,57.4,3568000000,5.76,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.8,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.15937668161434976,4.427130044843049e-08,0.0027789237668161436,0,0,0.0,,0.0,0.0
2025-10-13T01:05:20,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,410,1.0,1.0251,1.0251,57.819,56.4,0,reduction,openblas,fp32,0,410,129,1.0251,57.819,56.4,57.2,19680000000,19.2,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,36.8,0,OPENBLAS_NUM_THREADS=20; e2e_host_memcpy=1; e2e_bw=mixed,0.1410219512195122,3.9172764227642275e-08,0.002500243902439024,0,0,,,,
