timestamp,price_eur_kwh,ci_g_per_kwh,cheapest_flag,greenest_flag,overlap_flag,hour
2024-09-01 00:00:00,0.0940199999999999,16.53,False,True,False,0
2024-09-01 01:00:00,0.08599,16.36,False,True,False,1
2024-09-01 02:00:00,0.08037,16.5,False,True,False,2
2024-09-01 03:00:00,0.06861,16.46,False,True,False,3
2024-09-01 04:00:00,0.05617,16.35,False,True,False,4
2024-09-01 05:00:00,0.05386,16.47,False,True,False,5
2024-09-01 06:00:00,0.05644,16.76,False,True,False,6
2024-09-01 07:00:00,0.05705,18.16,False,True,False,7
2024-09-01 08:00:00,0.06063,27.99,False,False,False,8
2024-09-01 09:00:00,0.04127,32.76,False,False,False,9
2024-09-01 10:00:00,0.01273,36.18,False,False,False,10
2024-09-01 11:00:00,0.00809,33.46,True,False,False,11
2024-09-01 12:00:00,0.00881,28.88,True,False,False,12
2024-09-01 13:00:00,0.00439,26.21,True,False,False,13
2024-09-01 14:00:00,0.0096,21.07,True,False,False,14
2024-09-01 15:00:00,0.01087,20.82,False,False,False,15
2024-09-01 16:00:00,0.02898,27.96,False,False,False,16
2024-09-01 17:00:00,0.08137,35.5,False,False,False,17
2024-09-01 18:00:00,0.09964,37.79,False,False,False,18
2024-09-01 19:00:00,0.1235999999999999,38.33,False,False,False,19
2024-09-01 20:00:00,0.12702,38.41,False,False,False,20
2024-09-01 21:00:00,0.11131,38.95,False,False,False,21
2024-09-01 22:00:00,0.10473,32.42,False,False,False,22
2024-09-01 23:00:00,0.0915,25.8,False,False,False,23
2024-09-02 00:00:00,0.0927399999999999,26.23,False,False,False,0
2024-09-02 01:00:00,0.0951299999999999,26.9,False,False,False,1
2024-09-02 02:00:00,0.0925,28.76,False,False,False,2
2024-09-02 03:00:00,0.09259,34.34,False,False,False,3
2024-09-02 04:00:00,0.0872199999999999,44.66,False,False,False,4
2024-09-02 05:00:00,0.09379,47.38,False,False,False,5
2024-09-02 06:00:00,0.10296,47.6,False,False,False,6
2024-09-02 07:00:00,0.12188,46.83,False,False,False,7
2024-09-02 08:00:00,0.13152,39.54,False,False,False,8
2024-09-02 09:00:00,0.12264,30.53,False,False,False,9
2024-09-02 10:00:00,0.10283,28.03,False,False,False,10
2024-09-02 11:00:00,0.09098,27.89,False,False,False,11
2024-09-02 12:00:00,0.08562,27.21,False,False,False,12
2024-09-02 13:00:00,0.08225,28.23,False,False,False,13
2024-09-02 14:00:00,0.08503,29.37,False,False,False,14
2024-09-02 15:00:00,0.0919,37.12,False,False,False,15
2024-09-02 16:00:00,0.09597,46.78,False,False,False,16
2024-09-02 17:00:00,0.1049,54.2,False,False,False,17
2024-09-02 18:00:00,0.12209,56.93,False,False,False,18
2024-09-02 19:00:00,0.13,55.39,False,False,False,19
2024-09-02 20:00:00,0.138,52.59,False,False,False,20
2024-09-02 21:00:00,0.13453,50.72,False,False,False,21
2024-09-02 22:00:00,0.11654,40.36,False,False,False,22
2024-09-02 23:00:00,0.1049399999999999,32.61,False,False,False,23
2024-09-03 00:00:00,0.09972,26.37,False,False,False,0
2024-09-03 01:00:00,0.09184,26.2,False,False,False,1
2024-09-03 02:00:00,0.09075,25.81,False,False,False,2
2024-09-03 03:00:00,0.08729,30.67,False,False,False,3
2024-09-03 04:00:00,0.08707,41.04,False,False,False,4
2024-09-03 05:00:00,0.0934599999999999,46.41,False,False,False,5
2024-09-03 06:00:00,0.1061899999999999,46.71,False,False,False,6
2024-09-03 07:00:00,0.12464,47.01,False,False,False,7
2024-09-03 08:00:00,0.1339499999999999,39.5,False,False,False,8
2024-09-03 09:00:00,0.11598,30.29,False,False,False,9
2024-09-03 10:00:00,0.09888,29.87,False,False,False,10
2024-09-03 11:00:00,0.09002,27.81,False,False,False,11
2024-09-03 12:00:00,0.085,27.63,False,False,False,12
2024-09-03 13:00:00,0.08308,28.93,False,False,False,13
2024-09-03 14:00:00,0.08468,28.53,False,False,False,14
2024-09-03 15:00:00,0.0872,34.3,False,False,False,15
2024-09-03 16:00:00,0.0938199999999999,46.41,False,False,False,16
