session_number,rows,median_runtime_window_s,median_total_power_w,median_package_power_w,median_dram_power_w,median_temp_c,max_temp_c,median_clock_before_mhz,median_clock_after_mhz,checksum_failures
1,630,1.0196065,116.51688416971717,116.51688416971717,0.03616985190420903,98.0,100,2116.5,2088.5,0
2,630,1.01285,119.33964010271676,118.77823851187395,0.012822282709686555,99.0,100,1963.5,1986.5,0
3,630,1.019261,115.36662182209118,114.83622258490183,0.013332276762980131,98.0,100,2058.0,2039.0,0
4,630,1.0205514999999998,128.1720156658517,128.1720156658517,0.009499198571523655,99.0,100,2040.0,2021.5,0
5,630,1.0249665000000001,120.35375932901681,120.35375932901681,0.010430444609422964,99.0,100,1981.5,1941.0,0
