problem_size,metric,objective,num_threads,value,ci95_low,ci95_high,relative_loss_vs_best_pct,within_practical_tolerance,ci_overlaps_exact_best,in_leader_set,exact_best,selection_status
64,total_energy_per_op_j_median,min,16,0.00013156336644350625,0.00012954100692908743,0.00018666927557976098,0.0,True,True,True,True,tie_or_uncertain
64,total_energy_per_op_j_median,min,2,0.00014600828474647403,0.00012851870367473062,0.00018177854571615502,10.979438040733381,False,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,1,0.00016006219491926306,0.00013948220390156137,0.00018651827926117331,21.661674709421707,False,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,10,0.00016097391049853404,0.00013067239652994272,0.00018659786194241232,22.354660609613376,False,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,8,0.00016421910038757576,0.0001520665717531569,0.00017577240903696864,24.82129701210709,False,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,4,0.00016738163509153565,0.00014155853428982198,0.00018139372421849498,27.22510803446938,False,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,20,0.00017376981118411708,0.00014212026513988032,0.0001849366815923897,32.080696839522126,False,True,True,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,4,0.0011816319297914726,0.0010081713567049206,0.0012321603884245746,0.0,True,True,True,True,clear_leader
128,total_energy_per_op_j_median,min,8,0.001427558010179656,0.0014178146986908759,0.0015065198666247685,20.812409870439353,False,False,False,False,clear_leader
128,total_energy_per_op_j_median,min,2,0.0014336584970338895,0.0012528652693337868,0.0015409446268308791,21.328686276012633,False,False,False,False,clear_leader
128,total_energy_per_op_j_median,min,10,0.0014895355540023544,0.0013801553955846504,0.0015600283440747073,26.05749019199395,False,False,False,False,clear_leader
128,total_energy_per_op_j_median,min,16,0.0014916596468434419,0.0014181299372440059,0.001531583390523954,26.237249454378,False,False,False,False,clear_leader
128,total_energy_per_op_j_median,min,20,0.0014963019779699158,0.001305029090929772,0.0015573676368051547,26.63012400434832,False,False,False,False,clear_leader
128,total_energy_per_op_j_median,min,1,0.0017490790352806974,0.0014331632017676008,0.0018755411999240553,48.022323295661494,False,False,False,False,clear_leader
256,total_energy_per_op_j_median,min,8,0.005513944044578593,0.005216666859964832,0.005699931683628062,0.0,True,True,True,True,clear_leader
