session_number,problem_size,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,total_energy_per_op_j,package_energy_per_op_j,dram_energy_per_op_j,total_avg_power_w,package_avg_power_w,dram_avg_power_w,edp_total_j_s,edp_package_j_s,throughput_gflops_exact,total_efficiency_gflop_per_j,package_efficiency_gflop_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches
1,64,1,2.5564774921052965e-06,2.5564774921052965e-06,0.00016006219491926306,0.00016006219491926306,0.0,62.63501244853201,62.63501244853201,0.0,4.0903490931405907e-10,4.0903490931405907e-10,205.08219033116006,3.275530268375439,3.275530268375439,98.0,1339.0,1339.0,-0.2245508982035928,391085.0
1,64,2,2.4814845346403077e-06,2.4814845346403077e-06,0.00014600828474647403,0.00014600828474647403,0.0,58.839019106155284,58.839019106155284,0.0,3.62317962091293e-10,3.62317962091293e-10,211.28012037093998,3.590827811935145,3.590827811935145,98.5,1348.5,1339.5,0.10372964768216916,400314.0
1,64,4,2.4654470942210494e-06,2.4654470942210494e-06,0.00014155853428982198,0.00014155853428982198,0.0,57.41166444956847,57.41166444956847,0.0,3.490374226108635e-10,3.490374226108635e-10,212.65433087218088,3.7036834456056758,3.7036834456056758,97.0,1339.0,1339.0,0.07468259895444361,404814.0
1,64,8,2.610057962333292e-06,2.610057962333292e-06,0.00016410033423351546,0.00016410033423351546,0.0,62.81353173902836,62.81353173902836,0.0,4.287121403470621e-10,4.287121403470621e-10,200.8722188078741,3.1949240058445247,3.1949240058445247,99.0,1449.0,1339.0,-7.590738169685913,397327.0
1,64,10,2.470843345176688e-06,2.470843345176688e-06,0.00014491072102774645,0.00014491072102774645,0.0,58.6827157925059,58.6827157925059,0.0,3.5784341565429737e-10,3.5784341565429737e-10,212.19048312378817,3.618062090996207,3.618062090996207,99.0,1402.5,1339.5,-4.490092345360667,399943.0
1,64,16,2.452508285720594e-06,2.452508285720594e-06,0.00013156336644350625,0.00013156336644350625,0.0,53.61573401051566,53.61573401051566,0.0,3.229599081398164e-10,3.229599081398164e-10,213.7762403143388,3.9851052314925908,3.9851052314925908,84.0,1337.5,1339.5,0.2995133328847922,407629.0
1,64,20,2.463185118747773e-06,2.463185118747773e-06,0.00014212026513988032,0.00014212026513988032,0.0,57.72504645204802,57.72504645204802,0.0,3.5018414267256794e-10,3.5018414267256794e-10,212.8496358766983,3.689052578229024,3.689052578229024,99.0,1339.0,1339.0,0.0,406955.0
1,128,1,2.4989542532891433e-05,2.4989542532891433e-05,0.0014331632017676008,0.0014331632017676008,0.0,57.3969245301926,57.3969245301926,0.0,3.5871467386996176e-08,3.5871467386996176e-08,167.842374455445,2.926609446715087,2.926609446715087,98.5,1338.0,1339.5,0.07468259895444361,39828.0
1,128,2,1.9273314751532045e-05,1.9273314751532045e-05,0.0013910907867356486,0.0013910907867356486,0.0,72.22933993795371,72.22933993795371,0.0,2.6756060420744523e-08,2.6756060420744523e-08,217.62511861072517,3.0151248931076076,3.0151248931076076,94.5,1587.0,1605.0,0.6563592439232868,52381.0
1,128,4,1.238258696497825e-05,1.238258696497825e-05,0.0011816319297914726,0.0011816319297914726,0.0,95.3357299565742,95.3357299565742,0.0,1.4631661135124886e-08,1.4631661135124886e-08,338.7271063895756,3.5495858737657473,3.5495858737657473,94.0,1848.5,1849.0,0.0,84833.0
